"","Geneid","control.cells_1","control.cells_2","control.cells_3","IL.10.cells_1","IL.10.cells_2","IL.10.cells_3"
"Rbm3","Rbm3",1692,2058,1532,1646,1518,1546
"Ebp","Ebp",1061,1301,1167,1405,1103,1178
"Porcn","Porcn",46,54,26,36,24,40
"Ftsj1","Ftsj1",904,1032,985,1238,1063,1115
"Rpgr","Rpgr",114,63,85,123,95,143
"Dynlt3","Dynlt3",1291,1547,1473,2043,1824,2078
"Vbp1","Vbp1",779,1020,895,1032,960,1137
"Fundc2","Fundc2",1092,1327,1092,1696,1380,1790
"Mtcp1","Mtcp1",23,28,33,40,57,29
"Brcc3","Brcc3",761,907,715,1100,912,902
"Msn","Msn",40530,44663,45005,51982,46678,44436
"Ophn1","Ophn1",580,649,637,583,452,378
"Stard8","Stard8",767,991,961,973,831,679
"Efnb1","Efnb1",66,85,75,118,72,72
"Igbp1","Igbp1",885,994,805,1187,1001,1154
"Pbdc1","Pbdc1",2295,2663,2536,2661,2369,2317
"Atrx","Atrx",1300,1563,1482,1769,2087,1632
"Cox7b","Cox7b",3938,4870,4095,6201,5838,6702
"Magt1","Magt1",1263,1770,1452,1803,1540,1839
"X2610002M06Rik","2610002M06Rik",329,433,425,448,458,468
"Hmgn5","Hmgn5",57,69,58,57,93,40
"Sh3bgrl","Sh3bgrl",2133,3096,2983,4068,4214,4848
"Cstf2","Cstf2",1283,1757,1469,1506,1421,1396
"Cenpi","Cenpi",386,482,396,441,464,391
"Btk","Btk",2153,2664,2419,2202,1880,1910
"Gla","Gla",15703,17787,17164,21973,18888,19508
"Acsl4","Acsl4",1839,2038,2190,3385,3201,3799
"Cdkl5","Cdkl5",0,0,0,1,2,16
"Phka2","Phka2",1419,1637,1614,1461,1349,951
"Adgrg2","Adgrg2",0,0,0,0,0,0
"Pdha1","Pdha1",1635,1925,1732,2123,2193,2050
"Map3k15","Map3k15",243,258,249,334,188,325
"Il2rg","Il2rg",569,632,630,1070,1003,927
"Rps6ka3","Rps6ka3",222,252,370,545,410,557
"Zmym3","Zmym3",879,1125,952,988,985,819
"Nono","Nono",5411,6992,6124,6656,5686,5870
"Taf1","Taf1",911,1096,794,1255,1091,1178
"Rps4x","Rps4x",9719,11199,9753,10732,9406,9975
"Flna","Flna",22544,26825,26082,16060,14758,12078
"Abcb7","Abcb7",417,609,477,561,542,546
"Mtm1","Mtm1",822,943,1103,1468,1468,1679
"Gpm6b","Gpm6b",0,0,0,0,0,0
"Cetn2","Cetn2",553,861,650,955,770,922
"Nsdhl","Nsdhl",737,854,678,1141,1057,903
"Hccs","Hccs",776,972,807,1121,1121,1280
"Rbbp7","Rbbp7",6026,7702,6690,7664,6407,6640
"Syap1","Syap1",652,752,615,846,1051,1074
"Msl3","Msl3",822,975,884,965,897,833
"Ctps2","Ctps2",2516,2745,2661,2766,2324,2313
"Zfp275","Zfp275",430,462,440,472,347,431
"Ap1s2","Ap1s2",49,88,54,80,144,136
"Zrsr2","Zrsr2",166,241,221,277,248,251
"Haus7","Haus7",596,720,622,843,696,679
"Abcd1","Abcd1",2767,3475,3250,2915,2724,2403
"Piga","Piga",587,667,487,1085,906,723
"Asb11","Asb11",1925,2167,2102,2661,2272,2314
"Plxnb3","Plxnb3",175,173,241,151,190,211
"Hcfc1","Hcfc1",3925,4362,4003,4258,3802,3203
"Renbp","Renbp",15403,17728,16192,15660,16365,15674
"Naa10","Naa10",230,292,205,283,243,228
"L1cam","L1cam",182,192,225,47,41,98
"Irak1","Irak1",4172,5202,4700,4607,4204,4554
"Mecp2","Mecp2",618,712,710,1050,1020,954
"Plxna3","Plxna3",183,212,188,168,130,99
"Fam3a","Fam3a",521,599,562,576,624,638
"G6pdx","G6pdx",16176,20124,18074,16004,14566,15083
"Mpp1","Mpp1",8829,9885,9691,11725,10365,10469
"Dkc1","Dkc1",985,1548,1208,1240,1051,1128
"Morf4l2","Morf4l2",4013,5242,4779,5701,5498,5363
"Psmd10","Psmd10",1120,1326,1211,1765,1676,2011
"Tsc22d3","Tsc22d3",4157,5199,5068,5301,5439,5993
"Prps1","Prps1",1745,2027,1715,2573,1961,1897
"Rbm41","Rbm41",84,85,100,80,90,151
"Rnf128","Rnf128",9497,12151,11655,16054,18034,19668
"Atp11a","Atp11a",1152,1371,1401,1165,843,1492
"Mcf2l","Mcf2l",785,1046,1076,780,693,651
"F7","F7",5900,7594,6450,6571,6682,6852
"F10","F10",3792,5396,4472,3446,3132,3285
"Proz","Proz",75,49,60,41,33,102
"Cul4a","Cul4a",3210,4183,3656,4427,4498,4118
"Lamp1","Lamp1",53747,65792,61798,77350,64593,78610
"Gas6","Gas6",11925,14303,13665,17358,17022,17279
"Rasa3","Rasa3",8660,10678,9460,11551,10398,10564
"Coprs","Coprs",538,711,521,571,649,558
"Myom2","Myom2",4,0,1,0,7,0
"Angpt2","Angpt2",588,612,530,684,603,522
"Agpat5","Agpat5",1436,1992,1580,2054,1842,1855
"Nek3","Nek3",55,44,62,40,22,61
"Vps36","Vps36",654,791,700,867,890,918
"Thsd1","Thsd1",66,84,57,117,71,86
"Slc25a15","Slc25a15",472,627,552,650,470,513
"Erlin2","Erlin2",3033,3527,3372,3914,3467,3451
"Plpbp","Plpbp",1801,2287,2060,1971,1747,1807
"Brf2","Brf2",311,343,338,313,378,379
"Rab11fip1","Rab11fip1",392,414,388,413,458,393
"Eif4ebp1","Eif4ebp1",3788,4108,3857,3997,4615,4708
"Tnfsf13b","Tnfsf13b",105,168,158,88,80,82
"Col4a1","Col4a1",518,508,608,1081,1228,1047
"Col4a2","Col4a2",11,14,7,22,7,30
"Rab20","Rab20",658,739,674,872,1030,922
"Naxd","Naxd",1471,1660,1564,1897,1974,1901
"Ptpn7","Ptpn7",2284,2989,2614,2228,2304,2035
"Ankrd10","Ankrd10",480,661,540,270,413,438
"Arhgef7","Arhgef7",823,1092,935,1124,950,825
"Leprotl1","Leprotl1",798,716,886,713,808,788
"Dctn6","Dctn6",937,1208,1157,1396,1224,1405
"Aga","Aga",1538,1822,1652,2081,2218,2038
"Dlc1","Dlc1",0,0,5,0,1,0
"Eri1","Eri1",1843,2136,1949,2445,2066,2263
"Tnks","Tnks",2917,3541,3488,4579,3352,3551
"Dusp4","Dusp4",8348,9417,10461,12461,12737,11914
"Saraf","Saraf",5502,6625,6327,7150,7311,7297
"Mrps31","Mrps31",672,690,627,648,750,624
"Smim19","Smim19",317,327,272,242,219,387
"Polb","Polb",562,683,527,820,715,705
"Ikbkb","Ikbkb",3453,3751,3697,4205,3645,3193
"Plat","Plat",14,15,32,9,4,7
"Ap3m2","Ap3m2",453,479,435,601,491,621
"Kat6a","Kat6a",712,631,596,853,770,613
"Ank1","Ank1",3,5,0,1,7,1
"Gpat4","Gpat4",3411,3606,3730,3908,3957,3409
"Gins4","Gins4",1146,1334,1139,1527,1387,1258
"Ido2","Ido2",53,106,86,103,112,76
"Ido1","Ido1",9,17,18,14,6,1
"Adam3","Adam3",84,80,55,105,107,108
"Adam9","Adam9",2594,3145,3300,7388,7915,7955
"Tm2d2","Tm2d2",2765,3061,2921,3418,3277,3179
"Plekha2","Plekha2",3780,4013,4015,4813,4082,3507
"Slit2","Slit2",0,1,1,0,0,1
"Tenm3","Tenm3",0,3,2,1,10,1
"Dctd","Dctd",334,343,306,334,315,282
"Wwc2","Wwc2",411,420,377,482,642,520
"Fgfr1","Fgfr1",9417,10248,10585,9183,9396,8655
"Rwdd4a","Rwdd4a",382,514,484,548,597,653
"Plpp5","Plpp5",514,625,497,563,626,560
"Star","Star",19,9,10,25,16,15
"Ash2l","Ash2l",2967,3468,3398,3614,2672,3086
"Tti2","Tti2",760,820,643,691,821,666
"Mak16","Mak16",536,512,511,624,536,485
"Wrn","Wrn",362,545,437,752,628,718
"Gsr","Gsr",1976,2914,2607,4602,4199,4632
"Gtf2e2","Gtf2e2",1349,1730,1452,1781,1542,1655
"Rbpms","Rbpms",0,4,0,0,1,1
"Frg1","Frg1",1221,1421,1447,1543,1481,1430
"Asah1","Asah1",7059,8112,7979,13100,11620,12067
"Pcm1","Pcm1",397,570,492,508,465,387
"Slc7a2","Slc7a2",329,401,373,723,528,447
"Vps37a","Vps37a",778,815,918,1122,1365,1421
"Cnot7","Cnot7",723,947,899,1102,1136,1283
"Msmo1","Msmo1",1902,2576,2107,3014,2403,2919
"Klhl2","Klhl2",326,358,279,365,247,544
"Galnt7","Galnt7",1891,2169,2250,2918,2777,2345
"Sap30","Sap30",1817,2003,1952,1981,1989,1878
"Ednra","Ednra",0,2,0,0,6,0
"Tmem184c","Tmem184c",559,667,501,700,895,878
"Sin3b","Sin3b",4839,5930,5214,5966,6153,5984
"Sorbs2","Sorbs2",1,0,0,0,0,4
"Irf2","Irf2",678,886,806,1180,1121,995
"Casp3","Casp3",879,1155,1033,1648,1236,1423
"Cenpu","Cenpu",71,88,51,67,47,55
"Cfap97","Cfap97",200,291,312,316,354,369
"Slc25a4","Slc25a4",6729,8729,7906,9301,9174,9354
"Ufsp2","Ufsp2",2567,2913,2719,3583,3667,3645
"Tlr3","Tlr3",43,70,80,112,51,35
"Cbr4","Cbr4",367,413,341,472,511,422
"Sh3rf1","Sh3rf1",1377,1748,1459,1544,1425,1351
"Nek1","Nek1",329,426,416,459,445,365
"Mfap3l","Mfap3l",35,49,89,167,160,120
"N4bp1","N4bp1",1226,1245,1414,1105,779,875
"Heatr3","Heatr3",1877,2306,2102,2127,1592,1704
"Adcy7","Adcy7",3440,4386,3520,3668,3101,2990
"Brd7","Brd7",1513,2114,2036,2266,2276,2216
"Snx20","Snx20",778,1048,754,872,460,1196
"Rbl2","Rbl2",1145,1385,1231,1790,1440,1185
"Aktip","Aktip",646,817,803,836,979,941
"Eif2ak3","Eif2ak3",1465,1834,1678,1396,1275,1098
"Gins3","Gins3",305,392,367,354,500,309
"Setd6","Setd6",529,564,576,804,752,774
"Got2","Got2",8845,11305,10074,10608,9627,9072
"Smad1","Smad1",620,751,703,669,624,510
"Lsm6","Lsm6",539,613,494,586,533,538
"Slc10a7","Slc10a7",395,489,519,461,546,624
"Tnpo2","Tnpo2",1929,2459,2304,2431,2269,2442
"Vps35","Vps35",10310,12444,11275,14674,13858,14314
"Orc6","Orc6",493,522,397,563,471,498
"Gpt2","Gpt2",2460,2547,2697,2587,2532,2355
"Dnaja2","Dnaja2",4138,5175,4751,6048,5696,6167
"Itfg1","Itfg1",1941,2292,2149,2572,2461,2429
"Rfx1","Rfx1",653,623,629,670,698,548
"Tecr","Tecr",6742,9408,7837,9154,8763,8329
"Tbc1d9","Tbc1d9",1022,1134,1278,2024,1963,2259
"Zfp330","Zfp330",1387,1627,1433,1766,1539,1657
"Il15","Il15",399,592,433,324,299,364
"Smarca5","Smarca5",1544,2183,1775,1793,1190,2047
"Hp","Hp",41,44,33,526,400,454
"Txnl4b","Txnl4b",110,196,222,212,227,276
"Zfp821","Zfp821",218,273,279,253,355,334
"Ist1","Ist1",3771,4669,4567,5519,5393,5605
"Dhodh","Dhodh",699,890,792,914,832,673
"Ap1g1","Ap1g1",4421,4574,4969,6535,5594,5265
"Phlpp2","Phlpp2",28,20,43,14,19,24
"Crnde","Crnde",29,39,27,40,58,13
"Mmp2","Mmp2",11,15,9,13,3,10
"Gnao1","Gnao1",512,436,472,402,392,225
"St3gal2","St3gal2",3489,3933,3607,3537,3338,3265
"Il34","Il34",6,2,3,12,10,16
"Amfr","Amfr",3640,3931,3673,3837,2480,4123
"Cog4","Cog4",3002,3658,3240,4355,3673,3801
"Nudt21","Nudt21",1230,1490,1207,1434,1295,1564
"Bbs2","Bbs2",684,660,644,410,424,511
"Cenpn","Cenpn",240,355,244,370,291,235
"Cdyl2","Cdyl2",324,382,355,477,469,406
"Mt2","Mt2",20,25,16,97,113,107
"Mt1","Mt1",16454,19886,15836,53699,53645,58123
"Nudt7","Nudt7",187,315,228,250,306,254
"Herpud1","Herpud1",2006,2537,2303,1751,1684,1633
"Fam192a","Fam192a",1811,2058,1751,2143,1813,1878
"Arl2bp","Arl2bp",1828,2211,1962,1781,1695,2011
"Ciapin1","Ciapin1",1547,1853,1781,1664,1684,1838
"Coq9","Coq9",2953,3553,2996,3315,3059,3095
"Polr2c","Polr2c",2829,3225,2903,3294,3267,3440
"Adgrg1","Adgrg1",223,185,263,254,242,213
"Katnb1","Katnb1",867,1011,849,1030,1014,903
"Kifc3","Kifc3",1047,1362,1383,894,976,797
"Tmem38a","Tmem38a",843,1032,916,932,703,707
"Usb1","Usb1",2353,2757,2770,3340,3351,3274
"Cfap20","Cfap20",718,889,742,845,775,802
"Tpm4","Tpm4",3860,4380,3884,5972,5259,5654
"B3gnt3","B3gnt3",1485,1896,1599,1787,1767,1578
"Jak3","Jak3",990,1351,1262,3583,3634,3506
"Pgls","Pgls",4979,5954,5186,4941,5311,5313
"Slc27a1","Slc27a1",11864,13842,13260,10619,11008,10156
"Map1lc3b","Map1lc3b",9516,11475,10090,13049,12177,13059
"Mvb12a","Mvb12a",3675,4667,3997,4432,4778,4848
"Mthfsd","Mthfsd",1145,1567,1581,1394,1372,1494
"Cox4i1","Cox4i1",20604,23933,21197,23302,23200,24423
"Emc8","Emc8",1341,1869,1454,1521,1368,1363
"Babam1","Babam1",3119,3796,3747,3986,3965,4015
"Gins2","Gins2",427,532,465,589,525,508
"Gse1","Gse1",663,800,844,782,884,777
"Zdhhc7","Zdhhc7",1924,2398,2232,2242,2450,2306
"X6430548M08Rik","6430548M08Rik",2751,3505,3311,3732,3210,2999
"Crispld2","Crispld2",3,11,0,0,1,5
"Usp10","Usp10",1689,2348,1901,2022,1871,1664
"Cotl1","Cotl1",2696,2971,2758,3258,3089,2792
"Klhl36","Klhl36",241,387,305,322,343,432
"Taf1c","Taf1c",520,623,550,545,424,486
"Mast3","Mast3",3995,5356,4784,5025,5886,4971
"Pik3r2","Pik3r2",3893,5198,4393,4361,4420,4060
"Mbtps1","Mbtps1",4932,6058,5426,5071,4941,4826
"Ifi30","Ifi30",4556,5768,4825,7853,7103,7389
"Hsbp1","Hsbp1",2854,3172,3067,4278,3999,4305
"Rab3a","Rab3a",105,129,98,115,118,149
"Cdh13","Cdh13",0,1,0,1,0,0
"Mphosph6","Mphosph6",774,928,726,890,811,1126
"Hsd17b2","Hsd17b2",131,281,242,134,97,136
"X1700030J22Rik","1700030J22Rik",33,25,22,15,9,24
"Lsm4","Lsm4",2501,3004,2374,2899,2702,2829
"Comp","Comp",30,37,32,57,44,71
"Ntpcr","Ntpcr",570,631,592,662,601,673
"Mau2","Mau2",2976,3369,3571,3725,3252,3542
"Pbx4","Pbx4",29,62,42,23,21,42
"Atp13a1","Atp13a1",4256,5111,4596,4371,4409,3844
"Ints10","Ints10",976,1464,1305,1473,1252,1202
"Dctn1","Dctn1",3847,4548,4705,3563,3609,3408
"Cmtm3","Cmtm3",4143,5248,4682,3596,3746,3519
"Nae1","Nae1",668,840,649,823,814,786
"Ciao2b","Ciao2b",1049,1272,1152,1108,1259,1449
"Rrad","Rrad",17,2,14,19,15,4
"Car7","Car7",16,40,27,35,21,18
"Cbfb","Cbfb",430,573,488,535,504,659
"Tradd","Tradd",1431,1815,1439,1784,1935,1821
"D230025D16Rik","D230025D16Rik",1043,1089,1184,1161,1215,1147
"Tsnaxip1","Tsnaxip1",0,1,3,2,0,1
"Psmb10","Psmb10",1645,2406,1926,2530,2374,2290
"Dus2","Dus2",884,929,965,1283,1193,1213
"Nfatc3","Nfatc3",1465,1788,1813,1856,1676,1477
"Pla2g15","Pla2g15",6640,7915,7494,15557,15908,15260
"Slc7a6","Slc7a6",1051,1401,1238,1463,1338,1151
"Zfp90","Zfp90",32,53,45,50,25,47
"Vps4a","Vps4a",2216,2476,2217,2717,2334,2289
"Cog8","Cog8",2692,3367,3064,3171,3514,3175
"Nip7","Nip7",2443,2871,2450,2980,2695,2744
"Mtmr2","Mtmr2",1340,1515,1467,1905,1613,1899
"Terf2","Terf2",423,476,484,516,375,397
"Cep57","Cep57",265,372,314,352,275,332
"Cyb5b","Cyb5b",4686,5764,5448,6652,6015,6001
"Maml2","Maml2",144,217,143,178,162,114
"Mre11a","Mre11a",907,1027,1115,1185,1089,1114
"Wwp2","Wwp2",6336,7844,6662,6429,5928,5933
"Ankrd49","Ankrd49",306,323,256,369,356,332
"Panx1","Panx1",1537,1893,1633,1235,1238,1066
"Med17","Med17",1206,1545,1356,1479,1248,1263
"X4931406C07Rik","4931406C07Rik",176,130,106,116,115,148
"Taf1d","Taf1d",253,262,242,246,264,248
"Kars","Kars",3267,4267,3515,4208,3659,3624
"Adat1","Adat1",172,252,215,211,181,243
"Gabarapl2","Gabarapl2",1710,2030,1847,2296,2264,2314
"Tmem231","Tmem231",290,428,311,529,369,435
"Tmem170","Tmem170",12,26,4,8,21,33
"Cfdp1","Cfdp1",1334,1508,1375,1699,1577,1495
"Bcar1","Bcar1",43,75,54,58,64,32
"Wdr59","Wdr59",622,736,592,745,724,763
"Aars","Aars",14489,15673,16594,16664,18571,17848
"Bmper","Bmper",77,108,75,78,43,34
"Tbx20","Tbx20",19,6,9,20,9,9
"Afg3l1","Afg3l1",4686,5818,5153,5370,4728,4696
"Acad8","Acad8",614,822,618,704,587,570
"Dbndd1","Dbndd1",8,34,14,12,21,15
"Ccsap","Ccsap",174,128,136,155,146,92
"Abcb10","Abcb10",598,800,583,596,467,519
"Urb2","Urb2",1646,1701,1772,2167,1602,1449
"Cog2","Cog2",4821,5854,5720,6237,5647,6036
"Agt","Agt",1606,2211,1925,1369,1307,1441
"Capn9","Capn9",231,306,210,211,191,160
"Arv1","Arv1",152,175,224,214,282,251
"X2310022B05Rik","2310022B05Rik",1187,1535,1329,1474,1429,1361
"X2810004N23Rik","2810004N23Rik",882,991,894,966,1053,907
"Gnpat","Gnpat",3272,3907,3586,3947,3714,3423
"Sprtn","Sprtn",457,408,478,422,411,413
"Egln1","Egln1",307,468,324,285,182,223
"Vps26b","Vps26b",992,1216,1095,1181,1107,1087
"Snx19","Snx19",1800,1966,2038,1953,1738,1924
"St14","St14",2,11,11,10,14,23
"Aplp2","Aplp2",14871,16912,17112,21325,19568,18037
"Birc3","Birc3",512,553,500,1112,1045,1066
"Dcun1d5","Dcun1d5",1124,1351,1263,1329,1434,1552
"Usp2","Usp2",55,65,81,127,104,57
"Nectin1","Nectin1",233,256,170,160,207,189
"Trim29","Trim29",675,772,785,708,705,527
"Oaf","Oaf",240,284,242,322,203,331
"Grik4","Grik4",29,45,15,7,13,10
"Sc5d","Sc5d",800,1027,893,849,882,892
"Ubash3b","Ubash3b",1995,2189,2009,2796,2217,2104
"Clmp","Clmp",39,75,42,23,33,37
"Rexo2","Rexo2",1572,1795,1662,1599,1456,1437
"Cul5","Cul5",705,704,709,835,769,938
"St3gal4","St3gal4",297,413,427,459,397,317
"Dcps","Dcps",406,574,413,488,454,470
"Tirap","Tirap",143,230,224,205,212,188
"Srpr","Srpr",4837,5693,5392,6424,5609,5585
"Rpusd4","Rpusd4",415,530,442,540,515,428
"Abhd12","Abhd12",7018,8222,7704,8630,8039,7912
"Acat1","Acat1",2669,3596,2673,2272,1563,1998
"Rdx","Rdx",1020,1443,1244,1672,1487,1480
"Fdx1","Fdx1",534,684,594,704,797,640
"Ppp2r1b","Ppp2r1b",1925,2317,2067,2486,1970,1863
"Alg9","Alg9",1385,1692,1455,1374,1393,1397
"Bco2","Bco2",106,144,139,159,132,115
"Pts","Pts",343,358,362,242,271,313
"Cadm1","Cadm1",5193,6099,6262,7287,6500,6270
"Bud13","Bud13",706,731,783,733,801,620
"Zpr1","Zpr1",1993,2511,2383,2368,2255,2001
"Bace1","Bace1",147,118,135,135,167,108
"Dscaml1","Dscaml1",0,1,0,0,1,0
"Il10ra","Il10ra",3479,4274,3720,2064,2156,2044
"Arcn1","Arcn1",5210,6403,6124,7624,6753,6741
"Ddx6","Ddx6",1120,1433,1315,1956,1656,1534
"Ddx25","Ddx25",393,417,391,547,337,279
"Trappc4","Trappc4",1492,1641,1580,1307,1516,1471
"Chek1","Chek1",69,99,52,65,34,91
"Slc37a4","Slc37a4",910,1202,982,804,972,795
"Hyou1","Hyou1",1911,2222,1973,2238,2011,1920
"Stt3a","Stt3a",8528,9977,9737,10979,9653,9161
"Hinfp","Hinfp",543,668,828,908,611,681
"C2cd2l","C2cd2l",1477,1634,1692,1635,1640,1437
"Tmem218","Tmem218",246,200,182,267,182,206
"Slc37a2","Slc37a2",8383,8306,8883,11245,10147,10809
"Dpagt1","Dpagt1",1145,1317,1333,1208,1085,948
"Hmbs","Hmbs",1500,2029,1518,1993,2007,1884
"Vps11","Vps11",6550,7801,7372,9277,9086,8930
"Mcam","Mcam",65,72,54,11,17,28
"Pin1","Pin1",1881,2199,2023,2111,2061,1974
"Olfm2","Olfm2",16,73,53,27,44,24
"Icam5","Icam5",23,69,16,47,58,51
"Tyk2","Tyk2",3175,3613,3798,2917,3506,3154
"Pde4a","Pde4a",584,677,563,606,731,642
"Ilf3","Ilf3",1943,2193,2342,2108,2105,1781
"Tmed1","Tmed1",654,744,607,837,843,905
"Yipf2","Yipf2",481,600,603,492,561,618
"Lysmd2","Lysmd2",108,113,83,112,129,93
"Carm1","Carm1",1079,1439,1279,1182,828,1540
"Tmod2","Tmod2",0,0,0,0,0,0
"Smarca4","Smarca4",3804,5013,3968,5807,5203,4430
"Gnb5","Gnb5",602,682,531,954,784,851
"Ldlr","Ldlr",2429,3662,3035,3919,3185,3345
"Kank2","Kank2",439,601,334,604,608,567
"Dock6","Dock6",464,493,386,435,475,385
"Polr2m","Polr2m",3507,4136,3732,4438,4571,4289
"Rab27a","Rab27a",2,15,2,0,0,0
"Aqp9","Aqp9",350,349,339,637,610,725
"Sltm","Sltm",469,556,510,571,504,441
"Rsl24d1","Rsl24d1",560,721,700,844,691,733
"Nedd4","Nedd4",2478,2970,2761,1974,1851,1832
"Rnf111","Rnf111",1358,1838,1634,1736,1621,1670
"Ccnb2","Ccnb2",857,1216,882,1435,1223,1226
"Myo1e","Myo1e",7179,7571,7988,18962,15350,14775
"Mns1","Mns1",8,22,19,29,11,3
"Tcf12","Tcf12",3424,3902,3614,4906,4589,3790
"Anxa2","Anxa2",19720,24243,21274,27866,24694,26082
"Cgnl1","Cgnl1",1120,1214,1234,1409,1234,1054
"Ice2","Ice2",126,226,166,254,280,133
"Rora","Rora",217,249,307,443,378,402
"Rp9","Rp9",546,580,606,625,624,626
"Itga11","Itga11",0,1,0,1,0,0
"Fem1b","Fem1b",1671,1920,2059,3557,3021,2797
"Cln6","Cln6",799,1005,992,1070,1022,1052
"Anp32a","Anp32a",420,349,396,358,352,346
"Irak1bp1","Irak1bp1",181,234,215,205,187,222
"Glce","Glce",605,835,947,818,728,746
"Phip","Phip",513,644,638,550,621,736
"Kif23","Kif23",792,1116,822,1063,791,581
"Lca5","Lca5",75,61,66,92,102,51
"Sh3bgrl2","Sh3bgrl2",1645,1759,1896,1579,1650,1583
"Elovl4","Elovl4",117,127,155,100,95,110
"Bckdhb","Bckdhb",382,536,373,491,458,483
"Zw10","Zw10",673,845,810,861,645,648
"Tent5a","Tent5a",550,649,574,622,637,632
"Usp28","Usp28",872,1130,1073,1141,966,842
"Nnmt","Nnmt",0,1,1,77,69,82
"Idh3a","Idh3a",3066,3821,3120,4418,3637,3587
"Tle3","Tle3",1441,1484,1562,2148,2001,1733
"Acsbg1","Acsbg1",5,0,0,0,0,0
"Imp3","Imp3",985,1305,1033,1092,1248,1013
"Ptpn9","Ptpn9",656,866,802,766,852,683
"Ireb2","Ireb2",689,956,779,982,860,1035
"Pkm","Pkm",95066,125768,111231,118352,107609,107618
"Man2c1","Man2c1",2387,2911,2633,2971,2858,2613
"Neil1","Neil1",614,831,691,941,1070,983
"Commd4","Commd4",1797,2109,1857,1709,1906,1856
"X1700017B05Rik","1700017B05Rik",3719,4420,4386,3746,3923,3940
"Psma4","Psma4",1923,2243,1961,2478,2114,2162
"Fam219b","Fam219b",375,363,370,478,287,404
"Mpi","Mpi",1125,1490,1218,1578,1458,1647
"Ube2q2","Ube2q2",782,957,931,891,798,905
"Ulk3","Ulk3",539,655,646,677,608,622
"Fbxo22","Fbxo22",1435,1446,1405,1585,1335,1384
"Nrg4","Nrg4",32,60,48,69,77,64
"Csk","Csk",1197,1428,1235,929,938,958
"Tmem266","Tmem266",212,227,199,190,212,172
"Etfa","Etfa",2929,3417,3121,3293,3464,3589
"Clk3","Clk3",1139,1492,1147,1539,1650,1572
"Isl2","Isl2",32,35,33,32,25,14
"Rcn2","Rcn2",1031,1448,1319,1948,1656,2062
"Pstpip1","Pstpip1",1218,1708,1735,2353,2177,2531
"Cyp11a1","Cyp11a1",654,714,673,567,616,627
"Tspan3","Tspan3",1319,1701,1602,2562,2320,2443
"Tmem30a","Tmem30a",1733,2221,2102,2650,2742,3371
"Hmg20a","Hmg20a",1204,1382,1178,1471,1185,1145
"Cox7a2","Cox7a2",3376,3986,3234,4579,4663,4507
"Col12a1","Col12a1",0,20,8,7,0,0
"Stoml1","Stoml1",469,534,536,538,560,601
"Nptn","Nptn",2723,3146,3257,4948,4044,4297
"Neo1","Neo1",2,0,0,4,6,0
"Mto1","Mto1",683,784,727,879,670,786
"Cgas","Cgas",261,313,355,368,448,329
"Elovl5","Elovl5",1925,2516,2190,3198,2830,3290
"Gclc","Gclc",2668,3305,3105,3902,3607,4509
"Lrrc1","Lrrc1",151,123,138,80,56,66
"Tmed3","Tmed3",1649,1880,1623,2024,2018,1902
"Adamts7","Adamts7",0,0,0,0,1,0
"Tpm1","Tpm1",1290,1634,1638,2524,2473,2344
"Plscr1","Plscr1",613,881,721,863,746,625
"Lactb","Lactb",464,636,605,650,718,658
"Car12","Car12",332,422,367,531,418,520
"Plod2","Plod2",291,496,363,314,225,354
"Aph1b","Aph1b",115,138,165,232,155,147
"Usp3","Usp3",911,845,863,1331,1094,1137
"Dapk2","Dapk2",1,0,7,0,6,0
"Ciao2a","Ciao2a",2093,2636,2206,3119,2757,2904
"Snx1","Snx1",5375,6410,5836,7373,6421,6464
"Ppib","Ppib",674,766,741,1018,955,1035
"Csnk1g1","Csnk1g1",261,344,322,397,331,328
"Trip4","Trip4",692,741,749,906,863,967
"Rbpms2","Rbpms2",267,319,321,515,570,425
"Spg21","Spg21",6648,7816,7352,7102,7112,7243
"Parp16","Parp16",214,325,329,311,291,227
"Dpp8","Dpp8",1193,1460,1460,1565,1258,1200
"Dis3l","Dis3l",604,718,651,691,678,618
"Tipin","Tipin",415,596,445,426,397,444
"Snapc5","Snapc5",221,222,195,205,145,208
"Rpl4","Rpl4",20858,24930,22136,23415,24478,24467
"Zwilch","Zwilch",98,221,140,213,165,138
"Lctl","Lctl",0,0,0,0,0,0
"Smad3","Smad3",394,486,455,392,486,376
"X2300009A05Rik","2300009A05Rik",47,69,59,68,56,85
"Pias1","Pias1",1423,1712,1785,2262,1859,1946
"U2surp","U2surp",1079,1502,1231,1434,1398,1822
"Atr","Atr",343,334,350,355,243,198
"Xrn1","Xrn1",575,763,643,897,621,650
"Tfdp2","Tfdp2",385,645,444,353,393,383
"Atp1b3","Atp1b3",6783,7808,7488,10224,9285,9419
"Rasa2","Rasa2",399,336,444,457,394,372
"Ube2cbp","Ube2cbp",1,16,14,12,16,6
"Rwdd2a","Rwdd2a",173,232,162,278,179,176
"Me1","Me1",1078,1282,1087,1185,1119,1252
"Snx14","Snx14",944,1290,1126,1182,1168,987
"Syncrip","Syncrip",1009,1093,1128,1287,982,1130
"Zfp949","Zfp949",138,131,149,138,144,188
"Crtap","Crtap",1284,1577,1524,2028,2085,1985
"Cmtm6","Cmtm6",1510,1753,1548,1915,2002,1966
"Dync1li1","Dync1li1",3966,4503,4271,5923,4892,4911
