"","Geneid","control.cells_1","control.cells_2","control.cells_3","IL.10.cells_1","IL.10.cells_2","IL.10.cells_3"
"Atxn7","Atxn7",195,179,251,208,167,224
"Ptprg","Ptprg",392,495,456,430,406,235
"Pdhb","Pdhb",4330,5114,4757,5448,5340,5721
"Kctd6","Kctd6",86,100,71,76,59,174
"Map3k1","Map3k1",1478,1788,1560,2261,1822,2002
"Il6st","Il6st",3617,4175,4685,8389,7835,7430
"Plpp1","Plpp1",13,28,24,68,18,40
"BC067074","BC067074",0,11,0,0,0,1
"Ndufs4","Ndufs4",1532,1611,1516,1703,1655,1584
"Kat6b","Kat6b",137,213,177,211,205,209
"Dusp13","Dusp13",52,68,83,84,80,104
"Samd8","Samd8",1824,2283,2424,2920,3268,3422
"Vdac2","Vdac2",6407,7633,7187,8416,6938,7553
"Nkiras1","Nkiras1",48,42,66,74,72,109
"Comtd1","Comtd1",173,192,162,205,150,183
"Ube2e1","Ube2e1",233,270,265,373,361,383
"Nr1d2","Nr1d2",466,520,610,486,665,631
"Ngly1","Ngly1",297,367,327,339,324,299
"Oxsm","Oxsm",243,329,330,288,340,284
"Fam213a","Fam213a",823,1175,961,1084,1005,913
"Glud1","Glud1",4405,5132,5233,6061,4589,4706
"Bmpr1a","Bmpr1a",1089,1057,1257,1508,1165,1542
"Rtraf","Rtraf",2289,2316,2045,2714,2692,2571
"Nudt13","Nudt13",162,125,116,193,164,166
"Ecd","Ecd",2110,2398,2114,2377,2208,2187
"Dnajc9","Dnajc9",487,679,547,619,581,723
"Anxa7","Anxa7",3326,3591,3289,4478,4163,4021
"Ppp3cb","Ppp3cb",293,431,389,473,401,391
"Zswim8","Zswim8",1845,2221,2219,2027,1928,1801
"Camk2g","Camk2g",61,96,137,108,86,77
"Plau","Plau",818,695,875,2657,2790,2364
"Vcl","Vcl",1578,1861,1760,1804,1598,1498
"Ap3m1","Ap3m1",1659,1797,2095,2358,2350,2489
"Txndc16","Txndc16",529,502,507,635,483,420
"Ero1l","Ero1l",5743,7834,7494,5179,5049,5799
"Psmc6","Psmc6",1625,2113,1854,2384,2211,2468
"Samd4","Samd4",467,604,592,525,590,504
"Mapk1ip1l","Mapk1ip1l",1009,1201,1266,1606,1392,1318
"Ktn1","Ktn1",681,817,648,830,752,783
"Anxa11","Anxa11",684,797,673,648,630,594
"Ppif","Ppif",642,926,673,1022,885,801
"Slmap","Slmap",972,1327,1211,1187,1409,1443
"Rnase4","Rnase4",1442,1676,1501,2586,2255,2426
"Arf4","Arf4",4595,5741,4902,6342,5684,5963
"Gpr65","Gpr65",56,98,46,110,87,114
"Eaf1","Eaf1",2457,3142,3162,4818,5110,5418
"Mettl6","Mettl6",688,631,669,874,689,747
"Sh3bp5","Sh3bp5",1034,1268,1303,1664,1542,1501
"Capn7","Capn7",966,1174,1073,971,871,1146
"Arhgef3","Arhgef3",209,190,220,223,220,228
"Btd","Btd",294,367,311,355,362,279
"Bap1","Bap1",3402,4239,3737,4129,4233,4195
"Phf7","Phf7",91,91,100,90,102,75
"Dph3","Dph3",327,351,257,283,234,217
"Oxnad1","Oxnad1",322,377,419,479,382,395
"Gm6768","Gm6768",69,101,77,107,75,63
"Nisch","Nisch",7761,9846,8489,7173,6783,6334
"Parg","Parg",1097,1436,1238,1316,1401,1418
"Ogdhl","Ogdhl",1214,1606,1522,1726,1539,1503
"Glt8d1","Glt8d1",449,473,517,492,507,555
"Spcs1","Spcs1",2440,2813,2513,3008,2940,3397
"Nek4","Nek4",394,417,496,411,426,388
"Ebpl","Ebpl",568,717,604,775,713,652
"Kpna3","Kpna3",1142,1641,1524,1705,1507,1811
"Spryd7","Spryd7",660,805,761,721,917,907
"Rnaseh2b","Rnaseh2b",470,562,564,606,536,463
"Mapk8","Mapk8",55,79,59,66,52,33
"Pspc1","Pspc1",712,850,707,997,912,1040
"Ctsb","Ctsb",242414,257870,265696,591499,557228,558521
"Zmym2","Zmym2",684,724,665,730,625,597
"Cryl1","Cryl1",688,838,755,745,765,769
"Prkcd","Prkcd",6819,8398,7620,6941,7407,6983
"Eef1akmt1","Eef1akmt1",623,787,681,760,576,715
"Xpo4","Xpo4",609,832,803,821,780,721
"Tkt","Tkt",13173,17456,13927,13605,12642,12258
"Pinx1","Pinx1",83,97,85,95,131,144
"Lats2","Lats2",6,4,16,3,5,7
"Dcp1a","Dcp1a",919,970,1157,1195,1215,1031
"Sap18","Sap18",1590,2088,1798,2263,2228,2132
"Ska3","Ska3",197,240,174,388,270,274
"Mrpl57","Mrpl57",1411,1520,1419,1508,1739,1606
"Zdhhc20","Zdhhc20",1052,1345,1388,1196,1539,1397
"Hmbox1","Hmbox1",207,266,180,298,267,291
"Micu2","Micu2",1854,2083,2197,2493,2065,2151
"Ints9","Ints9",742,939,837,1052,881,812
"Extl3","Extl3",758,824,901,899,740,772
"Cab39l","Cab39l",1047,1324,1149,1403,1288,1356
"Cdadc1","Cdadc1",233,289,247,222,225,201
"Atp8a2","Atp8a2",0,0,0,0,1,1
"Mtmr6","Mtmr6",1088,1310,1166,1594,1235,1316
"Spata13","Spata13",569,983,829,648,514,555
"Cacna2d3","Cacna2d3",0,0,1,0,1,1
"Mipep","Mipep",946,1195,1080,1355,1164,1217
"Esd","Esd",10919,12916,11555,15549,15763,16373
"Lcp1","Lcp1",31718,36885,34029,35340,28888,26128
"Zc3h13","Zc3h13",886,929,972,1106,1020,835
"Slc25a30","Slc25a30",321,289,292,496,413,428
"Gpalpp1","Gpalpp1",644,755,898,1343,974,969
"Nufip1","Nufip1",627,744,561,771,735,698
"Tsc22d1","Tsc22d1",71,93,64,76,65,70
"Dnajc15","Dnajc15",1042,1062,1037,1537,1496,1410
"Epsti1","Epsti1",239,258,267,489,329,422
"Akap11","Akap11",495,536,592,716,704,583
"Rgcc","Rgcc",472,635,572,1190,1102,1208
"Tdrd3","Tdrd3",233,259,239,257,189,163
"Naa16","Naa16",180,360,310,364,324,356
"Diaph3","Diaph3",104,134,71,164,113,130
"Mtrf1","Mtrf1",174,301,261,221,261,242
