Geneid,control Evs_1,control Evs_2,control Evs_3,TGFB Evs_1,TGFB Evs_2,TGFB Evs_3
Btbd6,268,0,437,0,85,0
Nudt14,1341,398,423,236,327,176
Flii,1657,421,499,107,755,160
Top3a,0,0,0,0,161,0
Atg4d,0,927,1166,668,816,1149
Qtrt1,199,56,0,0,408,0
Hdgfl2,811,505,510,1274,2355,1043
Chaf1a,630,346,549,188,379,206
Adprh,1474,56,124,0,270,125
Tmem39a,0,0,4,0,151,176
Timmdc1,30,48,0,226,150,11
Pla1a,987,10,0,1,98,57
Mcm2,1807,184,1,0,573,54
Tpra1,3213,464,0,0,190,86
Nab1,239,150,346,3,407,457
Adgre5,0,0,0,0,0,0
Il17ra,796,128,5,0,440,61
Lamb1,0,0,0,0,0,0
Kcnn1,0,0,0,0,198,19
Arrdc2,104,0,6,0,0,0
Cd36,0,0,0,0,92,0
Map2k7,583,139,7,177,322,261
Timm44,2380,94,403,92,905,197
Ap2a2,3165,2233,1479,2606,5364,3401
Pnkp,1563,343,0,380,360,94
Med25,839,171,78,164,219,164
Bcam,0,0,0,122,0,0
Clptm1,3031,292,358,0,672,268
Relb,495,91,243,265,167,425
Tomm40,2860,403,1273,682,1066,811
Apoe,280409,65484,70796,13750,38295,13597
Hbp1,1966,777,609,0,821,415
Prkar2b,2399,179,14,0,567,160
Cdkn1b,7,0,4,0,1,4
Klf4,43,40,4,3,1,0
Ap1m1,1949,550,469,809,208,329
Rab8a,3815,684,1280,143,933,170
Hmgn2,1683,715,763,199,1073,576
Fam32a,3466,1207,3027,1723,2737,3176
Stard3nl,275,174,850,314,341,213
Stk11,0,313,194,370,334,199
Efna2,0,0,0,76,0,52
Atp5d,5206,1374,2044,1934,2109,1517
Ppp5c,1059,244,94,0,339,450
Cdk12,101,0,0,75,14,0
Lipe,0,0,0,120,0,0
Pafah1b2,3032,839,648,409,2499,726
Tbc1d8,0,34,0,0,0,9
Cnot11,511,17,172,0,105,148
Slc2a3,0,15,7,15,0,7
Foxj2,577,0,0,281,177,147
Sri,1312,591,427,316,334,161
Dgcr2,816,0,10,0,0,33
Irf3,629,0,166,0,236,57
Bcl2l12,76,0,17,0,9,3
Zfp959,0,0,0,0,76,0
Mpnd,2431,312,937,844,1069,416
Sh3gl1,1072,0,195,0,129,0
Ebi3,65,0,0,0,65,0
