Geneid,control Evs_1,control Evs_2,control Evs_3,TGFB Evs_1,TGFB Evs_2,TGFB Evs_3
Prdm4,840,169,0,348,546,443
Eif1,4873,2091,2563,1228,2392,2555
Ccdc180,92,55,0,0,30,13
Leng8,0,148,332,0,84,0
Capn5,0,75,0,213,158,99
Mpv17l2,1207,639,576,318,318,212
Aldh1b1,0,0,0,0,0,0
Ankrd11,138,271,556,24,287,348
Dcaf10,0,92,377,4,215,20
Utp6,986,232,787,209,383,159
L3mbtl1,0,0,0,0,0,0
Iqcg,0,0,0,0,0,0
Tsen34,1392,129,355,0,158,76
1600002K03Rik,42,20,80,0,26,48
Mboat7,920,0,128,0,144,1
Prpf39,501,167,63,0,172,0
Trmt10b,248,32,99,0,68,43
Togaram1,32,0,338,84,100,20
Ric8b,0,51,0,0,0,2
Midn,52,1,0,0,0,0
Rsf1,12,276,106,0,55,50
Rubcn,761,206,554,57,468,406
Cnot3,835,65,0,142,58,12
Grhpr,885,19,242,126,246,200
Cbarp,0,0,0,0,0,0
Aamdc,149,133,0,0,35,0
Zcchc7,290,0,350,0,10,75
Lrfn5,0,0,16,0,2,0
Gtf3c4,1849,815,790,810,1981,1095
Zswim4,876,239,0,0,161,0
Sbno2,3203,0,111,0,443,309
Ndufa3,1705,748,962,498,928,717
Tnfsf9,656,0,185,125,324,0
Melk,360,50,0,146,214,0
Isg15,634,36,65,0,111,0
Rnf38,0,6,1,183,173,402
Arhgap45,1136,760,790,27,1168,465
Alg8,714,280,713,0,303,312
Dok3,1778,60,139,283,229,140
Usp35,0,0,0,0,0,0
Abca7,2468,0,0,0,760,0
Prkx,505,472,318,62,622,122
Supt16,351,64,401,14,85,0
Wdr18,1233,144,0,411,1049,307
Selenoo,514,113,0,0,279,222
Bbs10,0,0,201,0,0,0
Tmem161b,395,10,0,196,193,111
Fbxo45,0,111,0,0,79,627
Dym,936,11,202,365,410,284
Xylb,235,0,0,0,164,53
Dync1li2,590,109,103,109,457,315
Mrps2,1200,466,82,142,780,242
Kiss1r,0,0,0,0,0,0
Cd99l2,459,121,195,1711,1402,1757
Ggta1,42,125,10,0,187,17
R3hdm4,263,0,184,0,201,286
Acta2,0,0,0,0,52,0
Cep19,218,1173,386,445,517,593
Zdhhc17,425,90,66,0,45,0
Tk2,441,161,281,120,413,298
Pim3,1142,334,203,439,919,164
Ppp1r26,0,0,38,0,4,50
Polr3g,18,73,469,166,210,349
Plppr3,0,0,0,0,20,0
Lysmd3,0,0,156,0,74,72
Ddx11,0,234,0,0,152,6
Alg12,199,0,151,0,58,0
Ids,0,0,22,0,64,0
Ythdc1,92,598,709,340,489,399
Palm,0,0,0,0,0,0
Syt1,0,0,0,0,6,0
Zfp983,51,0,0,0,12,0
Zhx3,360,20,1,193,302,213
Hykk,0,0,0,0,0,0
Cox8a,8676,2577,4541,2399,4171,2028
Rnf126,121,192,183,139,288,208
Cerk,3964,2353,4971,1595,6512,6679
Uba6,704,0,11,0,424,12
Gramd4,97,21,0,0,203,178
Dennd5a,6,274,650,97,231,104
Cd276,317,0,243,0,125,0
Bbs9,677,1,232,0,94,0
H2-Q4,10,1,4,0,16,0
Cog5,0,0,9,23,106,15
Ibtk,788,297,975,0,588,349
Ttc38,533,0,0,0,0,0
Fbxw2,604,912,533,1139,2086,1653
Pip4p1,803,424,2,0,363,70
Dock4,795,0,0,0,32,1
Tdp2,534,0,0,0,42,121
Apex1,744,55,163,97,204,75
Ints6l,0,0,0,0,11,4
Rusc2,1126,194,26,0,593,40
Fnip1,1323,211,254,0,206,66
Fam214b,216,61,250,0,0,56
Mettl25,313,87,44,0,66,1
Tmtc2,0,0,0,1,0,0
Fam122b,0,0,0,0,9,43
Parp2,361,110,35,33,320,140
Tmem63b,110,25,28,0,81,45
Prtg,0,0,0,0,0,0
Adamtsl2,0,0,0,0,138,26
5031439G07Rik,50,1110,1345,271,1553,1594
Dnajb5,0,0,1,0,0,0
Fmnl2,12,0,105,0,0,43
Sugp2,156,34,4,0,171,47
Ptpn23,89,6,0,0,0,0
Smug1,510,366,262,419,516,458
Slc2a6,1995,395,757,0,519,206
Galt,145,0,1,39,57,65
Sigmar1,759,158,0,0,222,55
Zranb3,1507,335,677,101,593,324
Slain2,1636,555,528,486,643,872
Hyal3,0,0,0,0,0,0
Arl5a,296,139,660,126,437,556
Dgkb,0,4,0,0,0,1
Slf2,1419,491,0,678,658,127
Myrf,0,14,0,0,0,0
Vezt,307,0,699,0,332,175
Colec12,13990,211,1055,0,1888,300
Rab3gap1,1312,0,397,519,337,99
Prr5,32,135,259,144,40,178
Mbnl3,0,0,33,0,0,0
Metap2,2399,835,1967,125,1608,805
Rpp25l,202,45,207,207,177,171
Rfxank,304,0,113,15,115,5
Acaa1a,2898,463,695,971,1164,258
Mgat5,1,332,43,232,950,1103
Prickle1,0,0,0,1,0,0
Surf6,711,426,0,0,375,316
Pphln1,1425,121,50,0,490,292
Ccdc38,278,89,0,221,0,58
Gatad2a,827,48,306,136,535,574
Hist1h1c,2691,35,658,0,104,47
Fam69b,0,0,54,1,0,0
Ankmy2,1032,168,212,0,217,9
Rorb,0,0,0,0,0,0
Slc26a8,0,0,0,0,0,0
Gxylt1,56,310,331,167,824,1248
Ndufa13,3909,1187,1546,1131,1389,712
Rif1,12,2,1,2,276,271
Sh3bp4,757,0,0,0,365,62
Nepro,0,0,0,0,0,40
Znrd1as,0,0,74,0,0,1
Ska1,0,0,0,0,98,95
Kctd1,0,41,9,0,0,73
Ube2r2,896,313,353,358,850,1156
Gmip,1008,1085,1734,1084,3362,2021
Rbm43,207,128,561,0,65,139
Pnpla8,92,11,306,325,467,126
Fstl4,0,0,0,0,0,0
Edc4,613,393,86,52,239,398
Lrrk2,827,0,0,0,89,19
9530068E07Rik,3874,160,546,233,721,214
Macrod1,185,92,45,33,57,3
Snapc4,528,0,0,0,161,249
Naa30,105,30,0,0,340,0
Noa1,590,248,182,72,351,327
Ap5m1,0,6,53,0,247,30
Gramd1c,0,0,0,0,0,0
BC031181,1954,217,251,0,389,264
Rpl39-ps,26,14,15,7,11,3
Skp1a,2915,851,1334,611,688,482
Znrd1,137,217,91,130,295,157
Srp72,999,569,326,193,548,498
Qsox2,0,0,0,0,0,0
Slc18a1,0,0,0,0,1,0
Kidins220,2515,381,736,29,622,329
Tmem260,0,0,553,0,209,16
Ubac1,1597,803,186,588,895,1176
P2ry13,0,0,0,0,0,0
Rmdn2,0,44,28,58,42,40
Serbp1,4789,1771,1987,1708,2925,1931
Tmem258,1609,376,922,226,723,359
Abt1,0,100,0,0,37,84
P2ry14,0,0,0,0,0,0
Gadd45a,496,33,131,1,79,24
Sec24a,295,151,0,2,25,242
Ppp1r11,1879,524,629,514,502,393
Gng12,1603,182,484,196,120,131
Cep135,0,37,0,0,0,179
Gpi1,13260,3170,2374,632,3111,1993
Tbcc,397,66,0,149,234,73
Siah2,82,0,141,0,50,0
Exoc1,1102,6,2,0,14,2
Calm2,10551,1392,2397,657,3077,941
Thap11,942,546,535,368,1691,864
Hif1an,1214,1151,2550,584,4297,5030
Arhgap26,12,0,0,0,0,11
Wtip,48,302,255,44,314,563
Elf1,1451,0,0,0,439,16
Megf11,0,0,0,0,111,14
44986,0,16,0,0,0,0
Tbc1d24,0,10,466,6,238,0
Btg1,3900,463,609,45,843,289
Eea1,0,43,131,80,139,115
Fam13b,0,0,0,0,47,0
Rnf13,2923,50,203,5,522,56
Commd2,824,60,470,0,217,328
Greb1,149,0,94,0,82,26
Card11,933,0,0,0,356,46
Ppfibp2,596,0,0,0,0,0
Sbf1,647,411,5,297,461,156
Cdc42ep3,777,13,131,0,327,68
Slc38a7,2869,254,184,0,431,1
Rnf113a1,46,115,0,0,322,48
Adamts2,0,1,0,0,0,0
Cnot1,4405,280,0,0,530,316
Ermard,601,183,89,141,178,140
Sh3tc1,1425,0,526,1,153,6
Iqce,0,144,0,327,196,83
Ppp6r2,0,0,33,0,12,10
Ndrg4,361,1,6,0,0,0
Ttyh3,400,113,172,103,215,128
Bicral,132,268,0,0,29,120
Upf3b,34,170,25,88,23,86
Spg20,1446,345,298,0,361,0
Fut7,0,0,0,0,0,44
Arhgap21,64,43,0,159,85,212
Cpz,0,0,0,0,0,0
Chst12,1082,141,368,0,497,152
Plxnb2,7468,610,1072,258,1366,276
Eepd1,865,134,87,0,295,185
Eipr1,186,104,515,218,368,94
Rfxap,626,113,0,0,148,91
Etl4,0,0,0,0,0,0
Mgat4b,1692,356,247,120,644,229
Atp13a2,7304,712,1107,125,1698,232
Alg5,1067,120,234,99,566,32
Clcn7,5749,708,1502,0,1495,375
Nudt1,338,67,218,132,144,66
Tbc1d9b,3437,12,27,13,202,53
Man1b1,1452,670,560,231,781,238
Dennd3,0,28,0,0,249,0
Tcaf1,0,0,0,0,129,0
Cenpt,616,0,155,0,0,0
Tmtc3,411,0,6,0,192,0
Aaas,2567,513,911,8,795,0
Cc2d1a,516,373,304,0,456,24
Nop14,1538,238,459,62,489,49
Ago2,2617,5847,5363,5385,10275,13009
Cab39,1389,248,1257,0,499,785
Cyld,407,191,772,228,938,40
Micall2,667,104,294,0,98,47
Zscan12,964,0,0,0,0,77
Oxsr1,109,115,231,79,81,118
Cuedc2,4384,1053,1409,666,1461,833
Cox6b1,4508,1268,1799,808,1883,661
Tubb4b,1980,539,532,0,760,274
Kcnk9,0,0,0,0,0,0
Dnajc12,0,0,0,0,0,0
Dner,0,15,0,0,0,8
Kif15,557,38,166,0,322,9
Wdr44,345,0,0,0,0,0
Decr2,852,452,0,0,441,447
Anln,546,0,475,0,388,34
Tent4b,171,113,298,227,418,578
Rps27l,3170,1050,1894,592,1387,938
Mbd5,25,1,168,0,11,98
Fam135b,0,0,0,0,0,0
Cnep1r1,347,16,0,0,97,6
Sun1,1975,200,413,53,346,322
Jmjd4,529,0,178,0,4,0
Amdhd2,4456,211,665,34,373,189
Topors,2535,0,146,94,408,65
Ssx2ip,0,66,132,0,8,367
Pnpla7,8530,544,638,446,1056,315
Plch1,0,0,0,0,0,0
Psenen,1392,237,257,0,257,206
Siah1a,114,0,0,87,9,12
Lin37,51,0,0,0,62,77
Mrpl41,1813,143,525,112,419,142
Mcoln3,17123,9861,10417,6741,19894,12979
Hspb6,200,0,1,0,0,0
Wnt4,0,0,0,0,0,0
Mrpl55,222,456,294,604,400,339
Dchs1,0,0,0,0,1,1
Syde2,0,0,38,0,77,5
Proser3,8,37,32,31,34,27
Smad6,0,8,0,0,1,105
2410004B18Rik,456,213,287,407,283,301
Dna2,86,194,313,66,243,135
Phkb,570,38,374,216,519,191
Acaa2,902,448,419,199,88,174
Arhgap33,0,0,0,0,2,1
Arhgef26,0,0,0,0,0,0
C1qa,0,33,0,0,0,8
Gtdc1,0,0,0,0,11,0
Ehmt1,986,252,8,177,354,62
Rap2b,221,11,18,1,110,65
C1qc,278,806,338,215,266,187
Zfp157,243,0,0,0,80,79
Neto2,0,0,0,0,0,44
Fzd8,12,0,0,0,49,0
C1qb,2434,1530,2096,507,536,377
Unc93b1,7617,1234,1387,790,1539,266
Trim67,0,0,0,0,0,0
Zfp280c,0,0,0,0,87,0
Ttc7,593,1133,1415,3603,2950,1567
Nfkbid,291,38,55,0,74,51
Aifm1,2664,36,99,39,610,215
4921524J17Rik,222,67,31,0,127,78
Kdm1a,248,26,27,141,5,0
Elac1,15,225,0,0,329,69
Rab8b,1157,603,109,0,580,430
BC037034,137,127,310,111,388,333
Slc39a12,0,1,0,0,0,0
Kif1bp,1384,284,457,178,216,0
Lrfn3,137,0,0,163,17,0
Bcorl1,108,0,158,76,13,26
Spryd3,1166,253,41,0,23,274
Cnpy4,257,0,0,0,1,0
Zic4,0,0,0,0,0,0
Tmem177,259,123,0,0,345,108
Anapc10,279,55,144,0,21,65
Taf6,1052,488,190,350,398,147
Tfb1m,0,0,0,0,69,0
Zdhhc9,0,339,185,0,387,109
Pml,16,95,0,0,56,0
Trim3,0,0,185,20,58,18
Otud4,106,313,148,143,538,570
Nxt1,672,147,336,179,357,184
Asap3,0,0,54,0,90,190
Zfp39,0,0,1,0,95,0
Tns2,331,0,1,0,0,108
Zfp113,75,278,341,164,261,255
Hk1,2285,30,1389,0,778,7
Ss18,2888,0,1352,460,363,256
Zscan21,1730,233,0,268,782,505
Wdr62,0,0,0,0,0,0
Mmaa,490,0,0,0,104,10
Zfp146,279,53,243,0,89,0
Apbb1,0,0,0,0,0,0
Smpd1,1253,0,468,263,65,300
Paip2,1451,425,255,334,621,575
Sh3glb1,2965,1335,958,1367,2064,1790
Rbmxl1,993,84,80,0,292,125
Selenof,5036,25,431,46,1157,341
Rnf139,185,45,117,11,13,12
Trmt12,339,0,0,0,30,108
Slc35b2,3834,760,133,199,921,165
Lrg1,0,67,0,0,0,0
Gm9762,32,10,20,3,15,6
Rab11fip3,0,10,31,0,41,76
Dcaf15,574,8,0,0,118,61
Socs5,16,92,5,0,24,0
Zcwpw1,2095,443,870,48,878,183
Ralgapa2,350,6,48,0,558,135
Setd7,0,0,9,0,39,0
Sik2,300,0,0,0,3,54
Fam91a1,600,132,249,136,750,938
Psd,0,0,0,1,204,35
Prmt9,586,0,0,0,11,59
Myom3,1537,16,2,0,485,99
Arhgap10,183,35,11,0,127,0
Ddx1,6109,1495,1841,508,3329,1180
Lrrc20,0,0,263,0,96,349
Ndufc1,1306,603,735,472,311,241
E330009J07Rik,1460,993,1077,1468,2191,2195
Elf2,225,6,266,0,25,30
Krt80,0,2,0,0,0,15
Cyb561d2,149,167,221,0,186,30
Pacrg,121,0,0,0,0,55
Rbm17,1959,410,711,923,841,568
Atg101,1117,429,360,327,677,539
Fam193a,62,471,407,234,243,320
Thap1,0,41,6,88,141,2
Lipt1,0,0,0,0,0,32
Syn1,0,0,0,0,21,0
Mospd3,348,62,64,0,48,72
Zfyve28,0,67,0,0,35,0
Hook3,51,49,48,60,29,94
Mxd4,59,25,0,47,228,325
Matr3,706,43,467,96,452,150
Spred3,0,33,1,43,26,29
Clic4,9640,2048,1938,1363,6172,4163
Zfp692,0,0,0,0,6,69
Pomk,317,23,252,0,50,0
Mex3c,375,0,245,0,6,1
Aagab,1485,494,665,0,261,263
Hgsnat,2636,471,536,0,185,59
Kin,0,0,35,64,126,31
Rsrp1,4044,140,919,22,1379,5
4932438A13Rik,568,46,4,6,54,117
Gemin5,258,0,0,52,259,75
Tmem97,1024,88,567,0,295,174
Galnt6,8428,866,1883,1,962,415
Stag1,1162,22,12,0,175,149
Tbcel,276,46,31,84,157,436
Ldlrap1,820,618,1005,1530,1457,1535
Lsm1,533,174,136,0,207,141
Ttc13,1163,130,843,0,421,246
Man1c1,50,240,46,20,320,458
Tacc3,1382,153,755,0,467,308
Jade3,0,0,0,0,0,0
Bag4,314,47,62,295,42,61
Traf3ip3,221,0,0,0,198,0
Tap1,526,0,550,0,351,21
Bbs7,0,0,0,4,0,0
Capn15,1103,218,341,279,554,300
Larp1,605,183,194,2,275,204
Map4k1,799,185,1,0,249,105
Fam53a,183,347,363,248,573,829
Taf2,1284,0,0,0,0,65
Slc12a9,484,40,367,0,0,33
Paqr7,52,387,146,344,102,12
Nudt22,417,0,0,0,0,29
Actr1b,4341,1288,920,76,941,642
Letmd1,365,28,606,0,571,546
Uvssa,0,0,0,0,0,26
Sf3b6,1527,271,517,243,656,193
Letm2,0,0,0,0,0,0
Srrt,1102,43,0,251,228,104
Pafah2,595,467,1,142,442,168
Kdm6a,1205,0,0,0,26,0
Enpp1,0,0,0,0,0,0
Ctbp1,683,962,1049,533,1452,2437
Hhat,0,0,262,26,0,0
Trmt6,980,431,553,266,1014,247
Rims2,0,0,0,0,1,6
Rcor3,382,0,75,0,173,59
Atp11b,0,4,0,406,390,29
Icam1,1043,266,634,0,261,108
Cnnm4,42,0,0,5,49,4
Tbc1d2b,58,17,0,0,171,56
Serpine1,0,0,0,1,0,0
Ranbp10,1612,92,475,311,149,283
Dmxl1,1171,5,0,4,94,78
Best1,2,0,0,69,0,0
Depdc5,176,17,13,0,191,419
Vgf,153,0,2,0,6,0
Fer1l5,124,105,0,0,0,51
Slc30a1,2,0,1,0,4,0
Cep85,7297,50955,46079,43805,82855,81046
Tulp1,0,0,0,0,1,0
Arid5a,1170,235,582,1,390,58
Azin1,3120,1148,368,261,1437,565
Ints7,3393,1959,412,1491,2022,1183
Klf10,0,1,0,0,273,166
Tedc1,0,359,6,0,819,543
Uggt1,2944,172,164,265,797,428
Dtl,630,0,0,63,141,110
Thoc2,1652,145,41,0,416,21
Asxl2,2596,503,399,827,705,719
Ubr5,1,162,277,128,313,351
Zmat4,0,0,0,0,11,0
Nenf,589,321,420,304,520,332
Fam168b,3037,35162,30135,23790,51499,60177
Arhgef4,0,0,0,34,0,14
Pank2,762,156,509,361,1158,320
Ppfia1,364,33,375,0,100,264
Mavs,1505,515,448,149,457,196
Bcdin3d,368,118,17,0,274,186
Atg14,405,361,379,51,580,443
Mrpl47,66,35,105,0,121,137
Rapgef6,1237,0,396,0,323,107
Fbxo34,431,20,0,0,263,665
Dlgap5,888,36,0,87,38,154
H2-DMb2,332,0,0,0,0,0
Plekhg2,0,0,0,0,0,0
Zdhhc18,125,15,122,139,80,168
Rps16,5355,5552,6899,5316,8615,8512
Vash2,0,0,70,10,95,108
Mcrs1,1719,539,228,9,718,360
Wdhd1,0,0,0,2,175,0
Tob1,522,146,238,0,295,166
Gch1,570,103,258,0,543,187
Nr0b2,0,116,0,0,5,0
Clba1,0,0,0,0,70,0
Nme1,1083,339,658,241,510,491
Adgrl3,0,0,15,0,0,0
Osbpl5,0,0,0,0,1,0
Bclaf1,1614,10,873,0,406,0
Tnfrsf23,2079,167,0,0,258,6
Spag1,0,0,0,0,0,16
Wdtc1,177,0,8,0,13,2
Kcnk2,0,0,0,0,36,0
Rgs22,0,0,0,0,0,0
Cdkn3,352,52,124,361,133,38
Slc25a43,150,0,0,0,36,2
Zbtb42,94,330,113,251,300,323
Zfp60,21,46,368,32,27,138
Prkci,0,425,0,15,271,120
Vps13b,475,86,145,0,155,87
H2-DMa,0,52,0,0,32,8
Phc3,411,0,0,0,300,101
Slc20a2,810,0,516,242,242,128
Gpr160,0,28,0,0,0,0
Cdkn1c,615,80,0,0,40,0
Ldah,1524,204,308,702,335,330
Rfx7,0,210,35,51,94,222
Inf2,308,65,9,0,169,312
Atp8a1,17,207,903,0,713,82
Ahdc1,0,0,0,0,20,86
Ddhd1,518,57,0,0,145,51
Lzts3,17,157,216,0,117,117
Cd81,6893,1270,682,170,922,365
Fam13a,0,0,0,0,0,0
Cisd1,1375,436,432,449,840,245
Tmem33,682,390,511,0,171,189
Ckap2,0,130,1,11,71,0
Mynn,0,0,0,0,0,4
Themis2,0,166,4,0,724,95
Mrps26,2441,1531,1307,1390,2185,1470
Eef1a1,45239,25462,28177,23927,46451,39973
Fam222b,337,0,0,0,75,15
Xkr8,577,79,0,128,121,23
Ppp1r16b,0,42,231,80,81,257
Actr5,144,14,109,0,120,0
Mrpl23,1538,462,646,200,561,216
Pced1a,304,85,0,41,43,266
Apopt1,876,152,52,34,247,66
Vopp1,1275,545,350,0,425,236
Phf12,576,0,0,0,30,0
N4bp2,0,4,3,0,42,1
Iqch,0,0,0,0,0,0
Rpl10a,5296,4221,4196,4731,6063,6941
Fam76b,53,137,0,0,79,96
D630003M21Rik,0,0,0,2,0,0
Ctnna1,0,594,0,0,569,412
Fbxw17,814,0,0,0,3,0
Abhd18,4,0,4,0,151,0
Tgm2,0,0,0,7,0,20
Smim14,2087,300,107,404,964,619
Tspan14,851,90,303,0,289,0
Ppm1k,13,33,35,42,21,47
Gm5884,39,13,0,6,11,4
Fdxacb1,90,0,0,71,33,7
Rtkn2,0,1,0,0,0,0
Nmrk1,689,112,296,1,94,0
Iars,6948,696,1593,8,2393,507
Cpe,11439,533,682,405,1438,286
Nufip2,126,0,58,0,21,49
Aim2,871,240,0,299,16,215
Egr2,0,9,0,0,0,0
Jmjd1c,462,85,45,56,540,128
Stk35,61,145,3,120,278,89
Dusp8,88,0,0,0,0,0
Wdr19,405,283,1,0,0,0
H2afz,5968,2148,3228,1415,3878,1898
Rcor1,144,364,142,66,441,412
Sirpa,46026,5083,6408,1069,9602,1852
Ankrd9,0,76,0,0,0,0
Bri3bp,1379,1883,1484,3931,4182,3876
Ankrd13b,302,273,0,0,68,6
Tmem156,0,0,0,0,2,0
Ndufv1,4043,916,2365,537,2674,1151
Ssh2,0,0,31,0,337,126
Bicd2,185,15,0,0,975,60
Smarce1,320,205,495,0,476,106
Scarb1,1597,2399,1862,2025,3498,2714
Chchd5,1411,722,1254,429,769,358
Fgd3,1344,274,58,55,399,148
Ano10,885,329,289,0,94,88
Wdr20,632,293,261,3,19,45
Nsrp1,398,28,344,0,87,44
Card19,6710,794,1318,520,1281,682
Zc3h7a,958,9,0,0,0,199
Ninj1,9904,1375,2364,1357,2501,994
1110032A03Rik,9,70,0,0,23,0
Snn,0,0,0,0,120,150
Ccdc92,0,224,0,0,37,58
Gm9725,0,0,36,0,0,0
Wnk2,0,0,1,0,0,0
Rmi2,143,12,147,57,78,33
Rara,250,0,0,0,121,23
Dhx38,207,475,23,0,809,4
Slc9b2,0,0,0,0,0,0
Parp11,1054,0,513,11,780,453
Acd,1206,316,220,0,735,272
Cramp1l,0,0,0,434,15,47
Hpf1,1019,113,290,0,364,83
Dnajc22,0,0,0,0,0,16
Ccdc138,0,0,0,0,0,0
Dnah10,0,0,14,0,0,0
Wipf2,1,32,1,61,55,189
Fam120a,1541,683,1470,882,1190,1414
Rapgefl1,0,1,0,0,0,0
Mindy4,0,0,0,0,0,19
Atp6v0a2,1656,226,62,0,438,103
Dennd4c,518,384,0,0,48,12
Phf2,239,1,13,0,0,4
Tigar,621,311,443,145,488,459
Igsf8,6174,807,762,607,1220,583
Socs1,0,0,35,0,0,0
Gcc2,15,36,487,0,30,147
Ptpdc1,487,0,0,0,86,13
Mrm3,492,94,156,0,154,180
Haus6,35,211,8,0,371,86
Dexi,67,48,0,7,158,174
Kmt2c,468,6,68,52,63,339
Nod1,0,34,6,0,109,0
Smim3,752,0,161,0,251,16
Dlec1,0,0,0,0,0,0
Mturn,89,430,428,1027,611,658
Csf3,0,0,0,0,35,0
Rnf144b,967,354,524,1010,881,745
Cdkn2aip,892,73,165,0,60,127
Galnt11,979,457,497,488,955,914
Fkbp14,377,0,0,0,18,0
Tmem237,660,128,161,139,357,375
Kdm1b,592,1,0,0,282,121
Opa1,5199,25,434,356,318,0
Cnbd2,0,32,17,29,86,39
Atp13a4,0,0,0,0,0,63
Sbno1,3989,2291,2114,2669,5454,5918
Trappc11,837,0,1256,0,414,201
Phf20,1464,132,993,252,876,470
Fam210a,147,11,268,733,130,194
Tbc1d32,622,0,0,0,26,0
Mphosph9,0,0,0,0,0,52
Ccdc50,1246,1348,448,362,1814,610
Tmem181a,970,32,155,254,263,190
Stox2,25,11,15,0,0,0
Snrk,757,78,0,0,408,261
Cd84,6927,985,1028,2,1134,198
Ormdl3,834,535,320,413,483,138
Prdm1,0,0,0,0,0,0
Spon1,0,0,0,0,0,0
Atg5,2130,165,0,347,536,38
P3h2,0,0,0,0,0,0
Pde4dip,1010,37,149,6,64,110
Ttc39b,710,78,265,0,548,75
Enpp6,0,0,48,0,0,0
Fam126b,1190,256,467,0,48,89
Mylip,238,32,249,24,421,246
Slc43a2,914,368,565,0,592,289
Slamf7,197,290,273,0,95,0
Spag4,258,1660,1314,3510,3364,3342
Chpf2,2659,650,0,0,87,0
Btbd10,292,265,0,0,29,93
Kcna7,0,0,0,43,0,24
Asb10,0,4,334,446,108,17
Prkab2,917,583,391,578,497,202
Fbxo8,732,151,427,157,412,0
Pgap3,235,66,0,0,0,118
Mfsd14b,866,347,330,5,513,0
Tapbpl,0,170,19,4,21,9
Bend3,0,104,0,172,39,269
Cep44,0,116,203,0,136,45
Tlcd2,168,0,0,0,43,0
Primpol,34,0,0,24,20,0
F11r,0,0,0,0,0,0
Hoxa7,227,35,13,0,84,68
Hrc,28,20,0,0,4,0
Pdss2,0,0,19,0,0,74
Cep250,1065,224,330,307,1005,204
Aox4,0,0,8,2,0,0
Mical2,0,0,0,0,261,87
Usp38,507,24,268,0,37,27
Ncapd2,1,677,1565,0,1360,1191
Hoxa5,115,22,119,0,6,117
Bcl9,48,9,6,65,44,185
Trpm4,0,0,0,0,38,0
Slc22a23,0,0,0,0,0,0
Ovca2,0,0,41,0,0,0
Iffo1,0,20,0,277,5,0
Fau,5930,6503,5741,6340,7712,8277
Nop2,3032,316,594,208,267,105
Ostm1,605,586,639,280,662,307
Bphl,0,0,124,0,0,0
Smg6,78,87,514,385,261,150
Snx25,0,335,758,421,436,859
Ccdc155,0,0,0,0,0,0
Atg9b,0,511,154,163,217,297
Wdr36,1543,578,310,660,675,79
Snx10,1443,392,1112,359,1762,907
Afg1l,338,0,0,0,15,0
Edem2,14327,1940,2574,77,2366,858
Kcnh2,0,0,2,0,94,103
1700066M21Rik,0,0,0,9,8,0
Trpc4ap,11922,1545,1906,405,1538,686
Serpinb9f,0,0,0,0,0,0
Satb2,0,0,0,0,0,4
Sesn1,399,0,0,286,0,251
Tsr1,119,443,137,740,541,909
Mlxip,110,154,0,846,968,690
Txlng,0,60,0,18,98,17
Zfp384,469,51,159,27,453,109
Tcte2,101,0,0,0,0,8
Sgsm2,770,27,136,0,16,13
Arl5c,857,4771,4180,2760,3062,4045
Camp,0,0,0,0,8,0
Fbxo25,1066,0,159,56,75,29
Lasp1,3389,1490,604,1437,3813,1496
Focad,525,0,0,1,215,255
Ncoa6,628,14,33,198,20,265
Sbf2,788,0,4,85,288,15
Gmds,845,12,0,0,371,0
Rbm8a,2173,413,649,166,613,187
Trp53inp2,1834,588,813,652,792,440
Ttk,789,0,0,0,0,35
Pigu,520,436,463,6,49,0
Setd1b,0,11,60,4,4,19
Rras,726,120,299,7,226,78
Mpp6,595,828,1754,512,862,1643
Gpr162,382,79,101,0,50,3
Txnip,5590,929,2474,494,2040,748
Upf3a,311,115,355,0,26,18
Foxf2,275,0,0,0,111,0
Scaf1,218,198,16,58,236,71
1700018A04Rik,0,0,0,0,0,0
Higd1a,605,264,505,272,363,175
Foxq1,0,0,0,0,0,30
Cdc16,1567,0,201,0,666,232
Fig4,38,0,662,0,91,271
Hdhd3,152,0,0,0,0,0
Poli,319,11,0,0,88,0
Usp5,6376,179,191,0,563,5
Mllt6,106,345,214,292,364,206
Cdc40,812,0,287,61,63,48
Spsb2,528,155,0,0,138,20
Dennd2a,11,0,0,0,154,2
Abhd17c,195,18,22,42,491,489
Uqcrfs1,3965,2869,3022,4939,6962,5831
Chmp4b,99,87,177,144,90,89
Nos1ap,0,0,2,0,15,0
Cdk19,4,42,0,2,226,454
Tfdp1,2313,1287,1879,1333,2897,2532
Socs7,49,1072,387,786,788,1464
Polr2l,332,293,331,305,215,228
Otud7b,1467,25,9,0,342,191
Tmco3,493,93,30,27,403,12
Prr3,346,165,572,271,392,99
Ptov1,311,149,184,4,190,69
Mesd,1136,8,138,0,386,42
Dcun1d2,357,0,0,0,241,0
Parp12,1347,233,99,177,371,248
Gdf15,4010,364,426,119,469,68
Rpf2,1069,67,221,152,346,433
Grtp1,172,13,11,0,25,85
Tbkbp1,119,236,27,38,112,146
Jarid2,1298,141,4,0,270,8
Tbc1d17,2056,505,0,18,337,239
C1s1,0,0,0,0,71,0
1700003F12Rik,661,130,309,48,155,23
Fchsd1,0,0,0,0,149,2
Armc10,207,189,816,170,257,217
C1rl,0,0,0,0,127,0
Cbfa2t2,663,263,373,723,1849,1465
Osbpl7,5,6,0,12,0,0
Zfp280d,449,0,0,0,151,32
Ubn2,0,145,71,88,71,315
Atf5,35,27,1,8,15,22
Pcid2,1493,597,349,64,137,48
