Geneid,control Evs Tx_1,control Evs Tx_2,control Evs Tx_3,IL-10 Evs Tx_1,IL-10 Evs Tx_2,IL-10 Evs Tx_3
ENSMUSG00000026502,0,0,0,0,0,0
ENSMUSG00000103958,0,0,0,0,0,0
ENSMUSG00000070489,0,0,0,0,0,0
ENSMUSG00000104126,0,0,0,0,0,0
ENSMUSG00000026500,0,0,0,0,0,0
ENSMUSG00000026048,0,0,0,0,0,0
ENSMUSG00000046828,0,0,0,0,0,0
ENSMUSG00000089703,0,0,0,0,0,0
ENSMUSG00000100966,0,1,0,0,0,0
ENSMUSG00000100769,0,0,0,0,0,0
ENSMUSG00000101567,0,0,0,0,0,0
ENSMUSG00000026245,1849,1898,2096,2477,2430,2576
ENSMUSG00000101798,2,2,0,0,0,0
ENSMUSG00000104018,4,0,0,0,0,0
ENSMUSG00000090486,2039,2086,2232,2594,2446,2524
ENSMUSG00000026482,4,3,2,5,2,2
ENSMUSG00000086145,0,0,5,0,0,0
ENSMUSG00000080950,2,2,8,2,5,0
ENSMUSG00000099868,2,2,4,6,3,1
ENSMUSG00000055547,6,3,2,2,5,1
ENSMUSG00000012187,8,1,4,8,6,6
ENSMUSG00000008475,0,0,2,0,0,0
ENSMUSG00000099364,0,0,0,0,0,0
ENSMUSG00000100562,0,0,0,0,0,0
ENSMUSG00000056870,0,0,0,0,0,0
ENSMUSG00000102319,0,1,0,0,0,2
ENSMUSG00000089877,0,0,0,0,0,0
ENSMUSG00000101701,0,0,0,0,0,0
ENSMUSG00000103071,0,0,0,0,0,0
ENSMUSG00000100434,0,0,0,0,0,0
ENSMUSG00000100013,0,0,0,0,0,0
ENSMUSG00000101251,0,0,0,0,0,0
ENSMUSG00000101937,0,0,0,0,0,0
ENSMUSG00000039630,0,0,0,0,0,0
ENSMUSG00000104279,0,0,0,0,0,0
ENSMUSG00002075531,0,0,0,1,0,0
ENSMUSG00000064954,0,1,1,0,0,1
ENSMUSG00000026495,13,16,14,18,24,16
ENSMUSG00000032883,248,244,296,330,284,301
ENSMUSG00000026480,19,26,8,23,16,17
ENSMUSG00000026494,2,3,8,6,3,13
ENSMUSG00000064967,0,0,0,0,0,0
ENSMUSG00000102922,0,0,0,0,0,0
ENSMUSG00000025915,2522,2678,2879,3062,3203,3266
ENSMUSG00000089713,0,0,0,0,2,0
ENSMUSG00000079470,0,0,0,0,0,0
ENSMUSG00000099377,0,0,0,0,0,0
ENSMUSG00000099706,2,0,0,0,0,0
ENSMUSG00000047330,0,0,0,0,0,0
ENSMUSG00000101324,0,0,0,0,0,0
ENSMUSG00000072978,0,0,0,0,0,0
ENSMUSG00000046334,1,4,2,0,0,0
ENSMUSG00002075801,0,0,0,0,0,0
ENSMUSG00000050711,0,0,0,0,0,0
ENSMUSG00000099562,0,0,0,0,0,0
ENSMUSG00000077782,0,0,0,0,0,0
ENSMUSG00000055067,0,6,5,0,2,0
ENSMUSG00000054702,3,1,4,0,5,2
ENSMUSG00000096474,0,0,0,0,0,0
ENSMUSG00000102235,0,0,0,0,0,0
ENSMUSG00000026492,0,5,3,0,0,0
ENSMUSG00000082395,0,3,0,0,0,0
ENSMUSG00000038949,160,151,129,217,191,226
ENSMUSG00000026043,0,0,1,0,0,0
ENSMUSG00000046101,6,2,2,0,1,6
ENSMUSG00002074901,0,0,0,0,0,0
ENSMUSG00000093178,0,0,0,0,0,0
ENSMUSG00000099032,1521,1808,1835,2152,1766,2070
ENSMUSG00000104025,10,9,13,14,20,25
ENSMUSG00000038936,8,14,19,8,12,7
ENSMUSG00000042772,0,0,3,0,0,7
ENSMUSG00000100394,0,0,0,0,0,1
ENSMUSG00000103840,10,8,3,12,15,18
ENSMUSG00000087236,25,25,34,16,16,32
ENSMUSG00000100702,13,26,14,20,29,13
ENSMUSG00000026042,0,0,0,0,0,2
ENSMUSG00000104476,0,0,1,0,0,0
ENSMUSG00000073643,1361,1421,1711,1788,1918,1703
ENSMUSG00000104497,0,0,0,0,0,0
ENSMUSG00000025916,102,74,72,93,75,96
ENSMUSG00000087199,8,9,2,6,10,5
ENSMUSG00000026248,2,1,2,2,6,2
ENSMUSG00000119658,0,0,0,0,0,0
ENSMUSG00000026249,3,3,10,3,7,10
ENSMUSG00000042751,1726,2473,2075,2204,2802,2253
ENSMUSG00000067106,0,0,0,0,0,0
ENSMUSG00000099969,0,0,0,0,0,0
ENSMUSG00000100397,0,0,0,0,0,0
ENSMUSG00000099753,0,0,0,0,0,0
ENSMUSG00000118883,0,0,0,0,0,0
ENSMUSG00000102518,0,0,0,0,0,0
ENSMUSG00000099552,12,25,21,36,34,17
ENSMUSG00000043230,4,12,5,3,13,12
ENSMUSG00000103404,0,0,0,1,0,0
ENSMUSG00000026491,401,384,426,426,466,424
ENSMUSG00000073486,0,0,0,1,0,0
ENSMUSG00000025917,47,49,57,81,60,62
ENSMUSG00000104418,512,597,635,796,630,763
ENSMUSG00000026479,0,0,0,3,0,0
ENSMUSG00000004364,153,166,171,197,157,166
ENSMUSG00000103076,0,0,0,0,0,0
ENSMUSG00000103525,537,537,548,676,543,685
ENSMUSG00000101722,0,0,1,0,0,0
ENSMUSG00000090637,0,0,0,0,0,0
ENSMUSG00000026478,138,251,234,213,247,213
ENSMUSG00000110100,0,0,0,0,0,0
ENSMUSG00000103818,0,0,0,0,0,0
ENSMUSG00000079138,0,4,2,1,0,0
ENSMUSG00000042708,3,0,3,2,6,2
ENSMUSG00000064435,0,0,0,0,0,0
ENSMUSG00000103543,0,0,0,0,0,0
ENSMUSG00000099432,0,0,0,0,0,0
ENSMUSG00000041144,1,0,0,0,0,0
ENSMUSG00000119743,0,0,0,0,0,0
ENSMUSG00000042699,593,656,781,871,623,981
ENSMUSG00000101262,0,0,0,0,0,0
ENSMUSG00000042684,47,39,63,64,83,59
ENSMUSG00000099858,0,1,0,0,0,0
ENSMUSG00000101337,1002,1181,1349,1384,840,1639
ENSMUSG00000025986,67,93,101,82,59,117
ENSMUSG00000100213,0,0,1,0,0,0
ENSMUSG00000103129,0,0,0,1,0,0
ENSMUSG00000100160,0,0,0,0,0,0
ENSMUSG00000101921,1,0,0,0,0,0
ENSMUSG00000101447,0,0,0,0,0,0
ENSMUSG00000081185,0,0,0,0,0,0
