"","Geneid","control.cells_1","control.cells_2","control.cells_3","LPS.cells_1","LPS.cells_2","LPS.cells_3"
"Ndufa5","Ndufa5",964,1046,980,2192,1690,2025
"Rfc2","Rfc2",5210,6489,5872,5041,3464,3893
"Denr","Denr",1202,1588,1324,5432,3385,3839
"Prmt5","Prmt5",2492,3192,2797,4066,3057,3806
"Sympk","Sympk",2595,3272,2945,2741,2075,2455
"Nagpa","Nagpa",3619,4353,4046,4011,2882,3240
"Wrb","Wrb",649,898,611,1644,1105,1361
"Ivns1abp","Ivns1abp",3921,5100,4631,7092,3943,4335
"Rpp14","Rpp14",654,647,782,1720,1031,1123
"Slc38a1","Slc38a1",9753,10761,10915,14877,9812,10371
"Gps2","Gps2",917,1172,1182,1219,971,985
"Bsg","Bsg",9255,12398,10547,16651,13210,15397
"Vwa5a","Vwa5a",5517,5998,5963,5037,3517,4003
"P3h3","P3h3",290,333,241,344,149,216
"Il15ra","Il15ra",187,236,185,992,515,691
"Ccl25","Ccl25",137,181,152,321,207,193
"Parp3","Parp3",1133,1348,1283,2644,1846,2411
"Slc26a6","Slc26a6",582,499,577,408,279,302
"Acy1","Acy1",2586,3663,2826,4399,3118,3435
"Frs3","Frs3",25,33,59,45,10,22
"Creld2","Creld2",955,1221,1018,2501,1992,2117
"Cd4","Cd4",39,89,49,21,4,5
"Twf2","Twf2",1475,1837,1559,2932,2319,2593
"Zfp605","Zfp605",56,80,98,90,36,68
"Ube2j2","Ube2j2",1386,1673,1536,2669,1728,2100
"X44990","44990",2587,2924,3090,5348,3379,3789
"Dtwd1","Dtwd1",534,565,596,1012,579,730
"Mx2","Mx2",9,25,8,88,107,91
"Poc1a","Poc1a",467,584,407,1177,875,1048
"Trip6","Trip6",273,427,276,245,200,128
"Clec4n","Clec4n",459,487,385,8108,6185,7329
"Agap3","Agap3",1501,1748,1486,2062,902,872
"Tmem176a","Tmem176a",2240,2978,2381,6971,4618,5949
"Slc17a9","Slc17a9",314,497,417,431,336,469
"Gnb3","Gnb3",604,585,620,80,30,41
"Pisd","Pisd",1280,1537,1363,2096,1321,1684
"Tpi1","Tpi1",43028,57050,47997,41578,33768,38777
"Rab12","Rab12",636,737,757,1864,848,829
"Tulp2","Tulp2",11,6,3,9,6,5
"Celsr3","Celsr3",744,985,1137,644,416,388
"Pcbp4","Pcbp4",241,339,233,313,217,232
"Cdca3","Cdca3",996,1260,970,2702,1883,1959
"Ccndbp1","Ccndbp1",1547,2005,1872,2249,1397,1644
"Ogfod2","Ogfod2",667,901,892,853,635,837
"Mrps23","Mrps23",806,918,774,1444,1007,1138
"Rhebl1","Rhebl1",323,305,280,601,412,453
"Sfi1","Sfi1",188,229,278,228,147,193
"Pigx","Pigx",373,400,433,464,383,390
"Tiam2","Tiam2",36,53,89,416,253,326
"Synj2","Synj2",955,1049,1176,1064,775,925
"Rsph3b","Rsph3b",216,208,184,255,163,212
"Rps6ka2","Rps6ka2",5891,5679,6801,4146,2996,3205
"Prkn","Prkn",154,211,147,61,35,60
"Agpat4","Agpat4",398,473,499,851,653,768
"Slc22a3","Slc22a3",0,1,0,0,0,0
"Igf2r","Igf2r",7211,6722,8040,10549,7112,7713
"Acat2","Acat2",385,677,471,3955,2670,3356
"Lnpep","Lnpep",560,511,559,1195,448,716
"Chd1","Chd1",1325,1426,1370,2294,1267,1397
"Mpc1","Mpc1",1241,1502,1300,1767,1127,1360
"Pde10a","Pde10a",138,154,92,387,317,361
"X1700010I14Rik","1700010I14Rik",62,44,71,120,69,95
"Zfp54","Zfp54",48,61,53,124,65,99
"Phf10","Phf10",828,952,926,1849,1037,1102
"Zfp51","Zfp51",246,193,246,301,125,237
"Hcfc1r1","Hcfc1r1",1100,1336,1216,680,617,565
"Tnfrsf12a","Tnfrsf12a",709,835,645,426,394,388
"Pkmyt1","Pkmyt1",355,431,311,890,611,696
"Paqr4","Paqr4",72,96,101,83,64,78
"Pla2g7","Pla2g7",56,62,65,421,215,254
"Tnfrsf21","Tnfrsf21",211,224,342,1236,526,776
"Cenpq","Cenpq",134,239,126,408,148,242
"Mut","Mut",1732,2170,1989,3471,1951,2246
"Tbc1d5","Tbc1d5",2537,2692,2677,2440,1503,1601
"Satb1","Satb1",0,0,0,0,2,2
"Cdc5l","Cdc5l",1646,2114,1936,3028,1822,2058
"Spats1","Spats1",0,3,0,4,0,0
"Aars2","Aars2",999,1238,1089,1423,1046,1139
"Mrpl14","Mrpl14",1731,1858,1580,2158,1612,1859
"Sgo1","Sgo1",276,235,320,879,539,592
"Slc29a1","Slc29a1",5856,7117,6717,6070,4702,5335
"Hsp90ab1","Hsp90ab1",35175,44044,37599,65581,48366,53587
"Nfkbie","Nfkbie",532,600,549,2714,1997,2341
"Vegfa","Vegfa",2196,2537,2326,2097,1249,1581
"Gtpbp2","Gtpbp2",2640,2612,2949,2297,1695,2088
"Polh","Polh",288,546,355,870,611,612
"Fbxl17","Fbxl17",745,799,833,1948,1181,1227
"Mrps18a","Mrps18a",2965,3199,2974,5326,3996,4860
"Rrp36","Rrp36",711,956,780,1379,1012,1293
"Cnpy3","Cnpy3",2760,3567,3188,3491,2299,2951
"Ubr2","Ubr2",6099,6590,6717,6700,4367,4925
"Guca1b","Guca1b",6,3,0,4,2,5
"Taf8","Taf8",657,853,574,1092,748,886
"Guca1a","Guca1a",274,296,233,469,304,354
"Gm20517","Gm20517",8,3,17,11,5,6
"Bysl","Bysl",1318,1841,1546,3198,2287,2729
"Tfeb","Tfeb",816,1100,1016,1027,724,894
"Foxp4","Foxp4",292,443,351,1323,971,1251
"Trem2","Trem2",8835,10301,9809,6023,4186,5218
"Nfya","Nfya",438,501,428,497,310,328
"Brd4","Brd4",2568,2906,2820,3620,2303,2629
"Stk38","Stk38",2650,3007,3081,5162,3289,3307
"Ppil1","Ppil1",636,765,613,1835,1296,1385
"Pi16","Pi16",16,11,10,20,49,32
"Mtch1","Mtch1",4784,6494,5340,6782,4102,4164
"Fgd2","Fgd2",595,1033,523,1045,713,820
"Pim1","Pim1",441,435,507,732,401,601
"Ccdc167","Ccdc167",22,21,18,23,25,29
"Cmtr1","Cmtr1",6,15,25,48,33,41
"Glo1","Glo1",982,1064,915,1950,1200,1395
"Glp1r","Glp1r",1,0,0,0,0,1
"Abcg1","Abcg1",6537,7445,7369,5309,3819,3922
"Slc37a1","Slc37a1",454,653,689,747,643,614
"Wdr4","Wdr4",1223,1530,1218,2555,2040,2444
"Ndufv3","Ndufv3",2736,3046,2809,3273,2555,2822
"Sik1","Sik1",2713,3302,3454,1257,600,892
"Epb41l3","Epb41l3",0,1,0,0,2,4
"Akap8","Akap8",1020,1422,1123,2730,1777,1981
"Myl12a","Myl12a",2045,2478,2258,3084,2208,2314
"Myom1","Myom1",58,74,43,86,87,105
"Wiz","Wiz",872,1035,857,1150,492,568
"Lpin2","Lpin2",2817,3309,3397,3511,2288,2552
"Emilin2","Emilin2",21496,25348,25165,10144,6912,7854
"Smchd1","Smchd1",1678,2024,1795,2968,1874,2026
"Cyp4f13","Cyp4f13",1425,1574,1561,1066,724,848
"Ndc80","Ndc80",312,438,370,1076,642,685
"Clip4","Clip4",0,0,0,0,2,0
"Lbh","Lbh",77,74,109,46,22,27
"Galnt14","Galnt14",0,5,0,0,0,0
"Xdh","Xdh",16310,18275,18160,14177,10562,12216
"Dpy30","Dpy30",960,983,841,2181,1391,1556
"Spast","Spast",459,553,520,895,451,449
"Slc30a6","Slc30a6",909,1022,937,1645,1191,1432
"Prkd3","Prkd3",141,105,147,185,89,150
"Yipf4","Yipf4",1202,1476,1371,2343,1239,1618
"Birc6","Birc6",2311,2396,2563,3810,2300,2445
"Strn","Strn",920,1033,1117,1595,706,1148
"Ttc27","Ttc27",1065,1271,1114,1759,1179,1331
"Eif2ak2","Eif2ak2",922,1036,910,2762,1456,1606
"Cebpz","Cebpz",1125,1420,1263,2145,1262,1443
"Ndufaf7","Ndufaf7",1361,1618,1317,2449,1599,1854
"Pja2","Pja2",1834,2105,2240,2663,1382,1607
"Man2a1","Man2a1",634,950,726,1154,662,780
"Cyp1b1","Cyp1b1",0,0,0,0,0,0
"Vapa","Vapa",5660,6965,6187,10082,5638,6445
"Hnrnpll","Hnrnpll",2250,2901,2616,4173,2611,2606
"Ralbp1","Ralbp1",772,873,775,995,620,767
"Srsf7","Srsf7",1884,2467,1951,5003,3287,4062
"Twsg1","Twsg1",3304,3727,4072,3388,1468,1994
"Ndufv2","Ndufv2",3191,4137,3552,5758,3988,4115
"Washc1","Washc1",411,481,358,571,419,498
"Washc2","Washc2",5946,6529,6224,11670,7690,8162
"Nrxn1","Nrxn1",1,7,0,5,1,0
"Tedc2","Tedc2",94,162,87,233,190,213
"Lrpprc","Lrpprc",5144,5698,5900,8981,5118,5921
"Atp6v0c","Atp6v0c",46155,53050,48852,62116,46370,54666
"Pdpk1","Pdpk1",1098,1316,1366,1789,915,991
"Prepl","Prepl",1055,1132,1169,1453,991,943
"Abca3","Abca3",1953,2083,2110,4283,2607,3069
"Eci1","Eci1",677,860,699,975,692,843
"Srbd1","Srbd1",568,659,749,1160,696,734
"E4f1","E4f1",575,604,662,666,496,486
"Epas1","Epas1",2916,3249,3166,2240,1266,1624
"Mlst8","Mlst8",226,266,270,405,383,391
"Rhoq","Rhoq",1529,1827,1556,9096,4361,4933
"Pigf","Pigf",67,136,106,203,132,166
"Cript","Cript",1575,1561,1559,2722,1774,1949
"Mcfd2","Mcfd2",2571,2794,2848,3827,2814,2940
"Msh2","Msh2",1360,1734,1500,2506,1423,1875
"Hagh","Hagh",1848,2152,1906,2237,1653,1800
"Spsb3","Spsb3",72,92,82,110,101,83
"Mapk8ip3","Mapk8ip3",1606,2226,2052,1992,1261,1387
"C3","C3",3758,4285,4284,51005,35815,38509
"Jpt2","Jpt2",1502,1837,1615,5046,3467,3690
"Tmem204","Tmem204",9,43,30,15,3,2
"Ift140","Ift140",1364,1400,1501,876,722,709
"Telo2","Telo2",1936,2586,2147,2024,1446,1728
"Pot1b","Pot1b",40,45,52,112,61,54
"Nme4","Nme4",885,1257,984,1434,1052,1149
"Tmem8","Tmem8",796,1095,863,1228,862,1070
"Mrpl28","Mrpl28",4593,5976,4664,7758,6078,6840
"Axin1","Axin1",692,1011,763,1048,518,464
"Rgs11","Rgs11",47,109,88,60,57,34
"Fam234a","Fam234a",5238,6246,6370,11399,7806,9149
"Luc7l","Luc7l",750,861,867,3098,2252,2369
"Dusp1","Dusp1",2107,2393,2403,1172,1221,1165
"Bnip1","Bnip1",405,445,401,823,535,547
"Phf1","Phf1",180,175,112,133,81,69
"Cuta","Cuta",1564,1809,1627,2170,1533,1848
"Plin3","Plin3",20612,24060,21385,23141,17110,19271
"Kdm4b","Kdm4b",2385,2839,2210,1654,1193,1273
"Rpl36.ps2","Rpl36-ps2",26,32,18,20,25,28
"Rfx2","Rfx2",27,81,48,20,10,11
"Acsbg2","Acsbg2",0,0,0,1,0,0
"Uqcc2","Uqcc2",1475,1627,1512,2686,2123,2334
"X1700061G19Rik","1700061G19Rik",66,44,52,59,29,48
"Ip6k3","Ip6k3",55,45,56,275,119,156
"Mllt1","Mllt1",1157,1555,1315,2560,1725,1950
"Nudt3","Nudt3",877,1146,995,1747,1184,1430
"Snrpc","Snrpc",436,477,490,832,559,770
"Taf11","Taf11",339,412,415,662,460,465
"Anks1","Anks1",524,806,578,746,442,648
"Zfp523","Zfp523",746,713,823,1093,755,945
"Fkbp5","Fkbp5",771,846,755,2121,1325,1329
"Cul2","Cul2",1328,1966,1698,3183,1729,2171
"Bambi","Bambi",446,621,561,123,62,85
"Mtpap","Mtpap",829,1055,1024,1735,927,1135
"Map3k8","Map3k8",141,183,160,1142,702,703
"Svil","Svil",797,1045,1081,1463,936,1088
"Epc1","Epc1",168,170,219,261,136,165
"Sos1","Sos1",314,293,358,571,224,237
"Map4k3","Map4k3",993,1132,1129,1040,472,579
"Thumpd2","Thumpd2",214,228,212,497,362,293
"Pkdcc","Pkdcc",692,886,816,1481,682,738
"Cox7a2l","Cox7a2l",3582,4213,3619,6833,4746,5258
"Thada","Thada",1068,1204,1222,1685,1093,1172
"Dync2li1","Dync2li1",6,21,21,35,2,32
"Polr2d","Polr2d",328,485,395,723,593,638
"Slc25a46","Slc25a46",850,1166,990,1453,839,995
"Sap130","Sap130",754,816,717,1018,553,660
"Celf4","Celf4",145,151,111,148,109,85
"Tpgs2","Tpgs2",272,367,214,954,608,634
"Slc39a6","Slc39a6",2515,2684,2857,3998,2364,2828
"Elp2","Elp2",4159,5146,4839,6370,4249,5095
"X2700062C07Rik","2700062C07Rik",382,387,377,639,428,499
"Zfp397","Zfp397",388,326,425,605,364,409
"Mapre2","Mapre2",2125,2327,2154,3553,2559,2923
"Wac","Wac",1856,2141,2096,3063,1533,1818
"Ccny","Ccny",2896,3429,3270,3624,2571,2634
"Thoc1","Thoc1",514,558,504,926,564,667
"Rock1","Rock1",517,700,683,719,400,600
"Esco1","Esco1",260,474,386,391,245,330
"Mib1","Mib1",410,657,497,998,481,336
"Cyp4f41.ps","Cyp4f41-ps",20,10,19,38,46,13
"Zfp871","Zfp871",946,961,1156,1759,905,997
"Adamts10","Adamts10",613,701,666,733,607,586
"Myo1f","Myo1f",24852,29225,27213,27237,19083,21706
"Kifc5b","Kifc5b",79,68,57,144,115,129
"Dtna","Dtna",0,0,0,0,0,6
"Tapbp","Tapbp",10028,12258,11254,21452,15757,19171
"Pfdn6","Pfdn6",773,948,853,1746,1279,1409
"Wdr46","Wdr46",1744,2230,1895,3140,2327,2907
"Rnf138","Rnf138",295,351,318,284,138,197
"Vps52","Vps52",3298,4288,3908,4139,3152,3495
"Ring1","Ring1",471,596,492,604,352,607
"Slc39a7","Slc39a7",30,31,47,87,49,88
"Col11a2","Col11a2",1,0,0,9,13,20
"H2.Oa","H2-Oa",260,285,315,454,304,411
"Brd2","Brd2",6041,7545,7020,9982,6857,7832
"Psmb8","Psmb8",3537,4569,4030,10390,7826,8887
"Tap2","Tap2",1395,1748,1536,3132,2126,2418
"Pfdn1","Pfdn1",682,836,707,1589,1007,1302
"Tmem173","Tmem173",2308,2615,2360,3128,2211,2656
"Dnajc18","Dnajc18",600,556,689,952,650,647
"Sil1","Sil1",1698,1993,1844,1394,880,1025
"Hspa9","Hspa9",24974,27269,28566,46300,29076,31225
"Etf1","Etf1",3031,3348,3209,5753,3478,3991
"Nelfe","Nelfe",2653,3377,2758,4001,2941,3236
"Cdc23","Cdc23",1292,1816,1413,2322,1837,1884
"Epb41l4a","Epb41l4a",0,1,0,4,4,0
"Stard4","Stard4",197,202,149,1058,615,636
"Bin1","Bin1",2514,3147,2907,4973,3414,3829
"Ercc3","Ercc3",760,992,924,1352,879,973
"Map3k2","Map3k2",328,353,399,457,248,309
"Iws1","Iws1",605,729,669,1390,736,907
"Csnk2b","Csnk2b",2235,2674,2393,3939,2757,3269
"Bag6","Bag6",4284,5527,4843,5349,3765,4689
"Prrc2a","Prrc2a",942,1089,1056,1715,1090,1453
"Aif1","Aif1",254,305,271,596,411,494
"Ltb","Ltb",19,39,54,29,31,25
"Wdr33","Wdr33",2455,2822,2867,3835,2374,2953
"Tnf","Tnf",123,145,193,6521,5468,6415
"Lta","Lta",10,0,4,66,54,60
"Atp6v1g2","Atp6v1g2",26,38,80,60,37,36
"Riok3","Riok3",3012,3380,3526,5735,3247,3899
"Rmc1","Rmc1",1425,1932,1755,3018,2145,2396
"Npc1","Npc1",2623,3123,3176,2716,2015,2220
"Mrpl27","Mrpl27",1047,1243,1035,2364,1752,1902
"Dhx16","Dhx16",2396,3163,2725,3676,2676,3227
"Impact","Impact",214,324,244,1251,520,712
"Ttc39c","Ttc39c",196,148,156,1399,1193,1093
"Ndfip1","Ndfip1",2669,3127,3233,3251,1968,2483
"Atat1","Atat1",388,415,469,589,304,290
"Gnl1","Gnl1",2781,3495,3170,4217,3207,3665
"Cabyr","Cabyr",21,29,17,14,6,10
"Nr3c1","Nr3c1",1085,1034,1116,1098,695,671
"Mrps18b","Mrps18b",990,1143,1059,1794,1336,1562
"Dele1","Dele1",352,377,324,475,334,335
"Rpp21","Rpp21",327,315,270,394,378,415
"Arap3","Arap3",1641,1619,1660,1672,1444,1663
"Hdac3","Hdac3",2037,2719,2258,3067,2218,2362
"Diaph1","Diaph1",1233,1464,1471,1031,840,987
"Trim26","Trim26",2020,2450,2268,3132,2275,2459
"Dcp2","Dcp2",179,198,202,530,290,343
"Ik","Ik",4109,4631,4461,5951,3673,4129
"Pggt1b","Pggt1b",433,610,467,673,363,486
"Ap3s1","Ap3s1",2226,2947,2767,5434,2692,3800
"Ankhd1","Ankhd1",2352,2697,2805,3162,1847,2168
"Hbegf","Hbegf",47,100,76,82,53,59
"Yipf5","Yipf5",1502,1713,1519,2536,1357,1756
"Rbm27","Rbm27",412,379,499,918,520,565
"Lars","Lars",4317,5026,5359,9477,5871,6619
"Tcerg1","Tcerg1",1457,1977,1695,3693,2042,2294
"Jakmip2","Jakmip2",0,0,0,0,0,0
"Dtwd2","Dtwd2",43,84,111,161,136,143
"Hsd17b4","Hsd17b4",2461,2815,2774,3470,2136,2410
"Mbd2","Mbd2",53,85,67,141,103,80
"Smad4","Smad4",235,351,250,465,192,162
"Sec11c","Sec11c",1734,2146,1713,3725,2334,2767
"Pmaip1","Pmaip1",927,1139,1158,1273,590,917
"Gnal","Gnal",3,8,6,7,8,11
"Impa2","Impa2",622,964,640,1375,1002,1161
"Afg3l2","Afg3l2",7172,8804,8147,8248,5197,6420
"Srfbp1","Srfbp1",647,794,734,2622,1545,1943
"Prelid3a","Prelid3a",81,80,68,260,160,143
"Spire1","Spire1",412,479,514,748,312,295
"Snx24","Snx24",1056,1131,851,678,461,453
"Psmg2","Psmg2",612,744,710,1925,1195,1392
"Ppic","Ppic",743,937,860,2053,1190,1485
"Ptpn2","Ptpn2",569,718,651,1362,726,1028
"Cep192","Cep192",1230,1342,1337,2726,1437,1725
"Me2","Me2",924,1242,920,2309,1410,1778
"Cxxc1","Cxxc1",1242,1692,1758,2015,1468,1567
"Mbd1","Mbd1",1385,1543,1549,2561,1626,1772
"Smad2","Smad2",853,976,1042,2121,1303,1473
"Sall3","Sall3",192,264,181,379,172,225
"Atp9b","Atp9b",2409,2595,2876,2726,1888,2255
"Rbfa","Rbfa",584,750,602,858,579,635
"Gm16286","Gm16286",4155,5052,4518,6178,4669,5190
"Csnk1a1","Csnk1a1",4492,5291,5310,7753,4008,4748
"Pcyox1l","Pcyox1l",370,564,421,638,405,437
"Grpel2","Grpel2",1109,1269,1262,2375,1625,1664
"Napg","Napg",566,719,693,1623,891,939
"Txnl1","Txnl1",2153,2691,2320,4925,3034,3614
"Nars","Nars",10753,12978,12803,22917,15184,16376
"Fech","Fech",2148,2629,2438,4089,2394,2924
"Nedd4l","Nedd4l",2238,2624,2590,3947,2584,3037
"Lmnb1","Lmnb1",425,686,428,1318,888,980
"C330018D20Rik","C330018D20Rik",113,161,118,248,119,194
"Prrc1","Prrc1",1858,2286,2104,2430,1517,1921
"Slc12a2","Slc12a2",116,121,142,207,78,64
"Fbn2","Fbn2",1,4,0,0,1,0
"Isoc1","Isoc1",661,717,701,2369,1447,1518
"Dctn4","Dctn4",1363,1819,1604,2632,1634,1838
"Rbm22","Rbm22",958,1136,1169,1444,990,1090
"Rps14","Rps14",16952,20999,17008,18729,13809,17453
"Cd74","Cd74",6244,8261,7097,8092,6818,7548
"Tcof1","Tcof1",2996,3596,3298,6275,4793,5466
"Tmx3","Tmx3",686,953,870,1194,634,846
"Camk2a","Camk2a",339,378,350,542,374,449
"Pdgfrb","Pdgfrb",0,1,1,87,65,54
"Csf1r","Csf1r",21942,27918,24255,57293,43986,47927
"Hmgxb3","Hmgxb3",2213,2649,2542,3526,2535,2714
"Gnaq","Gnaq",605,664,582,1093,591,740
"Psat1","Psat1",7377,9118,8296,20081,15390,16775
"Tle4","Tle4",353,459,376,568,208,277
"Cndp2","Cndp2",14022,16673,15472,18561,14137,16495
"Timm21","Timm21",323,350,372,540,298,382
"Cyb5a","Cyb5a",1900,1960,1920,12032,8502,9391
"Scgb1a1","Scgb1a1",30,54,50,3,1,5
"Asrgl1","Asrgl1",971,1070,1086,1269,978,959
"Anxa1","Anxa1",8768,9148,8531,4212,2668,3200
"Incenp","Incenp",2593,3491,2793,8109,6170,7316
"Fth1","Fth1",715341,788111,771596,1342137,907714,1037992
"Rab3il1","Rab3il1",790,1091,816,1401,937,1097
"Fads2","Fads2",0,0,0,0,4,0
"Tmem138","Tmem138",112,141,179,201,194,232
"Tmem216","Tmem216",270,287,298,411,227,347
"Sdhaf2","Sdhaf2",1089,1012,960,2073,1252,1291
"Cd5","Cd5",518,635,680,840,608,854
"Cd6","Cd6",0,5,0,7,0,1
"Ms4a7","Ms4a7",525,502,510,1290,1085,1040
"Ms4a1","Ms4a1",4,0,0,0,0,0
"Ms4a6b","Ms4a6b",8,7,4,15,7,1
"Ms4a6d","Ms4a6d",347,417,352,1109,748,857
"Mrpl16","Mrpl16",1379,1570,1314,2591,1779,2081
"Osbp","Osbp",583,786,500,842,417,358
"Fam111a","Fam111a",1577,2043,1699,4542,2652,3075
"Zfp91","Zfp91",698,986,810,1438,668,633
"Lpxn","Lpxn",7285,8301,7343,4541,3616,3890
"Rfk","Rfk",1790,2148,2056,2883,1552,2056
"Pcsk5","Pcsk5",5,1,0,2,0,0
"Ostf1","Ostf1",3650,4601,3931,5363,3686,4001
"Carnmt1","Carnmt1",538,815,714,1547,683,938
"Ccdc86","Ccdc86",3057,3645,3206,4123,3590,3879
"Prpf19","Prpf19",4936,6290,5256,8535,6231,7089
"Tmem132a","Tmem132a",510,537,567,723,614,628
"Slc15a3","Slc15a3",3197,2998,3203,6465,5167,6025
"Ddb1","Ddb1",20597,26426,23689,34744,26447,30498
"Fen1","Fen1",65,110,78,173,167,181
"Tmc1","Tmc1",0,0,0,0,0,0
"Zfand5","Zfand5",5555,6507,6208,7441,3761,4562
"Cemip2","Cemip2",196,354,210,1205,659,742
"Rtn3","Rtn3",8970,10537,10709,14305,9097,10503
"Atl3","Atl3",598,678,756,960,611,668
"Naa40","Naa40",1975,2443,2233,4492,2979,3429
"Otub1","Otub1",4401,5036,4759,6260,4399,5250
"Cdc42bpg","Cdc42bpg",37,37,39,65,32,43
"Lipn","Lipn",32,88,59,104,152,146
"Ehd1","Ehd1",1292,1670,1590,11186,9136,10354
"Atg2a","Atg2a",5618,6923,6206,5248,4193,4604
"Stambpl1","Stambpl1",1015,1263,1342,2589,1629,1749
"Ppp2r5b","Ppp2r5b",1987,1918,1963,2099,1572,2091
"Fas","Fas",1,4,5,1118,643,699
"Cdc37l1","Cdc37l1",427,516,599,987,558,628
"Lipa","Lipa",20619,21201,22087,23124,14112,16123
"Ak3","Ak3",2296,2738,2487,3678,2465,2363
"Rcl1","Rcl1",1061,1210,1068,2892,2383,2576
"Snx15","Snx15",973,1029,973,1524,887,1129
"Jak2","Jak2",509,658,599,2936,1202,1176
"Sac3d1","Sac3d1",423,512,388,723,550,645
"Cdca5","Cdca5",578,806,716,1966,1294,1508
"Zfpl1","Zfpl1",1044,1224,1105,1243,899,1063
"Kif20b","Kif20b",275,374,297,802,582,862
"Vps51","Vps51",2061,2772,2286,3058,2309,2706
"Tm7sf2","Tm7sf2",154,263,161,252,195,216
"Rpp30","Rpp30",490,596,495,986,625,777
"Ankrd1","Ankrd1",0,2,0,0,0,0
"Pcgf5","Pcgf5",135,244,235,415,191,285
"Syvn1","Syvn1",2636,3039,2943,3610,2371,2978
"Tnks2","Tnks2",4804,5277,4970,7258,2691,2475
"Tjp2","Tjp2",3874,3806,4369,3428,2324,2696
"Frmd8","Frmd8",3141,3900,3248,4393,3234,3659
"Uhrf2","Uhrf2",2517,2752,2514,3227,1787,2089
"Slc25a45","Slc25a45",2081,2013,1884,3467,2424,2593
"Rad9a","Rad9a",1050,1256,1129,2927,2125,2583
"Dpf2","Dpf2",3128,3932,3832,4029,2648,3221
"Gldc","Gldc",23,30,12,18,14,7
"Mrpl21","Mrpl21",986,1078,1043,2301,1445,1596
"Rps6kb2","Rps6kb2",1078,1560,1244,1494,1013,1202
"Ighmbp2","Ighmbp2",1160,1754,1529,1807,1399,1593
"Pola2","Pola2",1419,1639,1591,3958,2729,3023
"Coro1b","Coro1b",15938,19601,17455,23820,16697,18781
"Eif1ad","Eif1ad",1537,1885,1622,4951,3549,4071
"Cabp4","Cabp4",0,0,0,6,12,9
"Chka","Chka",789,950,819,1596,973,1259
"Banf1","Banf1",3138,4338,3510,7320,5116,6083
"Tmem134","Tmem134",2521,3145,2684,4230,3059,3462
"Aip","Aip",2754,3301,3031,4315,3011,3797
"Pitpnm1","Pitpnm1",4360,5213,4708,7352,5263,6509
"Sf3b2","Sf3b2",9052,10794,10055,13207,9293,10946
"Pold4","Pold4",130,181,124,202,118,150
"Pacs1","Pacs1",3837,4963,4397,5491,3928,4515
"Cdk2ap2","Cdk2ap2",1728,2357,1937,4206,3086,3570
"Grk2","Grk2",1883,2345,1978,3693,2160,2271
"Klc2","Klc2",336,429,412,462,277,373
"Acy3","Acy3",436,448,388,614,504,563
"Pip5k1b","Pip5k1b",1,4,1,24,6,24
"Rab1b","Rab1b",10894,13402,12116,14935,11043,12583
"Yif1a","Yif1a",3956,4760,4080,5491,4052,4546
"Cbwd1","Cbwd1",335,352,345,895,484,621
"Rin1","Rin1",525,582,602,377,327,304
"Aldh3b1","Aldh3b1",7759,10679,9004,17874,14010,15854
"Asah2","Asah2",9,8,26,38,22,17
"Rce1","Rce1",1695,1995,1880,2643,1891,2057
"Slc29a2","Slc29a2",136,222,153,299,288,248
"Pcx","Pcx",4762,6189,5668,13381,10145,12273
"Minpp1","Minpp1",2061,2391,2129,3957,2211,2651
"Apba1","Apba1",681,809,623,610,411,387
"Cpt1a","Cpt1a",1575,1901,1553,2092,1487,1591
"Peli3","Peli3",147,172,197,330,202,212
"Mrpl11","Mrpl11",1151,1452,1261,2354,1525,1821
"Tesmin","Tesmin",35,45,47,25,30,24
"Mus81","Mus81",726,952,809,855,718,798
"Ppp6r3","Ppp6r3",2681,3061,2963,4094,2496,2414
"Efemp2","Efemp2",0,0,0,0,1,0
"Fibp","Fibp",1653,2125,1961,2029,1364,1688
"Fosl1","Fosl1",14,16,35,118,118,92
"Lrp5","Lrp5",1257,1328,1146,1537,1006,1065
"Drap1","Drap1",963,1362,1262,1440,865,1195
"Smarca2","Smarca2",1449,1522,1623,2400,1291,1657
"Vldlr","Vldlr",0,0,0,0,0,0
"Rnaseh2c","Rnaseh2c",1570,2121,1548,2510,1794,2152
"Kat5","Kat5",826,890,783,1018,664,786
"Rela","Rela",4400,5270,4803,5700,3951,4374
"Ehbp1l1","Ehbp1l1",7183,8630,8153,10382,7736,8736
"Ltbp3","Ltbp3",17,18,26,30,56,16
"Scyl1","Scyl1",4181,5221,4860,6332,4630,5327
"Capn1","Capn1",1463,1698,1739,1634,1161,1320
"Smc5","Smc5",982,1356,1119,1525,804,1050
"Arl2","Arl2",1585,1812,1605,1839,1347,1483
"Men1","Men1",2657,3222,2737,3352,2338,2634
"Map4k2","Map4k2",1005,1160,1245,2244,1747,1967
"Sf1","Sf1",5207,6703,6312,7767,5627,6203
"Rps6ka4","Rps6ka4",1373,1436,1307,2959,2383,2608
"Prdx5","Prdx5",6605,7871,6794,22210,15939,18092
"Esrra","Esrra",839,1068,879,2004,1292,1612
"Gpr137","Gpr137",509,601,682,756,520,705
"Bad","Bad",707,906,836,979,731,920
"Plcb3","Plcb3",1937,2543,2261,2671,1897,2186
"Vegfb","Vegfb",2003,2424,2157,2680,1613,1825
"Dnajc4","Dnajc4",474,589,454,636,471,489
