"","Geneid","control.cells_1","control.cells_2","control.cells_3","LPS.cells_1","LPS.cells_2","LPS.cells_3"
"Tlcd2","Tlcd2",55,66,54,40,30,42
"Primpol","Primpol",201,262,187,286,157,222
"F11r","F11r",1,0,0,0,2,0
"Hoxa7","Hoxa7",285,347,348,454,312,451
"Hrc","Hrc",2,5,12,27,28,32
"Pdss2","Pdss2",160,116,238,301,140,188
"Cep250","Cep250",2314,2717,2559,4023,2852,3278
"Aox4","Aox4",0,1,5,0,0,0
"Mical2","Mical2",320,340,479,225,221,183
"Usp38","Usp38",930,1098,1149,1421,799,974
"Ncapd2","Ncapd2",1461,1988,1755,2829,2101,2386
"Hoxa5","Hoxa5",77,93,86,125,54,69
"Bcl9","Bcl9",271,373,324,438,322,277
"Trpm4","Trpm4",178,308,265,636,392,560
"Slc22a23","Slc22a23",3,8,12,46,10,20
"Ovca2","Ovca2",167,131,135,183,109,107
"Iffo1","Iffo1",338,331,315,474,382,436
"Fau","Fau",7427,8336,7442,10778,8605,9438
"Nop2","Nop2",3766,4849,3894,8198,6471,7795
"Ostm1","Ostm1",1927,2195,2241,3288,1722,1903
"Bphl","Bphl",687,898,854,799,495,541
"Smg6","Smg6",513,546,477,413,227,378
"Snx25","Snx25",88,170,113,202,89,102
"Ccdc155","Ccdc155",11,17,30,56,20,31
"Atg9b","Atg9b",86,91,88,190,136,218
"Wdr36","Wdr36",1641,2054,2112,3504,2399,2600
"Snx10","Snx10",1073,1526,1494,4597,2533,3023
"Afg1l","Afg1l",469,446,542,624,370,444
"Edem2","Edem2",16866,21115,18959,23424,16348,18864
"Kcnh2","Kcnh2",140,282,147,93,34,45
"X1700066M21Rik","1700066M21Rik",142,115,153,227,122,229
"Trpc4ap","Trpc4ap",16829,20928,19029,23470,16481,19118
"Serpinb9f","Serpinb9f",0,0,0,0,0,0
"Satb2","Satb2",48,20,67,151,55,43
"Sesn1","Sesn1",577,739,562,708,436,396
"Tsr1","Tsr1",927,1073,965,2144,1332,1411
"Mlxip","Mlxip",1373,1335,1395,1557,995,1076
"Txlng","Txlng",150,147,106,325,152,196
"Zfp384","Zfp384",1346,1523,1433,1792,1164,1246
"Tcte2","Tcte2",32,20,27,29,31,32
"Sgsm2","Sgsm2",1106,1330,1232,1066,788,879
"Arl5c","Arl5c",73,64,55,212,143,168
"Camp","Camp",0,1,0,50,48,48
"Fbxo25","Fbxo25",404,548,479,812,554,560
"Lasp1","Lasp1",9086,10215,9509,14261,9935,11571
"Focad","Focad",1579,2062,1973,4562,3162,3285
"Ncoa6","Ncoa6",1675,1941,1832,2269,1397,1394
"Sbf2","Sbf2",2042,2495,2495,2705,1380,1574
"Gmds","Gmds",724,850,798,2168,1414,1627
"Rbm8a","Rbm8a",1717,2400,1985,4527,3140,3443
"Trp53inp2","Trp53inp2",4145,4364,4729,4893,3270,3928
"Ttk","Ttk",176,275,234,914,565,591
"Pigu","Pigu",1475,1717,1636,2889,1991,2220
"Setd1b","Setd1b",39,24,52,83,53,60
"Rras","Rras",1138,1349,1222,1789,1036,1373
"Mpp6","Mpp6",1058,1447,1156,2277,1081,1276
"Gpr162","Gpr162",1775,2114,1950,646,456,430
"Txnip","Txnip",13087,18981,16576,4785,2606,2972
"Upf3a","Upf3a",515,566,526,821,621,699
