"","control_cells_1","control_cells_2","control_cells_3","LPS_cells_1","LPS_cells_2","LPS_cells_3"
"Pstpip1",1463.30968445895,1719.51203490145,1884.1864954956,1718.12289683016,1897.85693557967,1893.98271559702
"Cyp11a1",785.718007911457,718.812408032574,730.8688826908,522.6309797008,527.243252420403,692.874078871673
"Tspan3",1584.65145632295,1712.46485443054,1739.75029728182,2962.28085660373,2741.22736631853,2546.8832899184
"Tmem30a",2082.03258059718,2235.96968941225,2282.74352364942,1890.92261346538,1555.47698120708,2075.76698629
"Hmg20a",1446.49003291345,1391.31477297061,1279.29204132208,1093.22269707995,989.948430374408,1126.87212827481
"Cox7a2",4055.93882983039,4012.86590814824,3512.08018814569,5613.52222326406,6459.27677498439,6105.47694500244
"Col12a1",0,20.1348013454503,8.68789162188173,0,0,3.80700043336084
"Stoml1",563.458326774424,537.599195923522,582.088738666076,338.546383611854,495.521148021665,326.450287160692
"Nptn",3271.42222560076,3167.20425163933,3537.0578765586,2316.92681284363,2007.24350247186,2149.05174463219
"Mto1",820.558714684289,789.28421274165,789.512151138502,745.507348911938,767.893699583242,801.373591222456
"Cgas",313.56636095549,315.109641056297,385.525190721002,735.633079389925,693.510834096546,666.225075838147
"Elovl5",2312.70208750696,2532.95800925764,2378.31033149012,3335.38718354262,3107.67236540739,3184.55586250634
"Gclc",3205.34502310056,3327.27592233566,3371.98793574285,3119.56386399007,2438.22657602713,2443.14252810932
"Lrrc1",181.411955955092,123.829028274519,149.86613047746,55.0137873369263,50.3178207704119,60.9120069337734
"Tmed3",1981.11467132415,1892.67132647232,1762.55601278926,1639.12874065406,1769.87465231579,1852.10571083005
"Adamts7",0,0,0,88.8684256981118,127.982283263874,130.389764842609
"Tpm1",1549.81074955012,1645.01326992329,1778.84580958028,2344.43370651209,2368.21917321612,2259.45475719966
"Plscr1",736.460456956763,886.937999267084,782.996232422091,1667.34093928838,1687.83472714664,1617.02343407002
"Lactb",557.451308365315,640.286682785318,657.021803904806,691.904171506727,611.470908927397,621.492820746157
"Car12",398.866022364837,424.844308389001,398.557028153824,1108.73940632882,1088.39634057739,955.55710877357
"Plod2",349.608471410144,499.343073367166,394.213082342883,283.532596274928,214.397671108711,317.88453618563
"Aph1b",138.161423409507,138.930129283607,179.187764701311,131.186723649594,146.577999635548,139.907265926011
"Usp3",1094.47875413966,850.695356845274,937.206308710491,1220.88289590025,1146.37122103025,1123.06512784145
"Dapk2",1.2014036818218,0,7.60190516914651,8.46365959029636,13.126388027064,1.90350021668042
"Ciao2a",2514.53790605303,2653.76681733034,2395.68611473389,4609.16795188223,4550.48118271551,4482.74301028239
"Snx1",6457.54478979217,6453.20383121681,6337.81693816272,5057.74191016793,5238.52268846744,5060.45532604489
"Ppib",809.746081547893,771.162891530745,804.715961476795,966.267803225501,1197.78290746959,1209.67438770041
"Csnk1g1",313.56636095549,346.318583141745,349.68763778074,583.992511730449,410.199625845749,419.721797778032
"Trip4",831.371347820685,745.994389848932,813.403853098677,942.992739352186,868.529341124066,627.203321396198
"Rbpms2",320.77478304642,321.150081459932,348.601651328004,509.935490315356,596.156789562488,564.387814245744
"Spg21",7986.93167675132,7868.68036580196,7984.17240050931,5475.28244995589,5501.05044900872,5800.91691033358
"Parp16",257.100387909865,327.190521863567,357.289542949886,273.658326752916,299.719193284627,335.016038135754
"Dpp8",1433.27459241341,1469.84049821787,1585.54022099342,1279.42320806647,1112.46138529367,1191.59113564194
"Dis3l",725.647823820367,722.839368301664,706.977180730626,824.501505088037,919.9410275634,848.961096639467
"Tipin",498.582527956047,600.017080094418,483.263971467171,772.308937614543,793.052609968448,832.781344797683
"Snapc5",265.510213682618,223.496294934498,211.767358283367,433.762554002688,395.979372149763,465.405802978362
"Rpl4",25058.8779954391,25098.0298771038,24039.3961177467,24439.5223719466,23747.8236722966,22901.9628569905
"Zwilch",117.737560818536,222.489554867225,152.03810338293,325.145589260552,367.538864757791,289.332032935424
"Smad3",473.353050637789,489.275672694441,494.123835994523,397.792000743929,339.098357365819,445.419050703218
"X2300009A05Rik",56.4659730456246,69.4650646418034,64.0732007113778,59.2456171320745,68.9135371420858,47.5875054170105
"Pias1",1709.59743923242,1723.53899517054,1938.48581813236,1680.03642867383,1685.6469958088,1496.15117031081
"U2surp",1296.31457268572,1512.12358104331,1336.84932331705,1504.41549217518,1297.32468334149,1449.51541500214
"Atr",412.081462864877,336.251182469019,380.095258457326,495.829390998195,444.109461582331,383.555293661104
"Xrn1",690.807117047534,768.142671328927,698.289289108744,769.487717751111,510.835267386573,532.980060670517
"Tfdp2",462.540417501393,649.347343390771,482.177985014436,524.746894598374,410.199625845749,402.590295827909
"Atp1b3",8149.12117379726,7860.62644526378,8131.8665580813,7213.15388583007,6496.46820772774,6671.76825946487
"Rasa2",479.360069046898,338.264662603564,482.177985014436,321.619064431262,295.343730608939,348.340539652517
"Ube2cbp",1.2014036818218,16.1078410763602,15.203810338293,50.0766525759201,84.2276565069938,80.8987592089178
"Rwdd2a",207.842836955171,233.563695607223,175.929805343105,147.408737864328,138.920939953094,155.135267659454
"Me1",1295.1131690039,1290.64076624336,1180.46727412318,3166.81929670255,2834.2059481769,2919.01758227942
"Snx14",1134.12507563978,1298.69468678154,1222.82074577985,709.536795653178,725.232938495284,548.208062403961
