"","Norm_BV2_control_1_cell","Norm_BV2_TGFB_1_cell","Norm_BV2_IL10_1_cell","Norm_BV2_LPS_1_cell","Norm_BV2_control_2_cell","Norm_BV2_TGFB_2_cell","Norm_BV2_IL10_2_cell","Norm_BV2_LPS_2_cell","Norm_BV2_control_3_cell","Norm_BV2_TGFB_3_cell","Norm_BV2_IL10_3_cell","Norm_BV2_LPS_3_cell","Norm_BV2_control_4_cell","Norm_BV2_TGFB_4_cell","Norm_BV2_IL10_4_cell","Norm_BV2_LPS_4_cell"
"44811",16.50710487,17.04793739,18.65674591,18.20572281,18.5943212147445,15.3679256047445,18.3447084047445,17.9331388047445,19.1410134389003,17.7845719389003,15.0144465489003,18.5180085289003,17.6576654448537,16.5304452848537,18.6328393948537,17.7668649648537
"Apob",19.0661869,15.5330143,15.20485497,16.59164047,17.484623120985,17.701254050985,12.846576850985,17.895517510985,15.2470092191667,18.2609671991667,15.2054261591667,17.5756854391667,19.5258986825998,18.8212458925998,14.0437238025998,14.3112361225998
"Psmd13",16.11732864,17.95727539,16.00209808,17.63256264,17.1572394379176,16.2169308679176,16.5702834179176,17.6294884779176,19.0793044406667,14.1537272706667,17.0567872306667,17.2333323806667,18.8884388058255,15.7889896458255,15.7836442958255,17.4692283658255
"Itgam",14.5590744,15.95843792,18.38344955,16.63973618,16.407183063379,17.142626173379,16.886923203379,15.337046993379,17.5198546990569,17.8934070190569,16.1216279590569,14.1736585190569,18.5059178694068,15.7063000994068,14.3461488094068,17.3095429694068
"Ahnak",16.95051384,21.2038002,18.78969002,20.92565155,14.5149214252063,20.4911568152063,20.7636272852063,21.9674084152063,21.734618275534,17.730774965534,20.022177785534,18.179017155534,20.8321145028315,18.2074807128315,20.2554982128315,18.4521821028315
"Dst",13.96963024,15.19240665,14.63747883,26.3390255,15.3664556545242,19.0526472045242,19.3545728645242,16.3787637745242,15.2110361266946,19.1000188966946,17.7116521966946,18.0562395266946,16.362735423883,18.281354583883,17.222423233883,17.907783183883
"Nop2",16.21874046,14.61336803,14.91074562,16.72009277,15.0008688358696,16.4438295758696,16.3091230758696,14.8336248758696,14.8809955002695,15.3678843802695,17.0504424402695,15.2868258802695,14.198142142562,17.404531572562,15.737411592562,15.297506422562
"Dhx9",19.58082771,18.92229271,16.92061806,19.46508217,22.02480779888,18.01454721888,16.13893400888,18.59091268888,21.2660764751248,14.8412269651248,20.5427354851248,17.7776502651248,19.1860152269628,16.1006575669628,18.2336226469628,21.2146273669628
"Spock2",13.33735085,23.13484955,18.16173363,18.42771912,17.6748909866769,18.1824746066769,17.8158802866769,19.1263890166769,21.4080574275526,15.0127699175526,20.9323723075526,15.4564296975526,15.9940590853261,19.9909577453261,16.2408204153261,20.9633851053261
"Rps12",18.50760651,20.12720871,19.04011917,20.16585159,19.1803976321154,17.0552545821154,19.3279024421154,21.8128038621154,19.7869096893878,18.3918653593878,21.0419431793878,18.6571432193878,17.4652386811628,16.1236821311628,21.8248463811628,21.5939999711628
"Ahnak2",17.85590363,21.05828094,19.06884766,21.7811718,18.2561220007692,16.7405227507692,21.4573291707692,22.4009288707692,22.2397165251454,18.3172311751454,20.5369615551453,18.8604383451454,19.9424509766512,19.4174875966512,21.1069807766512,19.3086447466512
"Copa",17.27191353,16.77869225,16.62835121,16.6646843,19.237105241573,15.299553751573,16.194897531573,16.712851401573,17.5701075818804,16.2600833218804,16.4852753918804,17.0150080918804,16.5732871039378,16.8320847439378,17.6450644439378,16.2936535739378
"Atp5j2",13.93321609,19.76018715,18.03971291,18.82110596,15.5899716211679,16.0988560511679,18.7739649611679,19.7108622311679,19.2190633975272,16.2966285975272,18.8631616875272,16.4440017975272,17.5157536066909,18.5970352666909,19.2641304466909,15.5831078066909
"Spp1",17.39620781,18.8537674,17.20641708,18.25332451,17.0690091417986,20.6245625717986,18.9954083717986,15.1144088017986,19.2538826850755,20.9202530750755,16.4830258250755,15.3004916050755,16.51854617584,18.71120460584,20.12292678584,16.40102298584
"Serpinb6;Serpinb6a",13.85909462,17.75936317,17.40320015,18.50551224,16.9453595879935,15.9227012379935,15.1556943579935,19.4864858379935,19.0476997258333,16.0279329158333,15.6472232658333,17.5506370458333,19.2304463012134,15.2993712112134,17.3756775512134,16.2489828712134
"Dnm2",20.51448441,15.58747673,17.13373566,16.89554405,18.2354408619565,17.0405584719565,16.8977657719565,17.6795660419565,18.8185961769378,17.1469576869378,17.4433005369378,16.5140040469378,18.4895951515056,15.3142154015056,17.7633244815056,18.2162244115056
"St13",16.41128349,18.26220703,16.90690041,18.85830498,18.4551161550667,17.0724056950667,16.1541775450667,18.7295330750667,20.636493365,14.068384805,17.553158445,18.186187425,19.9405608858493,16.2879806258493,15.8065772758493,18.6873126658493
"Vdac2",14.70504189,18.64650726,18.79943275,20.43614578,15.0752162404054,17.3455810004054,20.1709584704054,19.9809312304054,20.9061025025,17.8722432425,18.8654130325,15.2630580225,16.8206217959494,18.2868340659494,19.3620312859494,18.3816359759494
"Olfr112;Olfr113",20.31930733,19.39199829,13.92507267,19.04348755,20.6838284566142,16.5916806266142,14.2989512466142,20.6023388866142,21.8591360020513,13.8198121920513,21.7623151720513,15.1281322420513,16.8549389681481,14.8848137681481,20.3797764581481,20.0505032381481
"Prps1;Prps2;Prps1l3;Prps1l1",16.50741959,18.12082672,17.3318367,17.66083336,17.890470374084,16.438253274084,18.386291374084,16.986985084084,18.5389309647498,16.7703028447498,17.8123608347498,16.5356465147498,18.7768367200769,14.8540662200769,18.9387629900769,16.7527965000769
"Pabpn1",17.59840393,19.77555275,14.08069897,20.6794548,15.9399578894726,15.9466889294726,16.6832831294726,23.3087179994726,20.5196950131522,15.1708447631522,19.1699559431522,17.1674172631522,20.6327858568,14.1295910468,20.6609783768,16.3380852368
"Rps28",17.0788269,19.81820869,18.50604057,20.3797493,19.0940138679727,16.9618250679727,19.2747084479727,20.2170893579727,21.6479829893529,16.8749946693529,19.6103033193529,17.8034452593529,20.482025757749,15.633339547749,20.974562307749,18.331974647749
"Bicc1",19.24550819,20.9977932,21.14879036,20.3423214,19.1571638964228,20.7932246164228,20.4456522864228,21.1766150364228,21.5732057016159,18.1829469216159,21.7986161716159,20.0330846316159,23.5262755882492,16.4751977482492,17.9825486682492,23.4244269882492
"Ctsa",13.62135315,20.20822716,18.78663063,20.40371513,16.1103246827598,19.0134370927598,18.2545602927598,19.9155500527598,20.227838195,17.374599135,18.925275485,17.158082645,19.2798005586232,18.2862016186232,20.0741940986232,16.0971900486232
"gag-pro-pol;gag-pol;gag",25.34341431,20.86151505,23.99642944,19.30489922,22.1736321581642,22.8592820281642,22.0574193181642,22.8177209081642,22.157336053414,24.631413273414,22.145710763414,21.000450903414,25.88812309624,22.14753967624,21.16829163624,20.54626328624
"Hnrnpl",16.49490738,19.97382736,18.262743,19.533041,21.1900207413886,15.0755493113886,17.7892238513886,19.6758987313886,20.7095488593481,17.9463461893481,18.6995905893481,17.345327289348,15.993686117069,18.577473077069,20.054096617069,19.545240797069
"Esd",17.86001968,20.03901863,17.64144707,21.22854614,20.6026905004187,15.2433212204187,18.6871250104187,21.3444755504187,21.2095500972955,17.2889511172955,19.6363231672955,18.6375991872955,18.3541110753473,18.0903171353473,19.0680011553473,21.2297080753473
"Srsf1",14.79181194,18.43459892,16.45373535,19.22092628,17.0062784778165,15.2886652578165,16.5999683978165,19.8133349078165,20.1077469730089,15.4350022230088,19.4799069230089,14.0845211830088,18.572780723988,16.647597433988,17.465674523988,16.507304313988
"Rpl10;Rpl10l",18.7517128,19.29288483,16.90999794,20.22136688,20.4873765548471,16.0641006048471,19.3654492948471,18.9952138448471,23.5542626081461,16.6817822081461,19.2294535281461,16.1235136681461,20.4888200578333,15.9466972178333,20.6889371678333,17.8082265678333
"Adssl1",13.85478497,16.62260246,16.42915344,18.69906807,16.4112602178608,16.4647584778608,15.6700616778608,17.0999036678608,18.4663789673962,15.8041809073962,17.2156045873962,14.5341918873962,17.5607224121795,16.4562454821795,15.7928896521795,16.2454558021795
"Bsg",17.61790657,15.10537338,22.21165848,16.4442749,16.1527457166164,18.7836699366164,17.7353987566164,18.3262877366164,18.1567597274709,18.7038311874709,16.0526423374709,18.0780720574709,17.2177632536364,16.4713805436364,20.6433461436364,16.5563634136364
"Prdx6",16.07587814,19.15345955,17.74300194,19.86705017,16.6991947519551,17.5663746219551,18.8281944619551,19.6838367819551,21.0569182690706,16.5190392790706,18.3194152190706,17.3203555390706,18.2208431891254,17.8996647491254,19.4464157691254,17.1798866891254
"Prdx4",19.61887741,21.1187973,19.9730072,22.28298759,19.2599197542823,20.8042064742823,20.4741302642823,22.5064407442823,22.6934403947333,18.7790288547333,21.5210408747333,20.0046968047333,23.9114914411475,18.3587055711475,19.1085129311475,21.9050770311475
"Sdcbp",20.35972404,21.54161453,23.21479034,14.21834564,17.8619795052881,22.2928304952881,21.8243189152881,17.5879450052881,17.1282927920248,23.9307906620248,18.1541354620248,20.4589774620248,19.8554318514169,22.1387322514169,19.2020562214169,18.4327920014169
