"","F-Value","FDR (BH)","LPS-Control","diff LPS-Control"
"Coro1a",2.14813896544184,0.989572428847272,0.193096241554449,-0.867928982499997
"Rbm3",0.0091150562757012,0.989572428847272,0.927048120057256,0.168464902499998
"Hprt1;Hprt",1.16998402213618,0.989572428847272,0.320949868860981,1.72330761
"H2-K1",2.01644292002451,0.989572428847272,0.205414566205311,1.17712950750001
"Saa3",4.79266866993409,0.989572428847272,0.0711515947875707,3.3170623775
"Aldoc",1.18034557487365,0.989572428847272,0.318993767492102,1.73292923
"Aldoa",0.659127934762877,0.989572428847272,0.447871294412826,0.986145497499997
"Got1",1.91815573462565,0.989572428847272,0.215357488288531,2.59574699
"Tuba1b",5.62413863305443,0.989572428847272,0.0554051076795743,-0.901433944999994
"Ptprc",1.61032923509882,0.989572428847272,0.251449123484789,1.3170471175
"Plau",2.35191630283779,0.989572428847272,0.176022836828355,2.88435793
"Anxa2",1.35034710612791,0.989572428847272,0.289347035894533,1.8129167525
"Hsp90aa1",0.0903593066658985,0.989572428847272,0.773864579720565,-0.143827434999999
"Aprt",0.53268483476982,0.989572428847272,0.492978633976852,-0.495952132500001
"Hsp90b1",0.316590281981449,0.989572428847272,0.59404765444198,0.764916897500001
"Apoe",5.75092369921736,0.989572428847272,0.053432425610829,-1.2280964875
"Mdh2",1.69974054695363,0.989572428847272,0.24010640163796,2.07452941
"Gnai2",0.253246153091627,0.989572428847272,0.632734903661916,0.368033409999995
"Itgb1",0.357279133075651,0.989572428847272,0.5718754249259,-0.850055934999993
"P4hb",0.721485922515571,0.989572428847272,0.428241136060992,1.82772708
"Ncl",0.173135630192533,0.989572428847272,0.691813221326068,-0.721769815000002
"Pgk1",0.0780442094415878,0.989572428847272,0.789345633087532,0.1929941175
"H2afv;H2afz",62.3332282025768,0.11711367106387,0.000218904058063309,-1.55802417
"Calm1;Calml3",1.27614366043931,0.989572428847272,0.301746406828846,1.18617344
"Eef1a1",0.618783953144877,0.989572428847272,0.461429681645164,-0.360511302499994
"Ctsb",1.90454940297948,0.989572428847272,0.216788424903253,1.2167401325
"Txn",0.045935702582493,0.989572428847272,0.837391082824769,-0.298010112499995
"Gstm1",1.98524320900673,0.989572428847272,0.208497792773208,1.837204935
"Slc3a2",2.94432974240785,0.989572428847272,0.136997292732854,1.2027626075
"Lpl",6.56000419206469,0.989572428847272,0.0428364980343858,-1.80061531
"Hsp90ab1",0.0638967131851966,0.989572428847272,0.808877095182254,-0.102509022500001
"Itgb2",0.00419857757371554,0.989572428847272,0.950441018314804,0.0526018150000027
"Tcp1",10.9740499675693,0.989572428847272,0.0161501598859838,-1.746803285
"Cox5a",0.536989311139993,0.989572428847272,0.491307873212819,1.1330144425
"Rpl7a",1.1433079580413,0.989572428847272,0.326072343338095,-1.14333701249999
"Rpl27a",1.1795746322693,0.989572428847272,0.319138673475118,-0.8611440675
"Rps16",1.80439037457157,0.989572428847272,0.227758907552919,-0.637928965
"Rpl7",3.13749751294975,0.989572428847272,0.126895803292201,-1.14673518999999
"Mdh1",0.0359439526997478,0.989572428847272,0.855882371780472,-0.292845724999999
"Calr",0.074500164541299,0.989572428847272,0.794045028575359,0.393161775000003
"Anxa6",0.0167214994347534,0.989572428847272,0.901337026542614,-0.139025924999999
"Rplp0",2.17758681340838,0.989572428847272,0.190486937584525,-1.4455513925
"Hmox1",1.22519007242375,0.989572428847272,0.310736431545964,1.6055052275
"Hist1h1c",0.271249039268551,0.989572428847272,0.621148879534578,-0.643156767500003
"Lgals1",0.00157214224837379,0.992582192209888,0.969658375346621,-0.051517484999998
"Lgals3",0.312544103405179,0.989572428847272,0.596356599951819,0.777438875000001
"Eno1",0.020395673482184,0.989572428847272,0.891112804592853,-0.0863065699999979
"Ptbp1",0.971772617570443,0.989572428847272,0.362306641658958,1.6165244575
"Gba",0.000181337124922337,0.995699764956928,0.989692491612128,-0.00948333750000074
"Ppia",0.0131698178026716,0.989572428847272,0.912379594662206,0.110363962500003
"Tpi1",0.380725122337862,0.989572428847272,0.559885878107351,0.669483662499999
"Pcna",2.97327354561891,0.989572428847272,0.13541402540322,-1.18450641499999
"Ctsd",1.06085971069743,0.989572428847272,0.342737841206562,1.1896357525
"Cfl1",0.136835291107359,0.989572428847272,0.724153346883543,0.326897620000004
"Gstp1;Gstp2",0.883267803371494,0.989572428847272,0.383585845830926,1.20183324750001
"Rpl13a",1.4868202645644,0.989572428847272,0.268465827810169,-0.981453177500001
