"","F-Value","Pr(>F)","IL10-Control","LPS-Control","TGFB-Control","LPS-IL10","TGFB-IL10","TGFB-LPS","diff IL10-Control","diff LPS-Control","diff TGFB-Control","diff LPS-IL10","diff TGFB-IL10","diff TGFB-LPS"
"Rpl23a",0.598385349689202,0.628186500129872,0.937489498254321,0.99857705122662,0.880688991432192,0.973987472139161,0.573186817808915,0.809174950518059,0.815727472500004,0.220674035000005,-1.043217185,-0.595053437499999,-1.8589446575,-1.26389122
"Rps6",6.54996962759965,0.00715340726846895,0.013703598257315,0.868851642256286,0.034375398570462,0.0520560624085036,0.951344743316806,0.125777586279324,-3.6481010925,-0.751605035000001,-3.131669285,2.8964960575,0.516431807499998,-2.38006425
"Mtpn",0.238499294051378,0.867820835926548,0.896963502141159,0.979216743543942,0.873809781533126,0.989439331744961,0.99992770314987,0.982638747977216,-0.617969512499997,-0.345016002499996,-0.669072149999998,0.272953510000001,-0.0511026375000014,-0.324056147500002
"Hist1h4a",5.22107921114936,0.0154735150442558,0.0758591683024865,0.51387511055106,0.0133920425173574,0.574448214731732,0.753492098148056,0.150738399189253,-1.39479827749999,-0.724490164999995,-1.90551852999999,0.670308112499999,-0.510720252500001,-1.181028365
"Ran;1700009N14Rik;Rasl2-9",5.70595256887072,0.0115460500490007,0.017545692197766,0.269882589020088,0.0186346242983937,0.391019125975439,0.999984569879874,0.408190983873699,-1.788507465,-0.963229179999995,-1.77129554999999,0.825278285,0.0172119150000007,-0.808066369999999
"Rpl23",0.173712144380995,0.912116763519731,0.999702066338438,0.999104408867412,0.912136753186131,0.999973608821617,0.941505640536674,0.952490668354967,-0.0897760400000003,-0.129753115,-0.636474132500002,-0.0399770749999995,-0.546698092500002,-0.506721017500002
"Rps26",2.29292442346255,0.130044179350562,0.751028992416671,0.385805020433687,0.1037159651913,0.911770291954162,0.447940757351026,0.814718860462547,-1.02501011,-1.69482708,-2.5955514925,-0.669816969999999,-1.5705413825,-0.900724412500001
"Gnb1",0.932298471668801,0.4551149620839,0.612920067934383,0.591224312984324,0.99807438356359,0.999980367890136,0.712661274527353,0.691435680412086,1.16805816,1.20301557,0.161928895000003,0.0349574100000005,-1.006129265,-1.041086675
"Gnb2",1.56954745795991,0.248002155893421,0.904863036367437,0.680617449322095,0.846963270993832,0.319256268944082,0.99897819691276,0.262784266450519,-0.492048740000001,0.822700502500002,-0.593753809999999,1.3147492425,-0.101705069999998,-1.4164543125
"Rpl31",0.749968670270589,0.543071112282616,0.484881978931123,0.958955866069223,0.947444663514267,0.766574058989577,0.79102217090675,0.999962309357342,1.6472771175,0.5543403625,0.606265785000002,-1.092936755,-1.0410113325,0.0519254225000019
