"","F-Value","Pr(>F)","2-1","3-1","4-1","3-2","4-2","4-3","diff 2-1","diff 3-1","diff 4-1","diff 3-2","diff 4-2","diff 4-3"
"Cnih4",0.96099915221818,0.442628743689753,0.946777420228045,0.932886303374224,0.386232980593009,0.999956894809106,0.688281289270044,0.715869320869924,-0.554191592500004,-0.603602410000004,-1.691812755,-0.0494108175000001,-1.1376211625,-1.088210345
"Rab3gap2",0.243498674133152,0.864340065266308,0.933991896113859,0.953602330260508,0.839593747931432,0.999862995146655,0.994745022577322,0.988818292822965,0.136983875,0.120387794999999,0.1934204125,-0.0165960800000011,0.0564365374999998,0.0730326175000009
"Rcor3;Rcor1",0.691745998656103,0.574449996871501,0.876840302342984,0.629924371690273,0.596100101676041,0.964478174279646,0.950897266273334,0.999925859404263,0.403423310000001,0.657203197500001,0.688576937500001,0.2537798875,0.2851536275,0.0313737399999994
"Fnbp1",1.81047445641645,0.198865621451531,0.57236810478632,0.999960753788354,0.272012178525049,0.599622384836759,0.929080014040293,0.29059162550595,1.2964074625,0.046288015,1.891938685,-1.2501194475,0.5955312225,1.84565067
"Atp6v1h",17.6597181643159,0.000106718512577752,7.83816888999533e-05,0.0368102417944531,0.394647993250691,0.0115310821386668,0.000912470550244793,0.463918980384059,1.33646106499999,0.604506492499997,0.315074919999997,-0.731954572499998,-1.021386145,-0.2894315725
"Fpgs",1.64981339243493,0.230270069158304,0.729637678870455,0.999961659613444,0.276716412513295,0.755331961505193,0.823287542105404,0.295378694365792,-1.828979015,-0.0817422874999991,-3.34595227,1.7472367275,-1.516973255,-3.2642099825
"Osbpl9",1.42879941321442,0.282859458199356,0.220794179604823,0.748776745751411,0.828657555046265,0.722762545652552,0.634035304926495,0.998620421638145,1.7674643975,0.863651752500004,0.731403825000003,-0.903812644999999,-1.0360605725,-0.132247927500002
"Cept1",0.083786846744347,0.967587228080401,0.998730078919001,0.999765952078413,0.964500336070596,0.999896548280475,0.988204888205641,0.979882303840701,-0.132542847500002,-0.0752491950000014,-0.414587977500002,0.0572936525000003,-0.28204513,-0.3393387825
"Vamp4",3.53871174398675,0.0482360809684559,0.984616826150033,0.309676778056118,0.141394410883392,0.185923470400153,0.0795201899648923,0.951638439372419,0.283578154999997,-1.4793574825,-1.90444684,-1.7629356375,-2.188024995,-0.425089357499999
"Kpna4",0.915416324816928,0.462626161033985,0.987716429380011,0.715063373701096,0.977399951335855,0.528096773189802,0.999831583480357,0.485418310868972,-0.133309845000007,0.439737317499993,-0.164732460000007,0.5730471625,-0.0314226150000003,-0.6044697775
"Rps27;Rps27l",1.04097702487949,0.409658291766285,0.997625908023861,0.680800311609843,0.654215736097183,0.57317483272021,0.546719332669341,0.999963227471313,-0.0572252274999947,0.348595142500002,0.362788677500003,0.405820369999997,0.420013904999998,0.0141935350000004
"Ube2d3;Ube2d2",2.2227799732867,0.138126036929968,0.35905179663762,0.891345315872594,0.995991861621899,0.12527134221263,0.265336521359992,0.960090001263808,-0.928084612499998,0.384461402500001,0.119596480000002,1.312546015,1.0476810925,-0.264864922499999
"Fdps",1.69587098221053,0.220734814957911,0.306024731976349,0.759181666220123,0.999129980573667,0.832232592540935,0.253990118911908,0.685084683042043,0.564175607499994,0.304025649999993,-0.0406537075000095,-0.260149957500001,-0.604829315000003,-0.344679357500002
"Rbm8a",0.94254866132412,0.450614937704295,0.560891166991128,0.734350174049201,0.439938295292668,0.990080337468598,0.996145789521306,0.953055786629578,-1.00518584,-0.778570889999996,-1.16945696,0.22661495,-0.16427112,-0.390886070000001
"Sh3glb1",3.32389191632775,0.0566555405101274,0.0591799721232671,0.569114421059343,0.117021072073736,0.439350768683657,0.976329513081203,0.669828624360021,1.9334325775,0.888189317500006,1.65986228,-1.04524326,-0.273570297500001,0.771672962499999
"Snx27",0.397978291037914,0.756921348159889,0.988998373655194,0.874474241431316,0.999209643848826,0.71754342964243,0.970448550975669,0.922628091877228,-0.190313814999996,0.459032300000004,0.0781343000000021,0.649346115,0.268448114999998,-0.380898000000002
"Fubp1",2.15909670696466,0.145960532770504,0.919747754623235,0.353238037131156,0.884852949639612,0.699820468586818,0.546637821981268,0.119550327375032,-0.214102507500009,-0.584681990000007,0.245974064999992,-0.370579482499998,0.4600765725,0.830656054999999
"Dhx15",1.22499989187791,0.343200530687999,0.818707063473442,0.844167414028129,0.888380652907312,0.368912696161677,0.419657637456036,0.999593087496174,0.495344160000002,-0.4651489275,-0.407043697499997,-0.960493087500002,-0.902387857499999,0.0581052300000025
"S100a4",1.75359048832106,0.209401596600966,0.547950408966004,0.490487323379591,0.980126701524054,0.999599531891583,0.347668884138999,0.302986698177101,-0.861544132500001,-0.926263335000002,0.242854594999997,-0.064719202500001,1.1043987275,1.16911793
"Nub1",0.0309470242494602,0.992288746341088,0.999298527054618,0.99993700619634,0.997922126684046,0.997891165113857,0.990160119799961,0.999313472404318,-0.041802407499997,0.0186843850000002,0.0601863850000015,0.0604867924999972,0.101988792499998,0.0415020000000013
"Eif4e",3.62400809058649,0.0453002928017383,0.464985860269754,0.845946217967109,0.386422828661256,0.14783705953097,0.0358796650878865,0.834379848353919,0.383776665000003,-0.208140852499998,-0.422580717499997,-0.591917517500001,-0.8063573825,-0.214439864999999
"Stap1",13.7652236466942,0.000343215130436857,0.99967703945416,0.0110703354649569,0.103872554183515,0.0130642603087046,0.0887288197915477,0.000180865399524222,0.0404038425,1.6337771425,-1.0817818625,1.5933733,-1.122185705,-2.715559005
"Trpv6",2.5035004820162,0.108836080310434,0.564720646918443,0.124720742063038,0.155792776653463,0.696747831322451,0.773800902997998,0.998987769765319,-2.82540584,-5.16653657,-4.870660545,-2.34113073,-2.045254705,0.295876025
"Ociad1",1.66500561360497,0.227075036944012,0.639183116234031,0.771359845863548,0.98231563343703,0.188772875052835,0.432336356834731,0.930766400034427,-1.08219576,0.8711137775,0.331280470000003,1.9533095375,1.41347623,-0.539833307499997
"Nup205",0.480538649819921,0.701861666763743,0.999809249185624,0.936553592633683,0.778262991633105,0.910604761655769,0.735065308393688,0.981460736746027,0.0417404175000016,-0.303988934999996,-0.499871492499995,-0.345729352499998,-0.541611909999997,-0.195882557499999
