X,BV2_control_1_cell,BV2_TGFB_1_cell,BV2_IL10_1_cell,BV2_LPS_1_cell,BV2_control_2_cell,BV2_TGFB_2_cell,BV2_IL10_2_cell,BV2_LPS_2_cell,BV2_control_3_cell,BV2_TGFB_3_cell,BV2_IL10_3_cell,BV2_LPS_3_cell,BV2_control_4_cell,BV2_TGFB_4_cell,BV2_IL10_4_cell,BV2_LPS_4_cell
Mlkl,14.81388092,14.30477905,15.89261436,14.97763729,15.16788864,13.93591595,15.05786514,16.83331108,15.37109566,13.89897919,14.73883152,14.8711834,13.88363075,13.45149612,14.67959023,15.34075451
Arpc5l,17.79112434,18.46407509,16.38073158,17.23790169,17.51714706,17.70069695,16.42646217,17.24933624,17.33201981,18.16270638,15.83624744,17.18301582,16.38103676,17.42168617,17.48313904,17.50183678
Bola1,16.99369049,15.3464098,15.93962479,15.55008507,16.59621811,15.76375675,16.81190109,16.26537704,16.2325325,15.75533104,17.315485,15.86911201,15.61059189,15.45085716,16.38221931,15.08194065
Tnfaip8l2,16.91601944,16.34528351,17.41038513,17.06949234,14.18701363,16.52990341,17.74057198,17.29374123,16.6497612,16.06111717,18.22307777,17.22175789,16.89876747,16.05830956,18.04035378,16.31628227
Pelp1,15.40773201,16.45064735,15.12662411,16.03045082,15.30096054,16.25410652,14.96763134,15.46935558,16.15131378,16.47224617,15.23881531,16.70549774,16.71772957,16.17119598,15.50028133,16.15161133
Cyb5r3,18.76623154,19.61266708,19.70514297,19.52420425,18.91301155,19.43928719,19.23582268,20.58453751,19.10584641,19.54447746,20.55758667,19.80440521,18.71551895,19.54296684,19.06270981,20.2609787
Mvp,17.93554497,16.96792412,18.93292427,18.80063438,18.09969711,17.11532784,18.9891777,18.77323532,18.51310349,17.41930199,19.30418587,17.89486504,17.70920563,18.06980705,18.64089394,18.05896378
Ranbp2,17.3415184,13.1776638,16.31511497,14.73638916,17.16054153,14.2103014,16.32249069,15.68269253,16.87998962,13.65602303,18.31893158,17.11827278,17.63325119,13.65391445,16.03264809,16.40440941
Dpp7,18.14095879,17.65885353,18.0231266,17.74116325,18.33411598,18.96519279,16.95877838,16.83725929,17.68572044,19.30650139,18.26741791,16.98670959,17.54343987,18.43916512,18.36033249,17.49201012
Ybx3;Igf2bp3,18.70826149,17.23696709,16.95162582,17.2964325,18.30407524,16.97387695,14.6109848,17.91508484,17.78698349,17.02658844,13.59420776,16.6068821,17.75987434,17.30483246,17.3368206,18.22778511
Txnrd1,18.13280106,16.67576408,17.34611511,18.65536308,18.07080269,17.91368484,17.72167397,18.63204384,17.11105347,17.39665413,17.70238876,17.94649506,16.79449272,16.73092079,17.02345085,18.66507912
Tex101,17.67079544,16.35576439,17.02160835,16.08349991,16.85963249,16.35655594,16.45259476,15.39653778,16.99236298,17.17523766,15.04763508,15.94246864,16.16733932,17.90065384,16.15766335,14.76756382
Psmb3,16.49410629,17.52871323,16.44737434,17.02019882,16.34903908,17.35569572,16.67658997,17.53556442,16.91181374,17.47191238,16.69111633,17.74333572,16.71826553,16.71129036,17.22637367,17.00810051
Psmb2,17.23687363,17.40216255,18.03343391,17.30135345,17.01378059,16.34432983,18.4757576,17.29750824,17.3282547,16.30737877,18.68712234,16.40234566,16.33149338,17.33507538,17.96572876,17.71960258
Ctsz,20.417099,21.12515068,20.07718086,20.45241737,20.2676239,20.56485939,19.34927177,19.75477982,19.8935318,20.65018272,18.78593063,20.06552696,20.50552559,20.17937469,19.63147545,20.65848732
Timm8a1,17.24432755,16.44887543,16.90736008,16.85708237,17.46019936,16.51862335,17.33000565,17.16172218,17.2683773,16.57089424,17.74937248,17.60255432,16.89379883,16.66483688,16.55190277,17.03316498
Tagln2,19.82489967,19.68698692,20.75515556,21.02843666,19.87264442,20.33854103,20.33057594,20.67908478,19.94349289,20.17389679,21.04693413,21.05384445,20.50784874,19.94535255,20.41946602,20.76011848
