"","Geneid","control.cells_1","control.cells_2","control.cells_3","TGFB.cells_1","TGFB.cells_2","TGFB.cells_3"
"Arhgap12","Arhgap12",852,1196,882,1450,853,1872
"Phf8","Phf8",3397,3807,3814,2154,1664,2404
"Ublcp1","Ublcp1",699,631,586,638,626,821
"Chd7","Chd7",989,985,1036,1588,1056,1519
"Vps41","Vps41",2313,2790,2497,3562,2768,3635
"Rbbp8","Rbbp8",378,581,497,424,292,560
"Mul1","Mul1",871,1169,991,939,902,1010
"Zfp236","Zfp236",250,229,222,302,140,221
"Rusc1","Rusc1",118,114,124,157,101,162
"Uspl1","Uspl1",2159,2654,2710,2346,1806,2199
"Dmxl2","Dmxl2",892,1037,1122,2335,1689,2029
"Ttc1","Ttc1",1137,1211,1231,1090,867,1187
"Cdk13","Cdk13",129,168,181,188,75,73
"Katnal1","Katnal1",289,199,323,374,328,406
"Gtf3c3","Gtf3c3",1383,1508,1665,2109,1486,2255
"Sntb2","Sntb2",2509,2395,2744,1612,1002,1361
"Slc7a1","Slc7a1",3437,3366,3869,2011,1891,1937
"Thoc6","Thoc6",550,778,657,655,595,656
"Pcf11","Pcf11",254,424,275,337,257,573
"Atg2b","Atg2b",3184,3783,3360,4167,2687,4596
"Ankrd42","Ankrd42",31,38,33,51,34,35
"Wrap53","Wrap53",343,447,344,324,251,404
"Tmem29","Tmem29",76,108,60,72,71,104
"Rgl2","Rgl2",1762,2218,1908,1998,1575,2460
"Ssr2","Ssr2",4303,4888,4443,4586,4158,5211
"Pum3","Pum3",3369,3975,3861,3327,2130,3800
"Myzap","Myzap",22,22,29,27,25,50
"Shtn1","Shtn1",2049,2049,1948,1788,1262,2265
"Ccdc9","Ccdc9",1048,1448,1350,990,808,1001
"Mdfic","Mdfic",1535,1521,1814,1928,1379,1965
"Mettl18","Mettl18",100,95,107,138,78,139
"BC055324","BC055324",420,455,462,577,332,762
"Wapl","Wapl",2067,2370,2398,2677,1984,3388
"Dicer1","Dicer1",875,983,1066,1321,557,839
"Pik3r1","Pik3r1",710,649,727,1513,1007,1691
"Meis3","Meis3",1181,1441,1194,1655,1435,1850
"Hibch","Hibch",560,626,567,622,416,722
"Nthl1","Nthl1",314,324,287,325,283,302
"Ccnb1","Ccnb1",4206,5751,4006,4911,3938,7146
"Utp4","Utp4",5172,5865,5095,4623,4100,5094
"Mfsd6","Mfsd6",955,1081,1301,1666,1169,1915
"Gk5","Gk5",233,280,389,404,301,536
"Rpl21","Rpl21",4625,5430,4671,5172,4504,5388
"Tardbp","Tardbp",1178,1445,1270,1567,1076,2310
"Cacna2d4","Cacna2d4",7,6,7,1,5,1
"Shld2","Shld2",107,162,187,137,122,181
"Dcp1b","Dcp1b",195,233,258,151,180,186
"Syt15","Syt15",0,0,6,0,0,0
"Serpina3g","Serpina3g",0,0,0,0,0,1
"Piezo2","Piezo2",0,0,0,0,1,0
"Zfp281","Zfp281",688,800,794,1344,1005,1680
"Stx3","Stx3",3701,3595,3708,3147,2365,3268
"Cep78","Cep78",462,516,680,690,556,876
"Kif14","Kif14",53,98,39,46,67,121
"Rrp9","Rrp9",1355,1563,1406,1016,913,1100
"Irf8","Irf8",7298,9125,8482,9327,8239,9857
"Rnf123","Rnf123",1560,2197,1664,1653,1284,1736
"Ago1","Ago1",276,220,283,309,363,535
"Disp3","Disp3",301,336,330,61,71,84
"Ptchd1","Ptchd1",185,208,189,150,55,190
"Nop53","Nop53",3213,3988,3611,3570,3195,3377
"Serpina12","Serpina12",11,24,10,174,172,233
"Camsap2","Camsap2",703,1025,805,1538,1103,1720
"Selenow","Selenow",384,461,500,472,473,441
"Sdk2","Sdk2",224,211,274,49,29,37
"Tmtc4","Tmtc4",108,180,135,171,117,238
"Cdc42ep4","Cdc42ep4",1859,2340,2054,1500,1316,1439
"Mbp","Mbp",52,47,48,28,29,46
"Bicdl1","Bicdl1",93,96,92,81,58,157
"D11Wsu47e","D11Wsu47e",534,558,622,499,456,583
"Ggact","Ggact",190,222,158,272,237,359
"Fam104a","Fam104a",694,871,905,818,641,716
"Mrps27","Mrps27",1012,1278,991,1121,973,1309
"Gcn1l1","Gcn1l1",5692,6508,6524,5883,4614,5578
"Kif21b","Kif21b",2736,3508,3244,3018,2246,3108
"Ddx24","Ddx24",5211,6293,5566,5190,4182,5773
"Pcca","Pcca",1004,1225,1060,1344,1100,1570
"Slc39a11","Slc39a11",3130,3688,3673,3073,2413,3240
"Pyroxd1","Pyroxd1",96,88,76,86,84,77
"Lrrc29","Lrrc29",68,137,96,191,227,161
"Bivm","Bivm",573,599,640,680,476,724
"Fcho2","Fcho2",784,1202,1150,1862,1327,2437
"Kcnj2","Kcnj2",162,194,183,473,387,638
"Cox6a1","Cox6a1",9518,10754,9435,10414,9888,10308
"Btbd7","Btbd7",421,457,416,575,366,715
"Zic5","Zic5",18,36,41,47,22,18
"Tmem273","Tmem273",529,664,509,967,854,1203
"Ubr7","Ubr7",2069,2468,2353,3424,2445,3321
"Gm20604","Gm20604",55,81,92,69,73,71
"Alg13","Alg13",330,445,334,484,312,486
"Pi4ka","Pi4ka",4354,4794,4421,4740,3651,4885
"Coro2b","Coro2b",36,78,34,16,9,6
"Coq5","Coq5",1439,1859,1827,1383,1137,1620
"Kirrel","Kirrel",10,6,0,0,0,5
"Tspo","Tspo",3076,4184,2948,3984,3655,5334
"Rnf10","Rnf10",4860,5624,5418,4500,4399,4909
"Utp15","Utp15",3566,4204,4249,4533,3349,4632
"Trem3","Trem3",13,18,2,6,7,7
"Plekha6","Plekha6",45,55,65,61,66,76
"Gpr155","Gpr155",139,143,151,553,379,715
"Tpp2","Tpp2",3951,4825,4605,6355,4073,7756
"Ubac2","Ubac2",929,1186,1122,1340,1014,1378
"Ppp2r2d","Ppp2r2d",449,592,458,631,245,269
"Enc1","Enc1",167,197,208,498,366,481
"Ydjc","Ydjc",257,435,307,258,235,377
"Mapk1ip1","Mapk1ip1",216,216,175,302,210,257
"Cir1","Cir1",147,262,159,166,190,286
"Tram2","Tram2",476,544,483,529,337,546
"Cpsf2","Cpsf2",1635,1970,1801,2161,1574,2210
"Abca9","Abca9",913,1026,991,1065,637,1605
"Phlda3","Phlda3",1495,2013,1787,4405,4314,3425
"Poldip3","Poldip3",6431,7434,7299,5928,5176,6536
"Fam169a","Fam169a",0,0,0,0,0,1
"Oasl1","Oasl1",967,1322,909,240,218,309
"Ptpre","Ptpre",1501,1809,1763,3081,2057,3367
"Pdcd7","Pdcd7",436,366,403,415,180,210
"Haus1","Haus1",332,494,356,518,356,552
"Rpl37","Rpl37",5535,5990,5319,6291,5058,6534
"Ppp4r3a","Ppp4r3a",1011,1223,1397,1444,941,1828
"Card6","Card6",269,310,214,638,495,626
"Tcf20","Tcf20",184,259,164,230,112,265
"Mcm3","Mcm3",3931,5509,4381,5319,4685,7164
"Ankrd13a","Ankrd13a",4019,5206,4482,4183,1755,2299
"Ipo9","Ipo9",5222,6297,5889,6363,5273,7007
"Ndufa7","Ndufa7",4322,4981,4235,4492,4086,4492
"Git2","Git2",1241,1454,1358,1524,1193,1617
"Lman1","Lman1",1772,2012,1964,2174,1805,2674
"Wipi1","Wipi1",13,24,37,62,29,60
"Tdrkh","Tdrkh",1325,1572,1323,1271,1089,1804
"Ammecr1l","Ammecr1l",825,840,923,941,618,820
"Slc16a6","Slc16a6",304,332,306,282,285,498
"Metap1d","Metap1d",718,731,760,952,745,939
"Rnpep","Rnpep",3485,4654,3529,4798,4162,6412
"AW549877","AW549877",1150,1038,1277,1553,1316,1742
"Agrn","Agrn",128,162,201,214,240,235
"Mvk","Mvk",331,446,312,343,313,433
"Mfsd9","Mfsd9",71,99,74,129,81,136
"Tango6","Tango6",404,672,530,453,448,468
"Pkp2","Pkp2",971,1065,925,1534,1256,1958
"Pigs","Pigs",3062,3495,3480,3979,3378,3742
"S100a10","S100a10",5977,7166,5797,4332,3596,5665
"Znrf3","Znrf3",36,18,46,81,107,79
"Dcaf17","Dcaf17",636,796,773,779,511,908
"Spidr","Spidr",734,752,749,810,709,1145
"Mettl8","Mettl8",445,529,485,658,458,789
"Arhgef11","Arhgef11",2720,3209,3168,3586,2823,3649
"Rapgef5","Rapgef5",1374,1470,1652,833,427,593
"Zbed3","Zbed3",634,789,792,728,702,834
"Tlk1","Tlk1",704,787,745,1552,831,1117
"Acacb","Acacb",1,5,3,8,5,13
"Wdr41","Wdr41",1601,1655,1900,2174,1639,2307
