"","Geneid","control.cells_1","control.cells_2","control.cells_3","TGFB.cells_1","TGFB.cells_2","TGFB.cells_3"
"Tsta3","Tsta3",2544,3325,2891,2312,2305,2652
"Pycrl","Pycrl",832,1239,923,941,804,963
"Gsdmd","Gsdmd",2014,2540,2001,1919,1718,2131
"Ly6e","Ly6e",9610,12705,10371,10805,8545,12310
"Zbtb11","Zbtb11",625,639,600,879,648,987
"Arc","Arc",51,25,34,68,34,64
"Cep97","Cep97",69,47,69,119,61,98
"Ptk2","Ptk2",657,912,753,759,547,838
"Lmf2","Lmf2",1231,1674,1469,1643,1177,1880
"Tymp","Tymp",25,52,47,64,49,56
"Mapk8ip2","Mapk8ip2",0,0,0,0,0,0
"Arsa","Arsa",1937,2182,2168,2812,2087,2466
"Rabl2","Rabl2",241,263,233,284,206,340
"Kif21a","Kif21a",0,0,3,7,0,2
"Yaf2","Yaf2",580,747,696,924,485,647
"Zcrb1","Zcrb1",756,940,948,887,769,1114
"Alcam","Alcam",5600,5850,6200,2282,1637,2792
"Cblb","Cblb",557,506,710,707,584,827
"Dubr","Dubr",156,257,296,173,111,154
"Bbx","Bbx",1444,1980,1917,2027,1372,2503
"Nectin3","Nectin3",0,0,0,0,0,0
"Tagln3","Tagln3",0,0,0,0,0,0
"Atg3","Atg3",1050,1338,1163,1136,945,1422
"Slc35a5","Slc35a5",531,663,624,1162,772,1149
"Gtpbp8","Gtpbp8",654,705,742,534,393,605
"Mzt2","Mzt2",357,380,392,422,316,407
"Prkdc","Prkdc",419,412,515,717,406,730
"Mcm4","Mcm4",1441,1939,1495,2140,1572,3320
"Ube2v2","Ube2v2",220,209,161,167,142,368
"Fopnl","Fopnl",634,713,701,781,641,917
"Nde1","Nde1",677,886,832,775,544,986
"Mpv17l","Mpv17l",126,129,138,158,109,211
"Pdxdc1","Pdxdc1",3075,3335,3416,3706,3152,4191
"Ntan1","Ntan1",389,480,480,455,427,489
"Rrn3","Rrn3",1656,1950,2044,1543,1312,1809
"Bfar","Bfar",658,770,670,608,549,869
"Parn","Parn",1705,1965,1803,2108,1868,1981
"Naa50","Naa50",2150,2697,2402,3042,2464,3949
"Ccdc191","Ccdc191",115,117,104,90,67,153
"Hira","Hira",67,75,44,92,48,79
"Qtrt2","Qtrt2",119,165,151,149,138,208
"Mrpl40","Mrpl40",773,946,819,828,695,902
"Gbe1","Gbe1",2117,2903,2572,862,421,823
"Zbtb20","Zbtb20",142,256,237,296,200,350
"Usp7","Usp7",307,399,285,548,297,525
"Pmm2","Pmm2",796,852,751,702,558,863
"Dgcr8","Dgcr8",327,397,311,397,275,416
"Trmt2a","Trmt2a",2042,2642,2436,2254,1897,2908
"Arl6","Arl6",228,192,254,209,190,283
"Crybg3","Crybg3",647,858,857,1147,660,1194
"Riox2","Riox2",666,713,649,747,588,815
"Cpox","Cpox",567,687,634,736,459,758
"Cldnd1","Cldnd1",945,939,978,994,878,1170
"St3gal6","St3gal6",26,14,48,2,1,1
"Cmss1","Cmss1",245,245,227,310,213,280
"Tbc1d23","Tbc1d23",863,1201,999,1081,711,1281
"Klhl22","Klhl22",3021,3940,3275,3411,2772,3653
"Nit2","Nit2",792,1059,969,766,744,962
"Tomm70a","Tomm70a",2961,3699,3308,3182,2499,4775
"Tfg","Tfg",1706,1933,1877,2051,1645,2208
"Thap7","Thap7",628,721,635,706,612,719
"Lztr1","Lztr1",1454,1787,1533,1479,1370,1898
"Snap29","Snap29",684,721,746,926,610,1149
"Ccdc116","Ccdc116",15,24,24,20,16,21
"Sdf2l1","Sdf2l1",2319,2962,2408,3613,2824,4437
"Dlg1","Dlg1",613,674,738,754,446,856
"Ppil2","Ppil2",3205,4017,3531,3713,3137,3654
"Senp5","Senp5",750,821,1030,1059,793,1193
"Ypel1","Ypel1",1,11,7,5,1,11
"Ncbp2","Ncbp2",648,698,677,738,577,1127
"Top3b","Top3b",1025,1424,1396,1385,1188,1435
"Pak2","Pak2",1994,2288,2341,2936,1999,3361
"Wdr53","Wdr53",208,370,289,256,206,287
"Fgd4","Fgd4",241,255,235,121,143,193
"Dnm1l","Dnm1l",997,1296,1330,1548,1168,2136
"Igsf11","Igsf11",220,262,324,195,114,248
"Tnk2","Tnk2",30,42,18,36,40,50
"Yars2","Yars2",422,543,512,575,454,645
"B4galt4","B4galt4",0,8,7,2,2,4
"Tfrc","Tfrc",5357,6917,6804,5461,3703,9024
"Arhgap31","Arhgap31",1811,1673,1659,2200,1690,2545
"Fyttd1","Fyttd1",724,1129,1035,1098,702,1580
"Lrch3","Lrch3",353,346,310,489,287,439
"Lmln","Lmln",37,25,47,209,156,276
"Maats1","Maats1",0,0,0,0,0,0
"Osbpl11","Osbpl11",1191,1402,1538,1606,1330,2021
"Snx4","Snx4",1850,2165,1895,2662,1986,3105
"Zfp148","Zfp148",928,1136,1041,1480,919,1887
"Gsk3b","Gsk3b",1173,1259,1188,1698,983,1798
"Umps","Umps",880,1077,845,1323,1296,1773
"Fstl1","Fstl1",0,0,0,2,0,1
"Itgb5","Itgb5",1100,1271,1087,9292,2671,3045
"Ndufb4","Ndufb4",855,949,863,918,974,973
"Abcc5","Abcc5",2264,2719,2707,1895,1512,2334
"Rabl3","Rabl3",229,190,228,292,236,413
"Gtf2e1","Gtf2e1",552,753,666,686,557,732
"Hcls1","Hcls1",1834,2291,1815,1730,1524,1830
"Ccdc14","Ccdc14",126,157,108,284,180,258
"Mylk","Mylk",1,0,0,0,8,1
"Iqcb1","Iqcb1",271,284,276,340,227,412
"Ap2m1","Ap2m1",8887,10516,9394,8292,6996,9663
"Clcn2","Clcn2",65,38,36,24,19,26
"Pdia5","Pdia5",349,475,440,376,351,402
"Dirc2","Dirc2",578,698,715,682,452,478
"Hspbap1","Hspbap1",289,293,414,348,241,293
"Senp2","Senp2",1876,2252,2158,2841,1912,2991
"Tmem41a","Tmem41a",1122,1341,1299,1476,1160,1683
"Tra2b","Tra2b",1742,2258,1875,2367,1769,3467
"Dgkg","Dgkg",177,263,285,143,96,180
"Btg3","Btg3",205,180,128,143,57,68
"D16Ertd472e","D16Ertd472e",103,144,117,123,86,117
"Usp25","Usp25",972,1067,1184,1420,533,711
"Samsn1","Samsn1",505,546,460,479,431,638
"Rfc4","Rfc4",502,612,457,472,371,640
"Robo1","Robo1",0,0,1,0,6,2
"Eif4a2","Eif4a2",1494,1817,1774,2084,1423,2128
"St6gal1","St6gal1",1845,2306,2167,3138,2559,3194
"Mrpl39","Mrpl39",1630,1666,1587,1539,1323,1830
"Atp5j","Atp5j",3579,3802,3038,4344,3858,5220
"App","App",11607,13926,13464,13280,9684,13451
"Adamts1","Adamts1",7360,7215,8502,1745,1096,2421
"Adamts5","Adamts5",0,0,0,0,0,0
"Ets2","Ets2",964,866,902,846,660,848
"Dyrk1a","Dyrk1a",452,435,438,630,296,412
"Vps26c","Vps26c",3075,3440,3076,3768,2763,3881
"Cd86","Cd86",1341,1102,1224,1993,1445,2241
"Kpna1","Kpna1",2114,2300,2318,3166,2245,3715
"Parp9","Parp9",845,1054,954,1468,1041,1715
"Arl13b","Arl13b",79,82,78,85,100,99
"Pros1","Pros1",0,0,0,0,0,0
"Psmg1","Psmg1",818,1065,889,950,701,929
"Brwd1","Brwd1",605,771,737,897,525,1032
"Grik1","Grik1",0,0,0,0,0,0
"Pigp","Pigp",268,313,264,335,298,450
"Chaf1b","Chaf1b",2031,2698,2277,2124,1813,2266
"Dop1b","Dop1b",1205,1435,1338,1630,1148,1673
"Setd4","Setd4",119,75,66,107,94,81
"Rcan1","Rcan1",1612,1473,1707,2215,1938,2208
"Runx1","Runx1",551,794,679,1041,831,1194
"Atp5o","Atp5o",1110,1235,979,1240,1025,1366
"Itsn1","Itsn1",1063,1470,1119,1070,811,1166
"Donson","Donson",307,365,301,394,224,282
"Son","Son",2899,2846,3271,4099,2903,4835
"Gart","Gart",2108,2729,2197,2483,2188,3312
"Tmem50b","Tmem50b",687,724,804,1278,1013,1399
"Ifngr2","Ifngr2",7743,8403,8067,6825,5843,7080
"Ifnar1","Ifnar1",2635,3173,3092,3567,2779,4201
"Il10rb","Il10rb",2265,2724,2771,3181,2653,3558
"Ifnar2","Ifnar2",1672,2004,1707,2180,1904,2260
"Cfap298","Cfap298",114,164,127,104,92,138
"Synj1","Synj1",1444,1632,1762,1924,1408,2125
"Paxbp1","Paxbp1",242,256,270,301,169,250
"Mis18a","Mis18a",209,397,261,282,208,401
"Sod1","Sod1",583,768,635,781,668,805
"Scaf4","Scaf4",1075,1620,1448,1332,968,1500
"Krt75","Krt75",0,3,0,0,0,1
"Kansl2","Kansl2",2445,3449,3070,3309,2848,3833
"Adcy6","Adcy6",31,27,34,12,32,35
"Enah","Enah",3,8,0,0,0,1
"Lmbr1l","Lmbr1l",436,508,392,377,433,425
"Dhh","Dhh",0,0,0,0,0,0
"Tuba1b","Tuba1b",11810,17706,12550,15533,13918,21024
"Prpf40b","Prpf40b",911,977,1005,827,752,781
"Fmnl3","Fmnl3",1809,2169,2028,12860,11367,13911
"Nckap5l","Nckap5l",36139,41953,41290,31627,27143,28774
"Tmbim6","Tmbim6",10968,13136,12167,11761,9809,11370
"Faim2","Faim2",2,4,19,0,4,2
"Racgap1","Racgap1",1961,2967,2252,3312,2900,5144
"Asic1","Asic1",12,7,18,26,17,23
"Smarcd1","Smarcd1",799,920,976,951,805,1085
"Gpd1","Gpd1",10,3,1,12,2,3
"Cox14","Cox14",2515,3086,2603,2672,2406,3122
"Cers5","Cers5",2259,2547,2386,2431,1678,2688
"Lima1","Lima1",1482,1698,1694,2133,1607,2461
"Larp4","Larp4",3267,4285,3954,4560,3195,6270
"Dip2b","Dip2b",4641,5305,5237,5766,3991,6101
"Atf1","Atf1",946,1433,1378,1432,993,1700
"Slc11a2","Slc11a2",4890,5037,5444,3872,3147,3671
"Cela1","Cela1",649,785,785,1190,909,1298
"Slc4a8","Slc4a8",138,205,197,145,92,208
"Scn8a","Scn8a",22,16,18,21,6,23
"Nr4a1","Nr4a1",322,277,407,347,355,314
"Csad","Csad",313,382,387,636,508,566
"Soat2","Soat2",600,626,764,173,168,71
"Igfbp6","Igfbp6",72,80,90,60,40,44
"Amhr2","Amhr2",1012,1181,1070,1033,803,995
"Prr13","Prr13",10142,12579,12106,5564,4705,5719
"Map3k12","Map3k12",1253,1617,1328,1259,996,1388
"Tarbp2","Tarbp2",1099,1210,1186,968,781,1014
"Calcoco1","Calcoco1",4172,4764,4769,4428,3882,4451
"Rttn","Rttn",685,710,628,938,661,1203
"Cdkn1a","Cdkn1a",6596,8586,7365,4485,3888,4542
"Nus1","Nus1",1631,1932,1843,1902,1593,2432
"Cep89","Cep89",573,826,776,746,610,841
"Mospd1","Mospd1",532,715,609,693,511,847
"Akirin1","Akirin1",1363,1396,1611,4401,3482,4962
"Gtf2ird1","Gtf2ird1",790,1032,993,1279,1069,1324
"Noct","Noct",186,178,196,154,83,127
"Abcc1","Abcc1",5993,7145,6914,4247,3114,4918
"Ndufa5","Ndufa5",964,1046,980,994,960,1238
"Rfc2","Rfc2",5210,6489,5872,5380,4655,5266
"Denr","Denr",1202,1588,1324,1394,1035,1700
"Prmt5","Prmt5",2492,3192,2797,2571,2334,2829
"Sympk","Sympk",2595,3272,2945,2493,1925,2249
"Nagpa","Nagpa",3619,4353,4046,5013,4009,4930
"Wrb","Wrb",649,898,611,591,432,794
"Ivns1abp","Ivns1abp",3921,5100,4631,7403,5271,9220
"Rpp14","Rpp14",654,647,782,684,586,875
"Slc38a1","Slc38a1",9753,10761,10915,12639,8773,12710
"Gps2","Gps2",917,1172,1182,943,698,974
"Bsg","Bsg",9255,12398,10547,14370,12182,14494
"Vwa5a","Vwa5a",5517,5998,5963,5040,3421,5468
"P3h3","P3h3",290,333,241,338,126,114
"Il15ra","Il15ra",187,236,185,100,150,161
"Ccl25","Ccl25",137,181,152,202,153,205
"Parp3","Parp3",1133,1348,1283,1459,1164,1385
"Slc26a6","Slc26a6",582,499,577,911,925,922
"Acy1","Acy1",2586,3663,2826,2412,2323,2805
"Frs3","Frs3",25,33,59,27,23,33
"Creld2","Creld2",955,1221,1018,1441,1063,1721
"Cd4","Cd4",39,89,49,12,1,23
"Twf2","Twf2",1475,1837,1559,2363,1894,3049
"Zfp605","Zfp605",56,80,98,75,74,79
"Ube2j2","Ube2j2",1386,1673,1536,1289,1049,1519
"X44990","44990",2587,2924,3090,2610,1840,2687
"Dtwd1","Dtwd1",534,565,596,510,452,627
"Mx2","Mx2",9,25,8,39,10,14
"Poc1a","Poc1a",467,584,407,413,349,604
"Trip6","Trip6",273,427,276,513,312,593
"Clec4n","Clec4n",459,487,385,45,42,64
"Agap3","Agap3",1501,1748,1486,1765,555,586
"Tmem176a","Tmem176a",2240,2978,2381,4013,3300,4220
"Slc17a9","Slc17a9",314,497,417,351,310,438
"Gnb3","Gnb3",604,585,620,82,61,54
"Pisd","Pisd",1280,1537,1363,1227,1102,1325
"Tpi1","Tpi1",43028,57050,47997,37334,30623,37228
"Rab12","Rab12",636,737,757,874,298,319
"Tulp2","Tulp2",11,6,3,7,1,7
"Celsr3","Celsr3",744,985,1137,965,669,696
"Pcbp4","Pcbp4",241,339,233,251,219,294
"Cdca3","Cdca3",996,1260,970,965,934,1560
"Ccndbp1","Ccndbp1",1547,2005,1872,2053,1645,2391
"Ogfod2","Ogfod2",667,901,892,782,664,913
"Mrps23","Mrps23",806,918,774,918,699,1011
"Rhebl1","Rhebl1",323,305,280,328,244,262
"Sfi1","Sfi1",188,229,278,378,258,266
"Pigx","Pigx",373,400,433,502,351,513
"Tiam2","Tiam2",36,53,89,135,46,157
"Synj2","Synj2",955,1049,1176,1324,1123,1443
"Rsph3b","Rsph3b",216,208,184,233,175,352
"Rps6ka2","Rps6ka2",5891,5679,6801,2453,1820,2067
"Prkn","Prkn",154,211,147,147,134,179
"Agpat4","Agpat4",398,473,499,406,261,428
"Slc22a3","Slc22a3",0,1,0,0,0,0
"Igf2r","Igf2r",7211,6722,8040,6640,4955,7650
"Acat2","Acat2",385,677,471,854,703,1407
"Lnpep","Lnpep",560,511,559,886,679,1058
"Chd1","Chd1",1325,1426,1370,1521,1140,1826
"Mpc1","Mpc1",1241,1502,1300,1381,1013,1485
"Pde10a","Pde10a",138,154,92,83,74,105
"X1700010I14Rik","1700010I14Rik",62,44,71,75,71,44
"Zfp54","Zfp54",48,61,53,62,57,122
"Phf10","Phf10",828,952,926,569,360,474
"Zfp51","Zfp51",246,193,246,179,105,257
"Hcfc1r1","Hcfc1r1",1100,1336,1216,1711,1380,1553
"Tnfrsf12a","Tnfrsf12a",709,835,645,694,705,696
"Pkmyt1","Pkmyt1",355,431,311,314,189,412
"Paqr4","Paqr4",72,96,101,127,142,160
"Pla2g7","Pla2g7",56,62,65,17,12,30
"Tnfrsf21","Tnfrsf21",211,224,342,388,203,321
"Cenpq","Cenpq",134,239,126,152,143,186
"Mut","Mut",1732,2170,1989,2142,1643,2700
"Tbc1d5","Tbc1d5",2537,2692,2677,3264,2596,3582
"Satb1","Satb1",0,0,0,0,0,0
"Cdc5l","Cdc5l",1646,2114,1936,2038,1635,2476
"Spats1","Spats1",0,3,0,1,1,0
"Aars2","Aars2",999,1238,1089,1114,1108,1246
"Mrpl14","Mrpl14",1731,1858,1580,1515,1421,1695
"Sgo1","Sgo1",276,235,320,372,180,450
"Slc29a1","Slc29a1",5856,7117,6717,6127,5365,5383
"Hsp90ab1","Hsp90ab1",35175,44044,37599,40560,33425,46551
"Nfkbie","Nfkbie",532,600,549,465,410,532
"Vegfa","Vegfa",2196,2537,2326,1396,1124,1257
"Gtpbp2","Gtpbp2",2640,2612,2949,1125,949,942
"Polh","Polh",288,546,355,579,390,627
"Fbxl17","Fbxl17",745,799,833,854,461,588
"Mrps18a","Mrps18a",2965,3199,2974,2343,1824,2752
"Rrp36","Rrp36",711,956,780,970,742,1015
"Cnpy3","Cnpy3",2760,3567,3188,3224,2664,3327
"Ubr2","Ubr2",6099,6590,6717,5111,4314,5503
"Guca1b","Guca1b",6,3,0,0,1,9
"Taf8","Taf8",657,853,574,608,566,684
"Guca1a","Guca1a",274,296,233,179,251,258
"Gm20517","Gm20517",8,3,17,0,1,5
"Bysl","Bysl",1318,1841,1546,1143,1017,1209
"Tfeb","Tfeb",816,1100,1016,1239,1026,1196
"Foxp4","Foxp4",292,443,351,224,200,268
"Trem2","Trem2",8835,10301,9809,16807,14552,16604
"Nfya","Nfya",438,501,428,631,553,510
"Brd4","Brd4",2568,2906,2820,2756,1963,2300
"Stk38","Stk38",2650,3007,3081,3779,3175,4853
"Ppil1","Ppil1",636,765,613,763,667,947
"Pi16","Pi16",16,11,10,9,0,15
"Mtch1","Mtch1",4784,6494,5340,8354,3889,3301
"Fgd2","Fgd2",595,1033,523,1099,926,1735
"Pim1","Pim1",441,435,507,335,363,299
"Ccdc167","Ccdc167",22,21,18,34,19,49
"Cmtr1","Cmtr1",6,15,25,28,11,21
"Glo1","Glo1",982,1064,915,1333,1066,1788
"Glp1r","Glp1r",1,0,0,0,0,0
"Abcg1","Abcg1",6537,7445,7369,9978,7945,9934
"Slc37a1","Slc37a1",454,653,689,270,199,298
"Wdr4","Wdr4",1223,1530,1218,1108,1046,1334
"Ndufv3","Ndufv3",2736,3046,2809,3777,3359,3863
"Sik1","Sik1",2713,3302,3454,2332,1957,1742
"Epb41l3","Epb41l3",0,1,0,0,1,0
"Akap8","Akap8",1020,1422,1123,1452,1145,1888
"Myl12a","Myl12a",2045,2478,2258,2155,1638,2289
"Myom1","Myom1",58,74,43,19,14,28
"Wiz","Wiz",872,1035,857,1019,414,525
"Lpin2","Lpin2",2817,3309,3397,3580,2518,4234
"Emilin2","Emilin2",21496,25348,25165,16888,12854,15982
"Smchd1","Smchd1",1678,2024,1795,2666,1715,3289
"Cyp4f13","Cyp4f13",1425,1574,1561,1710,1442,1449
"Ndc80","Ndc80",312,438,370,391,401,649
"Clip4","Clip4",0,0,0,0,0,0
"Lbh","Lbh",77,74,109,142,140,140
"Galnt14","Galnt14",0,5,0,0,0,0
"Xdh","Xdh",16310,18275,18160,6932,5268,7260
"Dpy30","Dpy30",960,983,841,887,773,1140
"Spast","Spast",459,553,520,895,476,784
"Slc30a6","Slc30a6",909,1022,937,1026,803,1058
"Prkd3","Prkd3",141,105,147,159,98,148
"Yipf4","Yipf4",1202,1476,1371,1283,1146,1739
"Birc6","Birc6",2311,2396,2563,2550,1856,3290
"Strn","Strn",920,1033,1117,1573,1050,1698
"Ttc27","Ttc27",1065,1271,1114,1194,817,1380
"Eif2ak2","Eif2ak2",922,1036,910,1083,723,1690
"Cebpz","Cebpz",1125,1420,1263,1775,1197,2164
"Ndufaf7","Ndufaf7",1361,1618,1317,1482,1390,1696
"Pja2","Pja2",1834,2105,2240,3009,2163,3391
"Man2a1","Man2a1",634,950,726,1051,692,1390
"Cyp1b1","Cyp1b1",0,0,0,0,0,0
"Vapa","Vapa",5660,6965,6187,6930,5429,7486
"Hnrnpll","Hnrnpll",2250,2901,2616,3383,2624,3803
"Ralbp1","Ralbp1",772,873,775,801,632,963
"Srsf7","Srsf7",1884,2467,1951,2277,1758,3027
"Twsg1","Twsg1",3304,3727,4072,4613,3229,5635
"Ndufv2","Ndufv2",3191,4137,3552,3220,2775,4099
"Washc1","Washc1",411,481,358,442,324,482
"Washc2","Washc2",5946,6529,6224,7601,5944,7985
"Nrxn1","Nrxn1",1,7,0,0,0,0
"Tedc2","Tedc2",94,162,87,134,130,137
"Lrpprc","Lrpprc",5144,5698,5900,6018,4626,7307
"Atp6v0c","Atp6v0c",46155,53050,48852,41726,35043,37622
"Pdpk1","Pdpk1",1098,1316,1366,1505,1036,1564
"Prepl","Prepl",1055,1132,1169,1054,815,1249
"Abca3","Abca3",1953,2083,2110,2294,1722,2126
"Eci1","Eci1",677,860,699,850,667,875
"Srbd1","Srbd1",568,659,749,811,547,859
"E4f1","E4f1",575,604,662,527,458,631
"Epas1","Epas1",2916,3249,3166,3224,2607,2888
"Mlst8","Mlst8",226,266,270,314,303,226
"Rhoq","Rhoq",1529,1827,1556,2970,1345,2074
"Pigf","Pigf",67,136,106,134,71,132
"Cript","Cript",1575,1561,1559,1885,1194,1930
"Mcfd2","Mcfd2",2571,2794,2848,2421,2063,3147
"Msh2","Msh2",1360,1734,1500,2166,1490,2305
"Hagh","Hagh",1848,2152,1906,1838,1586,1922
"Spsb3","Spsb3",72,92,82,86,75,97
"Mapk8ip3","Mapk8ip3",1606,2226,2052,1962,1439,1880
"C3","C3",3758,4285,4284,4565,3874,2764
"Jpt2","Jpt2",1502,1837,1615,2007,1377,2748
"Tmem204","Tmem204",9,43,30,3,9,29
"Ift140","Ift140",1364,1400,1501,1441,1219,1770
"Telo2","Telo2",1936,2586,2147,1971,1867,2281
"Pot1b","Pot1b",40,45,52,96,58,113
"Nme4","Nme4",885,1257,984,961,974,1114
"Tmem8","Tmem8",796,1095,863,1010,823,1185
"Mrpl28","Mrpl28",4593,5976,4664,4945,4331,5422
"Axin1","Axin1",692,1011,763,1043,224,137
"Rgs11","Rgs11",47,109,88,144,95,133
"Fam234a","Fam234a",5238,6246,6370,3850,3758,4109
"Luc7l","Luc7l",750,861,867,1032,773,1087
"Dusp1","Dusp1",2107,2393,2403,402,293,384
"Bnip1","Bnip1",405,445,401,498,335,488
"Phf1","Phf1",180,175,112,146,160,168
"Cuta","Cuta",1564,1809,1627,2300,2019,2369
"Plin3","Plin3",20612,24060,21385,21875,18568,21982
"Kdm4b","Kdm4b",2385,2839,2210,2702,2264,2474
"Rpl36.ps2","Rpl36-ps2",26,32,18,21,9,35
"Rfx2","Rfx2",27,81,48,56,42,53
"Acsbg2","Acsbg2",0,0,0,0,0,1
"Uqcc2","Uqcc2",1475,1627,1512,1711,1683,1772
"X1700061G19Rik","1700061G19Rik",66,44,52,63,43,61
"Ip6k3","Ip6k3",55,45,56,233,338,119
"Mllt1","Mllt1",1157,1555,1315,1549,1079,1237
"Nudt3","Nudt3",877,1146,995,1686,1576,1876
"Snrpc","Snrpc",436,477,490,413,440,530
"Taf11","Taf11",339,412,415,489,325,583
"Anks1","Anks1",524,806,578,545,593,658
"Zfp523","Zfp523",746,713,823,763,691,822
"Fkbp5","Fkbp5",771,846,755,1812,972,1370
"Cul2","Cul2",1328,1966,1698,1804,1189,2119
"Bambi","Bambi",446,621,561,1229,987,1280
"Mtpap","Mtpap",829,1055,1024,1071,854,1150
"Map3k8","Map3k8",141,183,160,133,156,267
"Svil","Svil",797,1045,1081,977,717,902
"Epc1","Epc1",168,170,219,163,188,204
"Sos1","Sos1",314,293,358,521,215,390
"Map4k3","Map4k3",993,1132,1129,2651,1306,2094
"Thumpd2","Thumpd2",214,228,212,287,228,336
"Pkdcc","Pkdcc",692,886,816,758,269,253
"Cox7a2l","Cox7a2l",3582,4213,3619,4834,3771,5262
"Thada","Thada",1068,1204,1222,1669,1254,1896
"Dync2li1","Dync2li1",6,21,21,30,36,21
"Polr2d","Polr2d",328,485,395,543,455,719
"Slc25a46","Slc25a46",850,1166,990,1146,870,1604
"Sap130","Sap130",754,816,717,738,552,940
"Celf4","Celf4",145,151,111,352,301,357
"Tpgs2","Tpgs2",272,367,214,402,325,576
"Slc39a6","Slc39a6",2515,2684,2857,2044,1456,2147
"Elp2","Elp2",4159,5146,4839,4859,3988,4916
"X2700062C07Rik","2700062C07Rik",382,387,377,462,378,385
"Zfp397","Zfp397",388,326,425,626,471,805
"Mapre2","Mapre2",2125,2327,2154,2227,1540,2413
"Wac","Wac",1856,2141,2096,2641,1318,2159
"Ccny","Ccny",2896,3429,3270,4173,2765,3418
"Thoc1","Thoc1",514,558,504,590,472,902
"Rock1","Rock1",517,700,683,702,549,921
"Esco1","Esco1",260,474,386,400,432,615
"Mib1","Mib1",410,657,497,1170,345,694
"Cyp4f41.ps","Cyp4f41-ps",20,10,19,27,45,40
"Zfp871","Zfp871",946,961,1156,1904,1324,2305
"Adamts10","Adamts10",613,701,666,1156,1058,1336
"Myo1f","Myo1f",24852,29225,27213,22469,17853,23591
"Kifc5b","Kifc5b",79,68,57,50,56,57
"Dtna","Dtna",0,0,0,0,0,0
"Tapbp","Tapbp",10028,12258,11254,11009,8841,12061
"Pfdn6","Pfdn6",773,948,853,702,627,921
"Wdr46","Wdr46",1744,2230,1895,1786,1434,1908
"Rnf138","Rnf138",295,351,318,494,322,503
"Vps52","Vps52",3298,4288,3908,4224,3649,3835
"Ring1","Ring1",471,596,492,508,423,425
"Slc39a7","Slc39a7",30,31,47,70,41,51
"Col11a2","Col11a2",1,0,0,11,0,6
"H2.Oa","H2-Oa",260,285,315,525,443,543
"Brd2","Brd2",6041,7545,7020,6491,5599,7176
"Psmb8","Psmb8",3537,4569,4030,3947,3546,4358
"Tap2","Tap2",1395,1748,1536,1580,1249,1516
"Pfdn1","Pfdn1",682,836,707,870,800,864
"Tmem173","Tmem173",2308,2615,2360,1704,1507,2315
"Dnajc18","Dnajc18",600,556,689,766,515,828
"Sil1","Sil1",1698,1993,1844,2710,2218,2098
"Hspa9","Hspa9",24974,27269,28566,19487,15946,20129
"Etf1","Etf1",3031,3348,3209,3527,2662,4370
"Nelfe","Nelfe",2653,3377,2758,2740,2567,2905
"Cdc23","Cdc23",1292,1816,1413,1787,1370,1857
"Epb41l4a","Epb41l4a",0,1,0,0,0,4
"Stard4","Stard4",197,202,149,445,306,788
"Bin1","Bin1",2514,3147,2907,3134,2529,3343
"Ercc3","Ercc3",760,992,924,895,746,945
"Map3k2","Map3k2",328,353,399,765,435,854
"Iws1","Iws1",605,729,669,800,634,939
"Csnk2b","Csnk2b",2235,2674,2393,2306,2083,2441
"Bag6","Bag6",4284,5527,4843,5047,4323,4952
"Prrc2a","Prrc2a",942,1089,1056,991,935,1158
"Aif1","Aif1",254,305,271,819,733,1256
"Ltb","Ltb",19,39,54,13,15,11
"Wdr33","Wdr33",2455,2822,2867,2874,2261,2884
"Tnf","Tnf",123,145,193,123,88,177
"Lta","Lta",10,0,4,6,0,3
"Atp6v1g2","Atp6v1g2",26,38,80,44,32,52
"Riok3","Riok3",3012,3380,3526,2809,1827,2886
"Rmc1","Rmc1",1425,1932,1755,1391,1185,1503
"Npc1","Npc1",2623,3123,3176,3873,2716,3435
"Mrpl27","Mrpl27",1047,1243,1035,1026,865,1218
"Dhx16","Dhx16",2396,3163,2725,2558,2220,2810
"Impact","Impact",214,324,244,283,190,370
"Ttc39c","Ttc39c",196,148,156,52,55,63
"Ndfip1","Ndfip1",2669,3127,3233,3245,2425,3589
"Atat1","Atat1",388,415,469,408,367,425
"Gnl1","Gnl1",2781,3495,3170,3143,2563,3051
"Cabyr","Cabyr",21,29,17,24,0,7
"Nr3c1","Nr3c1",1085,1034,1116,1145,804,1322
"Mrps18b","Mrps18b",990,1143,1059,741,672,793
"Dele1","Dele1",352,377,324,306,267,284
"Rpp21","Rpp21",327,315,270,227,241,261
"Arap3","Arap3",1641,1619,1660,1858,1699,2204
"Hdac3","Hdac3",2037,2719,2258,2629,2394,3114
"Diaph1","Diaph1",1233,1464,1471,732,631,761
"Trim26","Trim26",2020,2450,2268,1801,1566,1980
"Dcp2","Dcp2",179,198,202,168,137,277
"Ik","Ik",4109,4631,4461,4265,3763,5213
"Pggt1b","Pggt1b",433,610,467,597,558,772
"Ap3s1","Ap3s1",2226,2947,2767,2398,1633,2559
"Ankhd1","Ankhd1",2352,2697,2805,3117,2283,3421
"Hbegf","Hbegf",47,100,76,20,24,14
"Yipf5","Yipf5",1502,1713,1519,2209,1506,2375
"Rbm27","Rbm27",412,379,499,521,360,665
"Lars","Lars",4317,5026,5359,3763,3256,4192
"Tcerg1","Tcerg1",1457,1977,1695,1916,1420,2401
