Geneid,control Evs_1,control Evs_2,control Evs_3,LPS Evs_1,LPS Evs_2,LPS Evs_3,IL-10 Evs_1,IL-10 Evs_2,IL-10 Evs_3,TGFB Evs_1,TGFB Evs_2,TGFB Evs_3
Wdr77,1071,837,473,414,299,1043,1293,685,686,455,981,1031
Adora3,0,0,0,30,27,30,14,0,0,0,0,5
Atp5f1,10757,2947,3104,2016,1290,3188,2290,1113,5017,950,4457,1935
Hnrnpd,118,43,1,166,173,332,172,279,67,20,119,153
Dynlt1c,118,15,38,44,34,94,9,14,0,0,64,6
C1d,1061,415,362,456,131,180,444,359,109,440,403,642
Gm2a,7576,971,927,288,351,1439,392,560,2387,255,2172,11
Krit1,1075,0,0,67,252,152,55,0,684,0,120,0
Clcn4,903,1,0,59,151,159,118,1,0,631,109,146
Hk2,2397,30,459,276,238,397,125,93,125,31,247,120
Myo18a,249,435,0,359,233,239,110,150,0,0,210,27
Haao,336,0,0,23,42,52,0,8,0,0,9,0
Cd52,3566,366,910,1532,669,1401,224,111,2478,34,1138,171
Abhd15,0,0,0,1,35,38,26,0,362,160,109,0
Loxl3,0,0,0,16,11,10,0,0,0,0,0,0
Kat2b,223,18,7,32,107,93,119,26,383,0,206,25
Rab5b,398,75,108,45,36,119,50,33,193,0,156,16
Dnmt3l,0,142,84,172,132,141,124,0,300,71,24,79
Icosl,863,0,7,35,37,136,36,42,0,0,24,68
Spg7,650,193,38,127,189,393,278,280,389,546,573,355
Sult5a1,0,0,0,51,121,132,0,0,0,0,0,0
Rpl13,25924,21084,21262,14451,5529,14663,26440,21145,27203,20488,32823,29508
Chmp1a,6734,3003,2230,1186,566,1818,3143,2241,3019,4479,6065,5543
Rpa1,497,188,1022,506,111,438,197,91,1114,4,541,187
Serpinf1,0,137,51,70,36,62,167,87,236,0,141,58
Tubgcp3,0,0,1,33,168,223,8,1,448,0,243,0
Oprm1,0,0,0,113,277,122,0,0,0,0,0,0
Polr3d,0,96,149,61,53,73,12,26,527,0,38,65
Ddx3x,2252,482,226,586,375,653,531,207,1587,482,1038,21
Il12rb1,0,0,70,166,80,104,29,0,0,0,58,0
Kcnn3,0,0,0,0,27,63,0,0,0,0,0,0
Usp32,357,0,15,26,111,81,85,0,0,193,5,168
Txnrd3,0,0,0,57,30,144,0,0,0,252,0,0
Zfp512b,12,98,514,42,280,243,174,288,0,345,61,321
Dnajc5,1719,7486,6424,1793,904,1770,13208,8580,6479,10548,18078,13820
Tpd52l2,2124,63,531,724,380,623,88,344,1090,0,742,66
Fmr1,0,0,50,49,77,287,72,0,150,0,102,8
Bcl11a,0,0,0,12,128,118,0,0,0,0,0,0
Il4,0,30,0,12,52,62,0,0,0,6,9,0
Pxmp4,395,127,185,73,191,254,0,175,143,0,123,30
Dlg3,0,0,0,0,37,83,0,0,0,0,0,0
Gnb1l,0,0,0,16,71,79,0,0,0,0,31,0
Smarcb1,1420,176,110,141,255,339,0,114,38,0,138,60
Hip1r,0,0,0,1,19,23,0,0,0,0,68,0
Nsun5,217,0,0,173,43,102,29,0,424,0,83,47
Top1mt,485,26,183,21,47,11,106,206,493,0,53,239
Mmp14,0,0,43,3,55,11,0,1,0,0,163,0
Slc7a7,0,0,0,20,40,74,0,0,0,0,69,0
Oxa1l,993,189,18,99,104,378,392,154,422,241,800,495
Heatr6,0,162,0,89,222,302,78,0,0,0,345,69
Ccl3,7738,408,2866,8387,3448,8312,617,362,5614,326,2843,274
Ilf2,2100,142,526,385,461,576,183,420,816,41,587,232
Chtop,2023,731,462,246,298,305,799,718,1254,335,1031,818
Snapin,2292,350,1526,265,176,534,385,98,968,84,893,378
S100a4,47,4,15,26,43,29,7,12,13,3,9,5
S100a3,0,1,44,14,49,15,26,1,45,0,14,25
S100a6,2918,674,1282,631,382,1096,419,556,1884,535,1012,588
Icam2,0,49,0,8,37,67,35,0,0,0,72,0
Mapk7,426,0,284,3,38,19,78,0,339,345,176,0
Epn2,999,107,0,6,32,10,0,0,83,0,96,0
B9d1,108,0,0,34,11,3,0,0,0,0,22,0
Sec24b,1751,7,425,73,227,408,24,0,0,0,74,148
N4bp3,0,16,1,0,8,152,104,64,494,59,470,21
Rmnd5b,543,0,578,107,54,179,134,254,335,0,579,10
Nhp2,4476,2074,2428,2541,1006,2544,2457,1805,2645,1636,2916,1846
Vps9d1,219,181,0,75,13,12,119,105,0,1000,479,330
Zfp276,207,157,0,34,73,13,0,0,6,0,13,0
Mfsd10,775,86,364,30,45,186,1,0,595,0,130,0
Luzp1,0,616,184,221,170,438,1055,507,2238,1851,3834,3854
Kctd10,607,567,400,193,186,315,840,290,435,778,908,897
Poldip2,4105,1138,2129,382,362,828,1906,1736,2196,2455,4398,2494
Ift20,379,305,240,199,134,294,170,94,273,174,265,172
Lgals9,3633,365,713,828,384,1283,85,357,1971,195,1090,74
Araf,737,691,1301,314,270,658,272,129,845,161,544,267
Cfp,4381,156,868,632,315,259,272,372,1112,0,723,114
Uxt,191,100,67,77,63,179,4,34,283,9,87,20
Cnnm3,0,173,69,84,57,84,287,73,33,23,145,281
Lman2l,1608,475,0,65,122,281,136,86,183,37,269,316
Mcm3ap,356,34,0,250,306,263,201,40,806,814,936,557
Pcnt,217,92,30,75,154,236,78,18,0,297,0,6
Mxd1,384,67,190,104,123,244,364,552,0,0,481,88
Gmcl1,776,1056,931,860,294,748,1253,1489,1249,645,1189,1029
Snrnp27,882,161,232,297,88,126,106,36,595,2,266,78
Oas1c,0,0,0,142,47,126,0,0,167,0,48,120
Ocrl,751,12,16,106,196,166,20,5,14,7,12,4
Calm1,9115,1532,3811,2268,1186,3363,1429,1686,5346,1128,3345,838
Agpat3,851,572,553,294,268,502,119,410,260,523,956,692
Slc26a3,0,0,0,99,118,124,0,0,0,0,0,0
Sema6b,0,45,0,31,70,148,0,6,1,4,98,53
Uhrf1,606,542,0,218,323,458,413,118,747,0,415,503
Dpp9,1318,0,739,150,65,504,180,6,530,13,327,1
Lsr,0,0,0,4,0,10,0,0,0,0,0,0
Gramd1a,901,1061,523,204,67,216,1010,191,1180,226,1576,607
Hpn,0,0,0,0,21,5,0,0,0,0,0,0
Ckb,1826,407,345,179,77,146,148,242,143,249,214,46
Sp1,351,217,52,228,373,355,542,89,2,299,763,368
Itgb7,1112,191,828,289,68,163,559,182,0,147,506,117
Myg1,792,126,152,126,185,365,207,305,309,51,482,309
Rarg,175,0,0,33,50,71,7,0,1,0,25,0
Pfdn5,1560,1235,1972,887,370,1225,1611,926,1177,777,1828,1976
Rrp15,492,67,0,107,61,110,4,0,0,0,69,0
Rnd2,0,80,0,16,37,87,119,48,11,119,90,211
Srr,315,28,120,33,20,19,19,0,242,0,84,30
Acp5,1529,36,734,417,139,405,105,148,734,0,338,21
Fbxo9,0,88,215,1,57,177,69,105,463,93,357,91
Vps50,479,245,0,19,285,221,4,40,545,98,290,33
Hars,1506,0,129,402,362,723,561,259,260,691,872,531
Zmat2,477,177,393,143,164,288,52,9,339,0,363,122
Ube2c,1891,261,494,322,255,303,161,19,758,0,437,37
Smg5,943,199,222,161,229,448,236,311,159,117,464,124
Cct3,16166,3166,6788,4340,1941,4466,2770,2152,7549,1141,7621,3018
Glmp,15530,1438,2156,1482,1119,2945,242,872,6919,118,2809,426
Mef2d,2528,421,230,322,212,530,276,75,283,366,859,606
Tmem79,0,1,0,2,40,16,14,31,0,29,15,21
Snd1,4451,1110,2655,353,286,1086,344,416,1035,405,900,685
Col18a1,0,23,0,114,105,135,0,0,0,0,140,0
Slc19a1,690,114,0,14,43,18,30,20,522,0,81,33
Kpnb1,637,2022,1800,581,345,711,3435,833,1264,983,1926,2134
Npepps,2283,197,744,132,222,285,132,146,404,249,295,373
Mrpl10,2258,339,538,136,81,222,296,188,777,133,417,228
Cyp51,694,372,694,159,109,95,255,497,310,65,782,484
Tcf25,5364,5052,4149,1289,670,1544,5852,2386,4644,5185,8430,6964
Tubb6,3302,172,604,491,279,1028,215,395,1571,230,875,235
Def8,2233,402,734,536,265,678,961,125,806,1825,1920,1898
Itga3,0,0,1,8,17,36,1,0,1,0,0,0
Foxm1,917,33,0,97,112,172,168,97,239,423,111,36
Itfg2,206,0,6,68,174,203,0,0,0,0,0,0
Nrip2,4,47,47,52,56,60,51,47,49,62,22,46
Tulp3,21,71,8,110,235,160,39,37,58,6,10,59
Gtf2h4,311,341,169,308,145,136,142,58,502,0,561,103
Tubb5,5943,1269,2488,1728,906,2185,2148,1156,3191,1372,2618,2283
Ell2,1382,215,58,343,194,375,80,65,468,0,275,113
Jup,508,1,121,83,146,131,0,0,0,0,179,0
Nom1,312,426,2,717,312,269,299,80,1630,0,218,257
Ergic1,2531,254,654,374,373,594,612,0,1395,261,850,632
Acap1,847,0,79,2,56,66,42,0,56,104,164,23
Tcea3,0,0,0,4,12,13,0,0,0,0,0,14
Ifrd1,2245,293,532,170,327,566,280,206,1770,126,801,203
Stk38l,1,107,137,168,156,219,106,0,733,0,471,298
Brpf1,544,282,243,66,132,135,7,8,24,0,6,213
Akr1b3,5105,843,1161,732,450,1201,784,616,2071,134,1281,805
Hoxc6,0,16,3,7,25,26,9,0,0,0,47,0
Gstt3,1,87,0,23,38,95,15,5,0,75,114,76
Ddt,35,11,11,6,7,18,0,18,102,0,6,12
Marveld3,0,0,0,19,69,152,0,0,0,0,0,0
Ddx18,868,219,712,227,114,257,27,146,458,12,134,162
Ubl3,1118,499,612,642,454,928,564,546,285,60,703,913
Gramd3,251,0,0,4,34,22,1,0,0,211,99,82
Eef1e1,656,136,63,323,150,297,147,180,908,172,277,83
Akt1,584,553,370,882,437,864,1249,416,659,362,671,1302
Il16,96,61,0,115,122,29,0,0,0,0,128,65
Tcirg1,10082,641,1132,1284,836,1733,530,438,3402,1,1975,423
Naglu,4262,167,483,212,101,548,0,143,594,0,814,112
Coasy,2401,182,41,213,112,161,281,153,1647,182,482,148
Smo,1,301,262,250,122,161,644,329,0,133,557,1077
Crnkl1,975,129,229,91,102,133,56,0,0,313,6,62
Rin2,956,22,8,31,146,277,304,39,575,631,362,215
Chordc1,1717,78,380,175,173,288,142,194,244,311,284,166
Rtcb,2842,600,582,311,210,550,390,200,1252,441,1043,652
Pwp1,4329,1108,1391,537,228,252,329,425,875,1049,2134,740
Fbxo7,691,144,208,126,71,231,88,0,0,0,267,590
Capns1,806,86,310,82,61,227,23,258,219,235,234,144
Folr1,0,0,194,2,47,80,0,0,174,0,30,0
Clpb,1732,185,24,332,132,243,98,196,0,0,391,135
45176,1222,48,321,652,400,346,318,3,795,0,557,7
Zdhhc4,1380,492,323,135,196,450,742,442,532,42,1419,708
Rac1,1494,446,867,572,495,1150,458,381,558,206,1043,932
Nup214,375,131,0,327,305,713,140,127,0,213,676,131
Ltbp1,0,0,0,27,176,79,6,0,0,0,0,0
Ugp2,6526,576,1596,434,315,796,559,470,2041,166,2142,108
Trmt1,1420,173,1436,263,262,743,720,453,52,80,783,683
Nacc1,614,71,12,55,15,120,58,6,0,8,117,61
Nfix,7,176,141,72,44,103,214,162,34,120,215,152
Slc1a5,3386,290,219,206,312,298,555,208,1014,669,1053,154
Uba1,4080,392,704,260,364,982,249,399,1297,105,945,574
Vwf,1184,0,0,169,315,318,164,16,0,14,611,384
Siae,1762,399,266,145,89,194,6,93,686,21,0,155
Spa17,0,9,0,2,7,21,22,0,0,0,0,4
Fam50a,2654,22,554,214,156,354,8,91,879,8,483,126
Emd,1,106,0,54,12,60,0,1,188,0,0,1
Taco1,0,0,0,77,17,0,30,0,0,0,8,10
Npas1,0,0,0,9,54,19,0,0,0,0,0,0
Sipa1l2,216,117,48,102,97,125,98,0,0,519,378,42
Ap4e1,552,105,3,239,287,203,67,8,495,0,1,0
Blvra,3949,1907,2931,1151,552,1062,1427,931,2773,1136,3264,1918
Srpk3,250,0,1,0,19,58,15,0,0,0,0,0
Idh3g,5065,490,843,457,510,1124,319,641,1516,0,1318,477
Ssr4,2639,703,722,485,235,829,453,285,884,727,1083,673
Bcap31,5837,263,1662,370,243,869,149,599,1481,0,892,408
Fam98a,962,141,0,327,181,281,47,12,295,0,175,214
Ltbp2,646,0,0,3,38,7,0,0,0,0,0,0
Kmt2a,223,208,4,36,175,92,244,0,6,190,135,114
Ift46,222,63,280,54,123,270,8,0,0,0,0,0
Trappc6a,1386,248,347,331,164,446,176,215,514,0,301,169
Supt6,1620,1,340,29,267,397,50,9,1,0,246,0
Spag5,0,204,0,133,194,181,179,8,1,330,1,7
Unc119,1094,289,174,313,135,425,84,113,805,91,339,272
Rab34,0,0,1,77,85,189,0,0,0,0,0,0
Sdf2,324,134,0,185,117,249,165,2,383,272,548,272
Ccne1,1221,229,177,122,94,230,255,290,0,55,91,65
Bbc3,394,30,132,50,22,25,7,24,88,0,183,0
Mybpc3,0,0,0,14,70,106,30,0,0,0,0,0
Psmc3,4760,1029,1461,1416,678,1910,583,936,2355,303,1552,603
Acp2,2566,467,292,245,389,636,17,224,303,21,404,133
Rapsn,100,0,0,2,1,0,0,0,0,0,0,0
Slc39a13,588,351,370,9,87,61,0,0,0,220,263,40
Celf2,0,45,321,315,376,439,440,522,277,0,261,318
Nr1h3,0,30,1,160,44,128,24,85,0,0,0,209
Ddb2,285,0,0,1,23,25,0,0,0,0,0,0
Spi1,5546,568,1112,1354,643,1572,831,548,2480,633,1228,758
Sf3a1,1435,203,720,52,163,276,0,113,853,489,398,0
Stat6,4824,108,936,203,301,376,417,8,1094,0,996,325
Napsa,2219,223,649,305,193,565,109,197,644,0,472,104
Vrk3,683,354,1043,143,146,361,233,599,328,0,549,394
Smg9,260,0,17,18,79,247,61,0,0,0,104,6
Paxip1,282,141,4,59,137,101,78,44,0,114,378,344
Rmnd5a,154,717,186,126,142,180,940,426,535,1055,626,1044
Mov10,5653,379,127,398,370,633,114,19,551,412,312,0
Ppm1j,1476,76,551,3,30,190,123,94,200,94,165,222
Rhoc,5066,538,1033,1009,510,1302,363,319,1550,168,904,398
Ppard,15,4,0,43,64,51,8,6,28,3,1,21
Def6,732,78,1,193,83,190,216,155,14,10,328,268
Metrn,55,136,318,47,34,79,482,39,46,73,151,524
Lmf1,681,530,172,6,79,150,58,0,669,0,225,143
Narfl,1331,17,0,128,112,205,52,0,1488,137,411,95
Dbf4,689,1404,725,359,295,407,2156,931,636,1392,1478,1635
Daxx,281,12,68,542,174,558,331,250,289,96,307,125
Cd320,181,80,242,72,29,228,90,131,0,168,263,187
Ipo4,743,69,324,126,52,212,167,185,206,131,539,369
Tm9sf1,951,261,469,86,159,224,24,65,440,202,133,20
Irf9,554,162,257,218,108,302,51,11,429,0,96,0
Gmpr2,162,0,163,50,178,147,63,39,121,0,89,8
Mdp1,259,0,0,5,28,56,35,0,0,21,124,135
Dhrs1,1373,62,128,269,68,183,0,86,0,0,309,36
Tmem161a,984,243,1061,322,144,195,732,822,1108,1126,536,1050
Armc6,0,122,0,5,72,124,96,204,2,217,22,33
Borcs8,518,0,98,129,84,189,142,199,104,7,190,130
Slc25a42,0,0,150,52,24,81,0,0,0,0,0,0
Snx9,1763,176,166,80,156,252,140,36,552,0,103,79
Ranbp3,1239,183,596,352,336,452,401,254,667,0,120,164
Ndufa11,1020,306,435,419,191,578,154,112,429,104,333,237
Nr2f6,95,35,11,76,14,36,63,83,23,63,28,150
Use1,1656,760,814,874,282,690,600,520,1088,437,667,811
Ocel1,0,208,89,101,60,208,162,185,0,142,95,156
Dyrk1b,132,90,154,4,17,19,115,51,51,4,100,74
Braf,324,187,22,154,316,306,169,182,2,4,354,291
Ndufb2,86,48,17,117,205,239,10,22,59,17,26,18
Hltf,542,92,1,32,28,115,0,0,0,0,18,1
Prpf6,3290,0,192,548,355,211,291,241,760,0,1280,691
Rgs19,965,298,273,500,92,443,212,0,777,153,473,119
Rgs20,127,0,0,23,22,35,0,0,0,0,33,23
Snrpd1,828,184,486,334,180,283,219,239,535,135,355,236
Tchp,0,28,64,23,108,159,21,0,0,0,31,62
Tiam1,0,0,0,97,138,121,0,0,0,4,0,1
Tsc2,1332,0,566,228,123,84,65,15,648,95,92,253
Rpl3l,68,0,21,29,28,32,4,6,18,0,4,5
Puf60,2594,333,1,784,214,522,157,44,725,0,636,278
Golga2,128,68,0,18,115,176,116,0,448,0,276,246
Uck1,820,360,435,170,101,706,153,311,632,0,385,448
Mien1,254,57,109,72,55,111,30,8,105,19,73,11
Axl,0,0,0,19,48,37,0,0,1,0,0,0
Tgfb1,1355,313,95,222,72,369,142,143,445,151,249,264
Ccdc97,644,136,165,0,33,204,27,264,0,348,151,59
Zfp40,0,0,0,0,11,1,0,0,0,0,0,0
Akap8l,251,0,100,30,122,312,14,208,0,0,103,49
Pdcd2l,937,162,440,118,156,204,38,169,251,136,348,138
Gtf2f1,3147,197,9,485,177,492,209,7,463,0,318,182
Clpp,1409,189,463,679,272,866,279,289,398,8,406,209
Alkbh7,512,47,127,26,85,254,62,54,0,96,84,65
Dennd1c,367,0,0,105,80,240,55,0,1,39,258,191
Med6,313,213,187,80,158,192,58,132,167,0,155,13
Lcp2,2287,243,676,608,279,555,57,291,345,0,529,330
Cse1l,2556,182,617,294,386,510,297,469,0,467,1409,403
Naa20,2412,335,490,509,356,537,403,402,1102,396,681,524
Prkra,878,123,71,103,51,121,27,0,74,201,165,85
Fkbp7,0,0,87,0,78,41,0,0,0,0,29,0
Plekha3,84,94,197,321,252,339,261,133,79,235,205,724
Ykt6,862,334,870,467,202,622,1129,629,312,856,1301,1596
Baz1b,752,306,2,318,355,369,285,507,170,186,186,633
Pex6,220,0,0,36,71,57,11,6,185,31,131,172
Mrpl2,2306,452,905,393,228,805,225,136,783,166,699,245
Mea1,1949,489,388,610,140,507,366,291,877,140,397,285
Kdelr1,722,6,67,45,41,126,25,115,0,0,170,143
Tmem143,0,0,9,6,115,75,8,0,0,0,0,4
Pdxk-ps,0,0,0,44,102,84,0,0,0,0,0,0
Ggct,114,26,121,110,66,79,19,4,56,0,15,25
Jag2,4,240,96,153,126,236,530,636,292,340,551,599
Btbd6,268,0,437,51,50,85,129,89,0,0,85,0
Nudt14,1341,398,423,165,133,267,120,323,953,236,327,176
Flii,1657,421,499,151,135,391,189,47,1606,107,755,160
Top3a,0,0,0,190,136,79,38,106,284,0,161,0
Atg4d,0,927,1166,537,281,324,1690,646,681,668,816,1149
Qtrt1,199,56,0,417,93,235,20,0,0,0,408,0
Hdgfl2,811,505,510,339,131,314,1098,770,2093,1274,2355,1043
Chaf1a,630,346,549,231,207,444,404,421,611,188,379,206
Adprh,1474,56,124,153,104,385,54,239,203,0,270,125
Tmem39a,0,0,4,35,40,25,82,92,52,0,151,176
Timmdc1,30,48,0,84,50,77,7,2,250,226,150,11
Pla1a,987,10,0,156,66,144,50,20,98,1,98,57
Mcm2,1807,184,1,460,187,74,181,9,315,0,573,54
Tpra1,3213,464,0,132,217,302,77,147,471,0,190,86
Nab1,239,150,346,423,139,258,224,259,75,3,407,457
Adgre5,0,0,0,3,25,42,0,0,0,0,0,0
Il17ra,796,128,5,16,16,217,129,164,0,0,440,61
Lamb1,0,0,0,75,113,131,1,0,0,0,0,0
Kcnn1,0,0,0,9,42,28,0,0,0,0,198,19
Arrdc2,104,0,6,39,56,21,128,255,0,0,0,0
Cd36,0,0,0,9,93,116,51,0,0,0,92,0
Map2k7,583,139,7,636,226,339,117,225,198,177,322,261
Timm44,2380,94,403,213,145,535,145,271,166,92,905,197
Ap2a2,3165,2233,1479,546,439,591,3228,2290,773,2606,5364,3401
Pnkp,1563,343,0,200,110,195,124,207,0,380,360,94
Med25,839,171,78,209,276,381,145,228,220,164,219,164
Bcam,0,0,0,2,26,19,0,0,0,122,0,0
Clptm1,3031,292,358,107,135,385,225,201,700,0,672,268
Relb,495,91,243,572,193,136,356,0,0,265,167,425
Tomm40,2860,403,1273,593,471,589,852,571,1133,682,1066,811
Apoe,280409,65484,70796,21891,10408,80272,6697,30182,91739,13750,38295,13597
Hbp1,1966,777,609,250,163,420,227,220,616,0,821,415
Prkar2b,2399,179,14,78,174,146,158,129,440,0,567,160
Cdkn1b,7,0,4,0,17,42,0,0,93,0,1,4
Klf4,43,40,4,0,6,10,0,12,51,3,1,0
Ap1m1,1949,550,469,222,98,484,276,254,1586,809,208,329
Rab8a,3815,684,1280,600,388,1141,258,324,1061,143,933,170
Hmgn2,1683,715,763,727,309,803,654,347,1016,199,1073,576
Fam32a,3466,1207,3027,1382,503,1082,2474,2010,2864,1723,2737,3176
Stard3nl,275,174,850,110,104,143,205,305,332,314,341,213
Stk11,0,313,194,38,24,219,597,117,285,370,334,199
Efna2,0,0,0,0,6,14,3,109,0,76,0,52
Atp5d,5206,1374,2044,1183,716,1604,1238,1097,3017,1934,2109,1517
Ppp5c,1059,244,94,232,192,239,150,347,600,0,339,450
Cdk12,101,0,0,43,204,195,3,26,0,75,14,0
Lipe,0,0,0,18,91,29,2,0,0,120,0,0
Pafah1b2,3032,839,648,1031,256,608,1204,395,942,409,2499,726
Tbc1d8,0,34,0,29,53,26,0,0,0,0,0,9
Cnot11,511,17,172,112,104,189,66,0,0,0,105,148
Slc2a3,0,15,7,26,153,197,31,24,19,15,0,7
Foxj2,577,0,0,18,88,24,108,0,4,281,177,147
Sri,1312,591,427,545,421,771,161,144,765,316,334,161
Dgcr2,816,0,10,53,62,281,65,17,0,0,0,33
Irf3,629,0,166,33,96,47,127,6,425,0,236,57
Bcl2l12,76,0,17,6,17,1,1,0,0,0,9,3
Zfp959,0,0,0,0,20,1,59,0,0,0,76,0
Mpnd,2431,312,937,282,193,511,212,351,808,844,1069,416
Sh3gl1,1072,0,195,133,49,246,99,10,312,0,129,0
Ebi3,65,0,0,67,45,38,0,0,110,0,65,0
Yju2,346,0,0,141,172,229,0,0,0,0,156,75
Ranbp2,2075,139,183,110,216,128,68,81,5,6,49,131
Grk5,724,0,0,46,20,24,0,0,0,0,37,22
Dvl3,139,0,0,10,83,221,22,0,0,0,21,0
Abcf3,1567,0,587,73,251,576,104,0,0,334,631,284
Eif2b5,1631,99,113,200,149,647,413,0,952,262,396,523
Cyth2,1696,161,398,143,78,237,39,123,348,0,198,30
Sult2b1,0,12,0,59,32,37,1,0,0,0,0,0
Dlgap1,0,0,0,156,386,345,0,14,8,0,0,0
Hck,0,0,0,13,55,112,0,0,0,0,0,0
Mrpl4,1693,196,99,352,193,432,143,275,1015,382,359,0
Keap1,371,527,60,92,70,157,173,47,786,2,415,411
Glg1,2495,706,8,346,330,582,160,295,887,1,1160,497
Atp8b3,0,0,0,52,89,73,0,0,0,0,0,0
Btbd2,254,0,0,28,28,21,0,0,313,0,71,3
Csnk1g2,155,113,158,436,179,461,499,426,80,856,532,1441
Abhd17a,2656,1398,807,1094,427,1026,1348,764,810,1022,1812,1635
Mob3a,0,70,10,5,30,69,20,39,0,0,16,107
Cacnb3,0,0,1,124,78,50,50,0,1,38,189,158
Ccdc65,0,0,0,25,119,122,0,0,0,0,0,0
Fkbp11,1672,685,938,727,271,821,806,402,896,295,580,606
Ddx23,0,4,0,33,127,125,1,0,286,64,0,16
Pld3,6945,842,2422,196,278,983,135,86,2720,499,1389,235
Grik5,0,1,0,90,54,81,0,12,0,0,0,0
Rabac1,1253,570,825,347,219,454,255,400,808,455,935,584
Etv3,27,807,345,283,330,763,1190,1415,992,614,1047,787
Prkcsh,1746,513,20,157,178,288,83,0,298,0,535,52
Elavl3,0,0,0,81,139,48,0,1,0,0,0,0
Rab3b,0,0,0,38,117,141,0,0,0,0,0,1
St8sia6,0,0,0,55,132,75,0,0,0,0,0,0
Fcgrt,1354,234,570,62,57,140,182,137,240,191,442,376
Nosip,524,76,132,234,107,154,76,0,185,6,130,90
Pih1d1,260,106,69,68,26,141,138,91,138,77,167,58
Rps11,3298,2122,2596,2230,853,2614,2718,2669,3839,2497,3300,3279
Supt5,3341,703,713,1157,755,773,353,149,430,51,399,195
Paf1,0,112,1,89,172,196,76,0,0,18,200,217
Timm50,2506,320,705,593,213,303,134,45,893,227,439,121
Med29,302,106,183,56,34,77,4,15,56,33,73,36
Bicd1,0,0,0,69,246,182,0,0,0,0,0,0
