"","control_cells_1","control_cells_2","control_cells_3","LPS_cells_1","LPS_cells_2","LPS_cells_3"
"mmu-mir-3068",944.29681356556,1603.75992020803,1041.60879362258,1291.8861759413,1844.08352665524,1513.9133558223
"mmu-mir-3069",220.286970505185,259.907320900032,265.699895712803,423.569238013539,386.195502964448,373.738896428403
"mmu-mir-342",13.2172182303111,15.5704846622139,15.4855767439977,42.3569238013539,48.274437870556,48.7485517080525
"mmu-mir-345",24.2315667555704,22.7568621986203,22.0058195835757,31.1447969127602,19.3097751482224,13.5412643633479
"mmu-mir-1247",2.20286970505185,1.19772958940107,2.44509106484175,4.98316750604164,12.8731834321483,14.8953907996827
"mmu-mir-1983",13.2172182303111,16.7682142516149,21.1907892286285,57.3064263194789,77.2391005928896,70.4145746894092
"mmu-let-7d",3505.49999063918,3865.07338499725,4057.22110692741,3298.85688899957,3205.42267460492,3072.51288404364
"mmu-let-7f-1",13270.821393134,14881.7901483083,15400.8135870832,14884.7213405464,14231.3042842399,14592.0664779437
"mmu-let-7a-1",24308.6671952472,27428.0075972845,27823.5062571892,27175.7039941981,26489.7932075031,26337.7591867117
"mmu-mir-7a-1",132.172182303111,122.168418118909,133.664978211349,348.821725422915,271.946000004132,300.616068866324
"mmu-mir-23b",4534.24014289839,5187.96571649072,5492.48956198951,4753.94180076373,3979.42282846283,4800.37821680684
"mmu-mir-27b",197.523983552983,152.111657853936,196.422315542287,165.690319575885,165.742236688909,171.974057414519
"mmu-mir-24-1",4032.72014004825,4245.35252963208,4639.96781071469,3174.27770134852,3205.42267460492,3201.15489549545
"mmu-mir-692-3",583.026181937056,867.755087521074,568.89118775318,958.013953036505,767.56356214184,767.789689401827
"mmu-mir-682",253.330016080963,315.002882012481,240.433954709439,379.966522335675,347.575952668003,316.865586102341
"mmu-mir-378c",146.85798033679,123.36614770831,126.329705016824,120.84181202151,143.214165682649,108.330114906783
"mmu-mir-16-1",110.143485252593,95.8183671520854,124.699644306929,123.333395774531,127.122686392464,127.28788501547
"mmu-mir-15a",27.9030162639901,24.5534565827219,35.0463052627317,7.47475125906246,14.4823313611668,21.6660229813567
"mmu-mir-320",53.6031628229284,44.91485960254,57.8671552012547,291.515299103436,500.445005924764,444.153471117812
