"","control_Evs_1","control_Evs_2","control_Evs_3","LPS_Evs_1","LPS_Evs_2","LPS_Evs_3"
"Dazap2",2694.16513217484,1032.68026006163,2415.45830113743,1104.82072864438,1734.80124722774,1572.71312516602
"Mcts1",158.687318080836,100.547333453882,261.24637654146,246.110186526108,212.641623766423,125.092376933117
"Rem1",0,60.3284000723291,2.56963649057174,20.0633304233241,14.1761082510949,1.7254120956292
"Trappc10",77.7439884952484,112.37643150728,81.3718222014384,78.9157663317413,139.989068979562,45.7234205341739
"Ccm2",478.941361223814,387.99441615145,160.174007912305,619.288132399936,391.614990436496,443.430908576705
"Tbrg4",116.77594979739,40.2189333815528,436.838203397195,345.089283281174,203.781556109489,161.32603094133
"Mx1",0,0,62.527821270579,12.0379982539944,24.8081894394161,19.8422390997358
"Ndufa9",981.55784651614,259.057247369413,618.425848730932,1107.49583936749,756.64977790219,701.380016873271
"Lck",61.1074148254833,49.6822118242711,0,72.2279895239666,164.797258418978,156.149794654443
"Cttnbp2",0,0,0,8.02533216932962,308.330354461314,96.6230773552354
"Galnt1",0,40.2189333815528,72.8063672328659,38.7891054850932,129.356987791241,69.8791898729827
"Mkrn2",80.3034613675199,706.197153787853,197.005464277167,419.99238352825,139.989068979562,134.582143459078
"Raf1",278.342674859531,99.3644236485421,101.072368629155,141.780868324823,288.838205616058,342.494300982397
"Pdgfb",97.259969146319,17.7436470800968,2.56963649057174,203.30841495635,170.113299013139,245.871223627161
"Acvrl1",179.163101059009,302.824910166986,435.981657900338,196.620638148576,120.496920134307,220.852748240538
"Grasp",0,24.8411059121355,56.5320027925782,24.0759965079889,10.6320811883212,25.0184753866234
"Acvr1b",0,59.1454902669894,11.9916369560014,58.8524359084172,161.253231356204,148.385440224111
"Tom1l2",801.43494313003,277.98380425485,410.285292994621,329.038618942514,155.937190762044,81.9570745423871
"Zfp385a",186.201651457755,159.692823720871,226.98455666717,113.69220573217,108.092825414599,154.424382558814
"Itga5",1203.27218407666,920.303828554354,984.170775888976,520.30903564487,650.328966018978,917.919234874736
"Wdr77",342.649430775354,990.095507069402,405.146020013477,553.747919683744,529.832045884672,899.802407870629
"Adora3",0,0,0,40.1266608466481,47.8443653474453,25.881181434438
"Atp5f1",3441.53121087813,3486.03519633635,2658.71722224489,2696.51160889475,2285.89745548905,2750.30688043295
"Hnrnpd",37.7522248660054,50.8651216296108,0.856545496857246,222.034190018119,306.558340929927,286.418407874448
"Dynlt1c",37.7522248660054,17.7436470800968,32.5487288805753,58.8524359084172,60.2484600671533,81.0943684945725
"C1d",339.450089685015,490.907569216012,310.069469862323,609.925244869051,232.133772611679,155.287088606628
"Gm2a",2423.82081004116,1148.60542098493,794.017675586667,385.215944127822,621.976749516788,1241.43400280521
"Krit1",343.92916721149,0,0,89.6162092241808,446.547409909489,131.131319267819
"Clcn4",288.900500457651,1.18290980533979,0,78.9157663317413,267.574043239416,137.170261602522
"Hk2",766.882059354364,35.4872941601936,393.154383057476,369.165279789163,421.739220470073,342.494300982397
"Myo18a",79.663593149452,514.565765322807,0,480.182374798222,412.879152813139,206.18674542769
"Haao",107.497860635405,0,0,30.7637733157635,74.4245683182482,44.8607144863593
"Cd52",1140.88503281504,432.944988754362,779.456402140094,2049.13481390216,1185.47705249781,1208.65117298826
"Abhd15",0,0,0,1.33755536155494,62.0204735985402,32.7828298169549
"Loxl3",0,0,0,21.400885784879,19.4921488452555,8.62706047814601
"Kat2b",71.3453063145695,21.2923764961162,5.99581847800072,42.801771569758,189.605447858394,80.2316624467579
"Rab5b",127.33377539551,88.718235400484,92.5069136605826,60.1899912699722,63.792487129927,102.662019689938
"Dnmt3l",0,167.97319235825,71.9498217360087,230.059522187449,233.905786143066,121.641552741859
"Icosl",276.103136096294,0,5.99581847800072,46.8144376544228,65.5645006613139,117.328022502786
"Spg7",207.957170872064,228.301592430579,32.5487288805753,169.869530917477,334.910557432117,339.043476791138
"Sult5a1",0,0,0,68.2153234393018,214.41363729781,113.877198311527
"Rpl13",8293.97184259596,24940.4703357841,18211.8703541788,19329.0125298304,9797.46281503796,12649.8587791055
"Chmp1a",2154.43629023458,3552.27814543538,1910.09645799166,1586.34065880416,1002.95965876496,1568.39959492695
"Rpa1",159.00725218987,222.38704340388,875.389497788105,676.803012946798,196.693501983942,377.865248942795
"Serpinf1",0,162.058643331551,43.6838203397195,93.6288753088456,63.792487129927,53.4877749645053
"Tubgcp3",0,0,0.856545496857246,44.1393269313129,297.698273272993,192.383448662656
"Oprm1",0,0,0,151.143755855708,490.847748194161,105.250137833381
"Polr3d",0,113.55934131262,127.62527903173,81.5908770548511,93.9167171635037,62.9775414904659
"Ddx3x",720.491613544442,570.162526173777,193.579282289738,783.807441871193,664.505074270073,563.347049222935
"Il12rb1",0,0,59.9581847800072,222.034190018119,141.761082510949,89.7214289727185
"Kcnn3",0,0,0,0,47.8443653474453,54.3504810123199
"Usp32",114.216476925118,0,12.8481824528587,34.7764394004284,196.693501983942,69.8791898729827
"Txnrd3",0,0,0,76.2406556086314,53.1604059416059,124.229670885303
"Zfp512b",3.83920930840733,115.925160923299,440.264385384624,56.1773251853073,496.163788788321,209.637569618948
"Dnajc5",549.96673342935,8855.26280277365,5502.44827181095,2398.236763268,1601.90023237372,1526.98970463184
"Tpd52l2",679.540047588097,74.5233177364066,454.825658831198,968.390081765774,673.365141927007,537.465867788497
"Fmr1",0,0,42.8272748428623,65.5402127161919,136.445041916788,247.596635722791
"Bcl11a",0,0,0,16.0506643386592,226.817732017518,101.799313642123
"Il4",0,35.4872941601936,0,16.0506643386592,92.1447036321168,53.4877749645053
"Pxmp4",126.373973068408,150.229545278153,158.460916918591,97.6415413935104,338.454584494891,219.127336144909
"Dlg3",0,0,0,0,65.5645006613139,71.6046019686119
"Gnb1l",0,0,0,21.400885784879,125.812960728467,68.1537777773535
"Smarcb1",454.3064348282,208.192125739803,94.2200046542971,188.595305979246,451.86345050365,292.45735020915
"Hip1r",0,0,0,1.33755536155494,33.6682570963504,19.8422390997358
"Nsun5",69.4257016603658,0,0,231.397077549004,76.1965818496351,87.9960168770893
"Top1mt",155.168042881463,30.7556549388345,156.747825924876,28.0886625926537,83.2846359751825,9.48976652596061
"Mmp14",0,0,36.8314563648616,4.01266608466481,97.4607442262774,9.48976652596061
