"","Geneid","control.Evs_1","control.Evs_2","control.Evs_3","LPS.Evs_1","LPS.Evs_2","LPS.Evs_3"
"Ift46","Ift46",222,63,280,54,123,270
"Trappc6a","Trappc6a",1386,248,347,331,164,446
"Supt6","Supt6",1620,1,340,29,267,397
"Spag5","Spag5",0,204,0,133,194,181
"Unc119","Unc119",1094,289,174,313,135,425
"Rab34","Rab34",0,0,1,77,85,189
"Sdf2","Sdf2",324,134,0,185,117,249
"Ccne1","Ccne1",1221,229,177,122,94,230
"Bbc3","Bbc3",394,30,132,50,22,25
"Mybpc3","Mybpc3",0,0,0,14,70,106
"Psmc3","Psmc3",4760,1029,1461,1416,678,1910
"Acp2","Acp2",2566,467,292,245,389,636
"Rapsn","Rapsn",100,0,0,2,1,0
"Slc39a13","Slc39a13",588,351,370,9,87,61
"Celf2","Celf2",0,45,321,315,376,439
"Nr1h3","Nr1h3",0,30,1,160,44,128
"Ddb2","Ddb2",285,0,0,1,23,25
"Spi1","Spi1",5546,568,1112,1354,643,1572
"Sf3a1","Sf3a1",1435,203,720,52,163,276
"Stat6","Stat6",4824,108,936,203,301,376
"Napsa","Napsa",2219,223,649,305,193,565
"Vrk3","Vrk3",683,354,1043,143,146,361
"Smg9","Smg9",260,0,17,18,79,247
"Paxip1","Paxip1",282,141,4,59,137,101
"Rmnd5a","Rmnd5a",154,717,186,126,142,180
"Mov10","Mov10",5653,379,127,398,370,633
"Ppm1j","Ppm1j",1476,76,551,3,30,190
"Rhoc","Rhoc",5066,538,1033,1009,510,1302
"Ppard","Ppard",15,4,0,43,64,51
"Def6","Def6",732,78,1,193,83,190
"Metrn","Metrn",55,136,318,47,34,79
"Lmf1","Lmf1",681,530,172,6,79,150
"Narfl","Narfl",1331,17,0,128,112,205
"Dbf4","Dbf4",689,1404,725,359,295,407
"Daxx","Daxx",281,12,68,542,174,558
"Cd320","Cd320",181,80,242,72,29,228
"Ipo4","Ipo4",743,69,324,126,52,212
"Tm9sf1","Tm9sf1",951,261,469,86,159,224
