"","Geneid","control.Evs_1","control.Evs_2","control.Evs_3","LPS.Evs_1","LPS.Evs_2","LPS.Evs_3"
"Paqr7","Paqr7",52,387,146,95,90,169
"Nudt22","Nudt22",417,0,0,55,92,184
"Actr1b","Actr1b",4341,1288,920,401,371,510
"Letmd1","Letmd1",365,28,606,93,138,343
"Uvssa","Uvssa",0,0,0,76,221,173
"Sf3b6","Sf3b6",1527,271,517,612,540,613
"Letm2","Letm2",0,0,0,6,146,139
"Srrt","Srrt",1102,43,0,111,185,381
"Pafah2","Pafah2",595,467,1,262,52,88
"Kdm6a","Kdm6a",1205,0,0,53,83,56
"Enpp1","Enpp1",0,0,0,47,282,115
"Ctbp1","Ctbp1",683,962,1049,990,395,689
"Hhat","Hhat",0,0,262,68,159,40
"Trmt6","Trmt6",980,431,553,260,133,271
"Rims2","Rims2",0,0,0,15,150,167
"Rcor3","Rcor3",382,0,75,138,302,395
"Atp11b","Atp11b",0,4,0,54,80,26
"Icam1","Icam1",1043,266,634,215,82,101
"Cnnm4","Cnnm4",42,0,0,61,132,55
"Tbc1d2b","Tbc1d2b",58,17,0,0,32,160
"Serpine1","Serpine1",0,0,0,1,7,47
"Ranbp10","Ranbp10",1612,92,475,299,307,362
"Dmxl1","Dmxl1",1171,5,0,36,141,180
"Best1","Best1",2,0,0,1,10,7
"Depdc5","Depdc5",176,17,13,157,331,323
"Vgf","Vgf",153,0,2,5,5,1
"Fer1l5","Fer1l5",124,105,0,69,49,43
"Slc30a1","Slc30a1",2,0,1,21,20,18
"Cep85","Cep85",7297,50955,46079,26858,10446,27457
"Tulp1","Tulp1",0,0,0,39,160,194
"Arid5a","Arid5a",1170,235,582,221,162,137
"Azin1","Azin1",3120,1148,368,438,537,516
"Ints7","Ints7",3393,1959,412,561,367,421
"Klf10","Klf10",0,1,0,292,129,141
"Tedc1","Tedc1",0,359,6,160,214,313
"Uggt1","Uggt1",2944,172,164,245,332,189
"Dtl","Dtl",630,0,0,202,206,134
"Thoc2","Thoc2",1652,145,41,164,162,371
"Asxl2","Asxl2",2596,503,399,192,584,536
"Ubr5","Ubr5",1,162,277,313,227,431
"Zmat4","Zmat4",0,0,0,36,140,269
"Nenf","Nenf",589,321,420,230,107,242
"Fam168b","Fam168b",3037,35162,30135,6710,2639,5851
"Arhgef4","Arhgef4",0,0,0,5,33,53
"Pank2","Pank2",762,156,509,188,132,291
"Ppfia1","Ppfia1",364,33,375,412,259,204
"Mavs","Mavs",1505,515,448,140,277,631
"Bcdin3d","Bcdin3d",368,118,17,65,93,183
"Atg14","Atg14",405,361,379,8,90,155
"Mrpl47","Mrpl47",66,35,105,91,66,134
"Rapgef6","Rapgef6",1237,0,396,195,239,252
"Fbxo34","Fbxo34",431,20,0,24,40,272
"Dlgap5","Dlgap5",888,36,0,114,105,154
"H2.DMb2","H2-DMb2",332,0,0,66,106,170
"Plekhg2","Plekhg2",0,0,0,16,33,52
"Zdhhc18","Zdhhc18",125,15,122,105,66,65
"Rps16","Rps16",5355,5552,6899,4430,1683,4729
"Vash2","Vash2",0,0,70,5,36,354
"Mcrs1","Mcrs1",1719,539,228,589,416,347
"Wdhd1","Wdhd1",0,0,0,96,187,336
"Tob1","Tob1",522,146,238,101,40,42
"Gch1","Gch1",570,103,258,348,165,368
"Nr0b2","Nr0b2",0,116,0,98,99,227
"Clba1","Clba1",0,0,0,57,65,17
"Nme1","Nme1",1083,339,658,540,183,507
"Adgrl3","Adgrl3",0,0,15,45,177,73
"Osbpl5","Osbpl5",0,0,0,9,77,101
"Bclaf1","Bclaf1",1614,10,873,245,680,650
"Tnfrsf23","Tnfrsf23",2079,167,0,73,47,219
"Spag1","Spag1",0,0,0,45,109,129
"Wdtc1","Wdtc1",177,0,8,10,49,46
"Kcnk2","Kcnk2",0,0,0,0,6,50
"Rgs22","Rgs22",0,0,0,28,127,118
"Cdkn3","Cdkn3",352,52,124,89,59,120
"Slc25a43","Slc25a43",150,0,0,21,126,87
"Zbtb42","Zbtb42",94,330,113,37,32,41
"Zfp60","Zfp60",21,46,368,49,81,65
"Prkci","Prkci",0,425,0,2,61,88
"Vps13b","Vps13b",475,86,145,135,579,454
"H2.DMa","H2-DMa",0,52,0,83,41,99
"Phc3","Phc3",411,0,0,0,52,56
"Slc20a2","Slc20a2",810,0,516,57,284,100
"Gpr160","Gpr160",0,28,0,4,3,0
"Cdkn1c","Cdkn1c",615,80,0,8,26,27
"Ldah","Ldah",1524,204,308,493,159,412
"Rfx7","Rfx7",0,210,35,106,136,83
"Inf2","Inf2",308,65,9,33,165,254
"Atp8a1","Atp8a1",17,207,903,55,197,195
"Ahdc1","Ahdc1",0,0,0,6,51,52
"Ddhd1","Ddhd1",518,57,0,88,250,161
"Lzts3","Lzts3",17,157,216,30,55,89
"Cd81","Cd81",6893,1270,682,223,250,948
"Fam13a","Fam13a",0,0,0,54,187,106
"Cisd1","Cisd1",1375,436,432,263,235,510
"Tmem33","Tmem33",682,390,511,291,58,135
"Ckap2","Ckap2",0,130,1,88,109,205
"Mynn","Mynn",0,0,0,108,111,279
"Themis2","Themis2",0,166,4,0,76,80
"Mrps26","Mrps26",2441,1531,1307,1344,617,1468
"Eef1a1","Eef1a1",45239,25462,28177,15372,6347,18253
"Fam222b","Fam222b",337,0,0,53,46,99
"Xkr8","Xkr8",577,79,0,9,104,204
"Ppp1r16b","Ppp1r16b",0,42,231,277,541,528
"Actr5","Actr5",144,14,109,125,280,570
"Mrpl23","Mrpl23",1538,462,646,318,289,660
"Pced1a","Pced1a",304,85,0,256,77,270
"Apopt1","Apopt1",876,152,52,158,144,204
"Vopp1","Vopp1",1275,545,350,2,97,183
"Phf12","Phf12",576,0,0,6,94,83
"N4bp2","N4bp2",0,4,3,34,73,50
"Iqch","Iqch",0,0,0,35,132,100
"Rpl10a","Rpl10a",5296,4221,4196,3149,1230,3434
"Fam76b","Fam76b",53,137,0,4,46,45
"D630003M21Rik","D630003M21Rik",0,0,0,41,168,211
"Ctnna1","Ctnna1",0,594,0,57,206,284
"Fbxw17","Fbxw17",814,0,0,86,97,136
"Abhd18","Abhd18",4,0,4,22,91,31
"Tgm2","Tgm2",0,0,0,26,104,94
"Smim14","Smim14",2087,300,107,235,259,534
"Tspan14","Tspan14",851,90,303,33,112,267
"Ppm1k","Ppm1k",13,33,35,51,70,103
"Gm5884","Gm5884",39,13,0,7,0,13
"Fdxacb1","Fdxacb1",90,0,0,17,23,9
"Rtkn2","Rtkn2",0,1,0,12,126,162
"Nmrk1","Nmrk1",689,112,296,123,127,282
"Iars","Iars",6948,696,1593,582,414,526
"Cpe","Cpe",11439,533,682,436,424,744
"Nufip2","Nufip2",126,0,58,31,119,102
"Aim2","Aim2",871,240,0,55,88,128
"Egr2","Egr2",0,9,0,5,34,87
"Jmjd1c","Jmjd1c",462,85,45,108,364,233
"Stk35","Stk35",61,145,3,224,159,128
"Dusp8","Dusp8",88,0,0,20,33,32
"Wdr19","Wdr19",405,283,1,40,156,74
"H2afz","H2afz",5968,2148,3228,3141,1051,3063
"Rcor1","Rcor1",144,364,142,120,244,348
"Sirpa","Sirpa",46026,5083,6408,595,1541,4589
"Ankrd9","Ankrd9",0,76,0,0,24,13
"Bri3bp","Bri3bp",1379,1883,1484,857,505,1131
"Ankrd13b","Ankrd13b",302,273,0,28,34,67
"Tmem156","Tmem156",0,0,0,62,48,12
"Ndufv1","Ndufv1",4043,916,2365,574,374,1159
"Ssh2","Ssh2",0,0,31,46,125,143
"Bicd2","Bicd2",185,15,0,11,261,236
"Smarce1","Smarce1",320,205,495,289,232,386
"Scarb1","Scarb1",1597,2399,1862,244,270,603
"Chchd5","Chchd5",1411,722,1254,136,116,549
"Fgd3","Fgd3",1344,274,58,429,231,378
"Ano10","Ano10",885,329,289,43,152,361
"Wdr20","Wdr20",632,293,261,16,125,265
"Nsrp1","Nsrp1",398,28,344,822,455,1005
"Card19","Card19",6710,794,1318,820,534,1053
"Zc3h7a","Zc3h7a",958,9,0,68,168,125
"Ninj1","Ninj1",9904,1375,2364,1720,892,2391
"X1110032A03Rik","1110032A03Rik",9,70,0,0,33,32
"Snn","Snn",0,0,0,33,4,4
"Ccdc92","Ccdc92",0,224,0,220,46,174
"Gm9725","Gm9725",0,0,36,31,78,72
"Wnk2","Wnk2",0,0,1,21,74,99
"Rmi2","Rmi2",143,12,147,52,55,120
"Rara","Rara",250,0,0,12,23,11
"Dhx38","Dhx38",207,475,23,112,74,446
"Slc9b2","Slc9b2",0,0,0,90,237,163
"Parp11","Parp11",1054,0,513,83,208,361
"Acd","Acd",1206,316,220,137,228,536
"Cramp1l","Cramp1l",0,0,0,54,98,86
"Hpf1","Hpf1",1019,113,290,240,119,265
"Dnajc22","Dnajc22",0,0,0,83,58,62
"Ccdc138","Ccdc138",0,0,0,19,93,90
"Dnah10","Dnah10",0,0,14,38,174,255
"Wipf2","Wipf2",1,32,1,22,78,31
"Fam120a","Fam120a",1541,683,1470,312,302,552
"Rapgefl1","Rapgefl1",0,1,0,33,66,153
"Mindy4","Mindy4",0,0,0,94,56,122
"Atp6v0a2","Atp6v0a2",1656,226,62,47,126,66
"Dennd4c","Dennd4c",518,384,0,215,168,83
"Phf2","Phf2",239,1,13,52,33,21
"Tigar","Tigar",621,311,443,352,114,359
"Igsf8","Igsf8",6174,807,762,252,237,398
"Socs1","Socs1",0,0,35,64,49,9
"Gcc2","Gcc2",15,36,487,105,153,191
"Ptpdc1","Ptpdc1",487,0,0,135,77,52
"Mrm3","Mrm3",492,94,156,217,176,387
"Haus6","Haus6",35,211,8,67,124,224
"Dexi","Dexi",67,48,0,40,33,36
"Kmt2c","Kmt2c",468,6,68,92,221,114
"Nod1","Nod1",0,34,6,16,93,213
"Smim3","Smim3",752,0,161,147,91,220
"Dlec1","Dlec1",0,0,0,24,56,22
"Mturn","Mturn",89,430,428,62,65,417
"Csf3","Csf3",0,0,0,261,200,250
"Rnf144b","Rnf144b",967,354,524,267,158,306
"Cdkn2aip","Cdkn2aip",892,73,165,7,47,79
"Galnt11","Galnt11",979,457,497,313,100,183
"Fkbp14","Fkbp14",377,0,0,3,5,1
"Tmem237","Tmem237",660,128,161,114,60,168
"Kdm1b","Kdm1b",592,1,0,32,134,31
"Opa1","Opa1",5199,25,434,68,164,52
"Cnbd2","Cnbd2",0,32,17,32,86,78
"Atp13a4","Atp13a4",0,0,0,18,51,55
"Sbno1","Sbno1",3989,2291,2114,953,936,1417
"Trappc11","Trappc11",837,0,1256,1,78,337
"Phf20","Phf20",1464,132,993,179,465,611
"Fam210a","Fam210a",147,11,268,6,75,79
"Tbc1d32","Tbc1d32",622,0,0,46,110,89
"Mphosph9","Mphosph9",0,0,0,11,108,142
"Ccdc50","Ccdc50",1246,1348,448,307,292,504
"Tmem181a","Tmem181a",970,32,155,18,70,103
"Stox2","Stox2",25,11,15,82,345,363
"Snrk","Snrk",757,78,0,227,156,189
"Cd84","Cd84",6927,985,1028,199,288,605
"Ormdl3","Ormdl3",834,535,320,109,65,175
"Prdm1","Prdm1",0,0,0,23,98,54
"Spon1","Spon1",0,0,0,131,140,144
"Atg5","Atg5",2130,165,0,194,124,273
"P3h2","P3h2",0,0,0,3,15,44
"Pde4dip","Pde4dip",1010,37,149,282,331,442
"Ttc39b","Ttc39b",710,78,265,138,117,135
"Enpp6","Enpp6",0,0,48,23,209,201
"Fam126b","Fam126b",1190,256,467,183,311,360
"Mylip","Mylip",238,32,249,38,37,271
"Slc43a2","Slc43a2",914,368,565,17,116,391
"Slamf7","Slamf7",197,290,273,4,80,2
"Spag4","Spag4",258,1660,1314,356,308,505
"Chpf2","Chpf2",2659,650,0,44,38,36
"Btbd10","Btbd10",292,265,0,90,90,110
"Kcna7","Kcna7",0,0,0,3,33,6
"Asb10","Asb10",0,4,334,39,28,7
"Prkab2","Prkab2",917,583,391,96,103,221
"Fbxo8","Fbxo8",732,151,427,16,102,162
"Pgap3","Pgap3",235,66,0,1,3,92
"Mfsd14b","Mfsd14b",866,347,330,30,127,263
"Tapbpl","Tapbpl",0,170,19,57,46,147
"Bend3","Bend3",0,104,0,49,17,234
"Cep44","Cep44",0,116,203,120,93,179
"Tlcd2","Tlcd2",168,0,0,22,64,63
"Primpol","Primpol",34,0,0,37,234,164
"F11r","F11r",0,0,0,10,26,23
"Hoxa7","Hoxa7",227,35,13,142,158,131
"Hrc","Hrc",28,20,0,26,5,28
"Pdss2","Pdss2",0,0,19,64,70,138
"Cep250","Cep250",1065,224,330,441,252,297
"Aox4","Aox4",0,0,8,37,121,89
"Mical2","Mical2",0,0,0,100,202,164
"Usp38","Usp38",507,24,268,2,32,82
"Ncapd2","Ncapd2",1,677,1565,74,204,258
"Hoxa5","Hoxa5",115,22,119,11,64,128
"Bcl9","Bcl9",48,9,6,37,84,197
"Trpm4","Trpm4",0,0,0,7,41,61
"Slc22a23","Slc22a23",0,0,0,1,32,48
"Ovca2","Ovca2",0,0,41,0,1,0
"Iffo1","Iffo1",0,20,0,45,108,42
"Fau","Fau",5930,6503,5741,5628,1936,5217
"Nop2","Nop2",3032,316,594,224,317,279
"Ostm1","Ostm1",605,586,639,208,121,357
"Bphl","Bphl",0,0,124,50,153,142
"Smg6","Smg6",78,87,514,10,156,208
"Snx25","Snx25",0,335,758,168,66,190
"Ccdc155","Ccdc155",0,0,0,18,21,16
"Atg9b","Atg9b",0,511,154,75,52,86
"Wdr36","Wdr36",1543,578,310,115,109,351
"Snx10","Snx10",1443,392,1112,547,503,861
"Afg1l","Afg1l",338,0,0,61,25,217
"Edem2","Edem2",14327,1940,2574,983,703,2219
"Kcnh2","Kcnh2",0,0,2,1,28,90
"X1700066M21Rik","1700066M21Rik",0,0,0,75,20,0
"Trpc4ap","Trpc4ap",11922,1545,1906,402,522,1870
"Serpinb9f","Serpinb9f",0,0,0,26,127,130
"Satb2","Satb2",0,0,0,71,88,80
"Sesn1","Sesn1",399,0,0,33,53,39
"Tsr1","Tsr1",119,443,137,545,280,803
"Mlxip","Mlxip",110,154,0,51,206,337
"Txlng","Txlng",0,60,0,1,120,180
"Zfp384","Zfp384",469,51,159,129,89,85
"Tcte2","Tcte2",101,0,0,4,58,27
"Sgsm2","Sgsm2",770,27,136,41,135,135
"Arl5c","Arl5c",857,4771,4180,4796,1492,4286
"Camp","Camp",0,0,0,0,23,16
"Fbxo25","Fbxo25",1066,0,159,0,61,181
"Lasp1","Lasp1",3389,1490,604,508,410,1192
"Focad","Focad",525,0,0,31,191,253
"Ncoa6","Ncoa6",628,14,33,107,114,177
"Sbf2","Sbf2",788,0,4,146,220,605
"Gmds","Gmds",845,12,0,144,64,76
"Rbm8a","Rbm8a",2173,413,649,812,397,969
"Trp53inp2","Trp53inp2",1834,588,813,769,741,2022
"Ttk","Ttk",789,0,0,156,215,131
"Pigu","Pigu",520,436,463,165,268,449
"Setd1b","Setd1b",0,11,60,21,142,246
"Rras","Rras",726,120,299,79,51,44
"Mpp6","Mpp6",595,828,1754,972,469,895
"Gpr162","Gpr162",382,79,101,52,7,18
"Txnip","Txnip",5590,929,2474,226,287,1080
"Upf3a","Upf3a",311,115,355,427,149,316
"Foxf2","Foxf2",275,0,0,0,7,16
"Scaf1","Scaf1",218,198,16,70,45,129
"X1700018A04Rik","1700018A04Rik",0,0,0,50,205,157
"Higd1a","Higd1a",605,264,505,295,206,414
"Foxq1","Foxq1",0,0,0,16,76,105
"Cdc16","Cdc16",1567,0,201,157,258,265
"Fig4","Fig4",38,0,662,224,108,226
"Hdhd3","Hdhd3",152,0,0,0,7,0
"Poli","Poli",319,11,0,0,79,175
"Usp5","Usp5",6376,179,191,155,289,580
"Mllt6","Mllt6",106,345,214,192,93,252
"Cdc40","Cdc40",812,0,287,212,268,243
"Spsb2","Spsb2",528,155,0,135,51,150
"Dennd2a","Dennd2a",11,0,0,121,126,158
"Abhd17c","Abhd17c",195,18,22,430,175,249
"Uqcrfs1","Uqcrfs1",3965,2869,3022,966,796,1512
"Chmp4b","Chmp4b",99,87,177,23,66,158
"Nos1ap","Nos1ap",0,0,2,97,279,173
"Cdk19","Cdk19",4,42,0,37,57,143
"Tfdp1","Tfdp1",2313,1287,1879,1025,468,1272
"Socs7","Socs7",49,1072,387,268,115,261
"Polr2l","Polr2l",332,293,331,406,161,379
"Otud7b","Otud7b",1467,25,9,76,254,273
"Tmco3","Tmco3",493,93,30,157,266,509
"Prr3","Prr3",346,165,572,121,108,335
"Ptov1","Ptov1",311,149,184,130,111,325
"Mesd","Mesd",1136,8,138,97,173,253
"Dcun1d2","Dcun1d2",357,0,0,113,84,232
"Parp12","Parp12",1347,233,99,72,269,206
"Gdf15","Gdf15",4010,364,426,1300,630,1616
"Rpf2","Rpf2",1069,67,221,371,129,498
"Grtp1","Grtp1",172,13,11,33,66,43
"Tbkbp1","Tbkbp1",119,236,27,142,146,127
"Jarid2","Jarid2",1298,141,4,282,186,258
"Tbc1d17","Tbc1d17",2056,505,0,368,130,251
"C1s1","C1s1",0,0,0,0,24,7
"X1700003F12Rik","1700003F12Rik",661,130,309,122,80,147
"Fchsd1","Fchsd1",0,0,0,5,11,14
"Armc10","Armc10",207,189,816,93,90,51
"C1rl","C1rl",0,0,0,21,52,169
"Cbfa2t2","Cbfa2t2",663,263,373,159,219,201
"Osbpl7","Osbpl7",5,6,0,7,38,44
"Zfp280d","Zfp280d",449,0,0,15,161,92
"Ubn2","Ubn2",0,145,71,33,166,132
"Atf5","Atf5",35,27,1,24,17,75
"Pcid2","Pcid2",1493,597,349,180,97,377
"BC028528","BC028528",553,94,65,137,62,115
"Inip","Inip",0,6,392,179,185,72
"Cul7","Cul7",1108,11,4,422,181,119
"Ranbp9","Ranbp9",0,0,0,12,41,28
"Ciart","Ciart",623,0,0,10,56,97
"Efl1","Efl1",720,361,187,111,100,26
"Ift172","Ift172",844,0,161,66,97,114
"Rad9b","Rad9b",0,15,0,15,87,48
"Saxo2","Saxo2",0,0,0,10,12,25
"Susd1","Susd1",0,114,20,130,102,66
"Pptc7","Pptc7",659,657,932,525,182,574
"Tctn1","Tctn1",0,15,10,67,29,28
"Capn8","Capn8",0,0,0,51,96,96
"Ripor1","Ripor1",1751,16,0,2,49,278
"Dock10","Dock10",2796,0,0,111,383,389
"Phrf1","Phrf1",2411,37,501,261,381,880
"Mcl1","Mcl1",3790,6602,7634,4935,2563,5060
"Nfe2l1","Nfe2l1",4249,128,1160,357,252,740
"Rassf7","Rassf7",0,0,0,0,0,0
"Ensa","Ensa",6848,655,1433,773,620,1504
"Med30","Med30",244,91,117,39,56,99
"Tm6sf1","Tm6sf1",0,9,37,25,43,44
"Polr3k","Polr3k",1176,218,300,203,158,466
"Degs1","Degs1",2736,603,455,183,216,854
"Lrrc56","Lrrc56",0,10,0,1,61,62
"Ctss","Ctss",36844,9975,10625,3278,2312,8941
"Pold1","Pold1",3647,157,439,8,47,311
"Ramac","Ramac",825,234,34,99,32,65
"Creb3l2","Creb3l2",0,0,0,111,125,46
"Rnh1","Rnh1",31851,5364,6451,2800,1985,4373
"Sycp2l","Sycp2l",0,0,0,60,114,185
"Ric1","Ric1",1,32,0,42,152,309
"Herc1","Herc1",1010,295,0,38,223,499
"Dgki","Dgki",0,0,30,45,23,64
"Arfrp1","Arfrp1",163,235,102,96,76,197
"Trps1","Trps1",55,0,29,92,108,56
"Pak1ip1","Pak1ip1",3209,361,605,739,417,679
"Rtel1","Rtel1",288,0,0,16,120,291
"Atp5j2","Atp5j2",3597,1099,1409,1491,792,1793
"Hoxb4","Hoxb4",3,1,0,16,45,42
"Josd2","Josd2",411,19,83,171,110,273
"Mapkap1","Mapkap1",666,375,322,208,193,514
"Taf5l","Taf5l",344,171,314,49,134,257
"Gmeb2","Gmeb2",293,44,0,48,102,65
"Golga4","Golga4",1746,2369,2761,1113,454,1084
"Mindy1","Mindy1",6841,780,1582,1215,815,1531
"Atp5l","Atp5l",782,451,509,414,421,618
"Pbx3","Pbx3",259,0,0,41,49,64
"Bud31","Bud31",1230,320,311,369,156,516
"Pkhd1l1","Pkhd1l1",0,0,0,39,153,130
"Mboat1","Mboat1",457,1013,676,634,265,566
"Wdr26","Wdr26",409,304,85,143,209,287
"Nudcd1","Nudcd1",875,0,9,30,400,138
"Shank1","Shank1",0,0,1,28,68,95
"Mvb12b","Mvb12b",256,143,273,397,197,274
"Angptl6","Angptl6",0,0,0,8,23,17
"Ptk6","Ptk6",0,0,0,31,264,121
"Elovl3","Elovl3",1,0,138,137,62,132
"Ttll6","Ttll6",0,0,45,110,74,138
"Nup205","Nup205",2936,0,4,296,244,909
"Abcf1","Abcf1",3324,258,652,512,435,722
"Alpk3","Alpk3",0,0,0,7,76,78
"Ptpn3","Ptpn3",0,0,0,76,152,56
"Gabpb2","Gabpb2",114,101,172,101,273,289
"Kpna7","Kpna7",0,0,0,28,64,34
"Kdm3b","Kdm3b",50,89,0,154,241,219
"Ascc3","Ascc3",1047,249,130,39,165,208
"Vill","Vill",688,224,5,96,100,276
"Ephx1","Ephx1",2826,649,691,260,170,410
"Sema6c","Sema6c",0,0,0,5,91,47
"Smurf1","Smurf1",168,73,242,116,318,150
"Stap2","Stap2",0,0,0,45,67,105
"X1700028J19Rik","1700028J19Rik",0,0,0,2,24,9
"Cnot4","Cnot4",1478,158,119,152,157,491
"Ost4","Ost4",561,95,297,162,88,277
"Sde2","Sde2",2103,234,240,187,197,337
"Gngt2","Gngt2",1212,73,687,448,204,539
"Trmt112","Trmt112",1618,370,667,492,221,493
"Ctnnal1","Ctnnal1",0,139,146,7,78,31
"Hace1","Hace1",830,0,0,10,136,176
"Fam206a","Fam206a",107,87,0,84,58,136
"Tmem214","Tmem214",1802,27,192,91,152,438
"Ralgps1","Ralgps1",192,6,0,79,118,235
"Agbl3","Agbl3",78,0,79,3,101,106
"Vars2","Vars2",601,163,131,4,24,102
"Gcnt1","Gcnt1",2587,275,179,186,126,90
"Kif16b","Kif16b",792,0,6,13,177,60
"Phb","Phb",3153,955,918,731,451,876
"Ythdf1","Ythdf1",236,196,196,131,81,318
"Itpkb","Itpkb",625,32,0,41,99,86
"Baiap2l1","Baiap2l1",0,0,0,38,100,100
"Garnl3","Garnl3",1,25,5,56,167,156
"Pi4kb","Pi4kb",325,174,32,2,70,54
"Zcchc2","Zcchc2",35,43,13,188,87,46
"Bpgm","Bpgm",465,88,0,119,24,72
"Zfhx3","Zfhx3",57,53,323,103,353,325
"Rnf146","Rnf146",233,20,119,8,62,30
"Mrps34","Mrps34",214,30,132,110,44,163
"A230050P20Rik","A230050P20Rik",586,0,0,132,35,89
"Man2a2","Man2a2",1022,1212,683,176,233,392
"Ctu1","Ctu1",332,4,198,649,129,260
"Irs2","Irs2",321,0,0,29,100,63
"Zfp653","Zfp653",168,0,0,12,54,2
"Rpl12","Rpl12",5990,5027,5428,5212,1843,5377
"Pogz","Pogz",8,0,0,41,115,178
"Kat7","Kat7",2382,882,987,311,290,495
"Plcl2","Plcl2",759,0,139,70,197,105
"Dido1","Dido1",2006,372,295,151,342,525
"Rccd1","Rccd1",0,0,0,35,165,165
"Tcfl5","Tcfl5",0,0,1,94,179,162
"Sccpdh","Sccpdh",431,0,571,109,130,133
"Prc1","Prc1",286,52,514,38,162,190
"Cnst","Cnst",1282,248,0,10,108,81
"Supt3","Supt3",679,0,297,86,55,182
"Edc3","Edc3",361,4,899,143,162,177
"Slco4a1","Slco4a1",1042,482,316,145,170,518
"Ube2l3","Ube2l3",3973,835,996,665,523,1115
"Pdk2","Pdk2",334,0,0,0,8,0
"Lmtk2","Lmtk2",0,84,28,62,84,208
"Rabggtb","Rabggtb",622,336,488,331,98,354
"Ppp1r9b","Ppp1r9b",0,41,0,58,36,119
"Bloc1s5","Bloc1s5",490,0,121,42,25,120
"Cfap157","Cfap157",150,46,0,3,38,26
"Cables2","Cables2",5,185,1108,228,143,605
"Txndc5","Txndc5",2242,10223,9360,1458,688,1568
"Ube3c","Ube3c",49,527,145,64,139,130
"Rps21","Rps21",1776,1668,2074,1150,365,1315
"Tlr4","Tlr4",1381,0,0,188,105,22
"Cpq","Cpq",0,0,0,20,131,90
"Siglecf","Siglecf",0,120,0,6,18,70
"Timm8b","Timm8b",1300,442,603,805,282,602
"Mtg1","Mtg1",842,38,197,119,117,182
"Arhgap18","Arhgap18",878,133,92,8,119,37
"Tasp1","Tasp1",0,0,140,116,84,73
"Adrm1","Adrm1",1883,243,525,1057,450,902
"Arpin","Arpin",220,0,0,0,23,101
"Usp6nl","Usp6nl",1231,395,280,120,252,423
"Pigk","Pigk",952,130,166,11,111,164
"Foxred1","Foxred1",119,304,0,116,118,226
"Osbpl2","Osbpl2",2042,161,290,276,331,394
"Eme1","Eme1",0,0,2,62,15,42
"Myo16","Myo16",15,0,0,30,182,157
"Ak5","Ak5",0,0,0,54,86,114
"Anpep","Anpep",3156,446,464,36,126,317
"Echdc3","Echdc3",503,78,216,8,22,54
"Fam173b","Fam173b",0,115,274,19,72,126
"Psmd7","Psmd7",2702,365,987,756,382,1178
"Zzz3","Zzz3",450,1336,977,334,213,718
"Mtg2","Mtg2",1464,4,236,156,97,272
"Zfp503","Zfp503",68,27,55,8,3,30
"Ss18l1","Ss18l1",1016,0,0,30,72,52
"Rreb1","Rreb1",56,9,0,96,119,105
"L3mbtl3","L3mbtl3",128,81,1,111,248,138
"Rsad1","Rsad1",0,74,0,0,47,104
"Wdr93","Wdr93",0,0,33,18,29,12
"X44991","44991",31,0,558,42,351,203
"Nexn","Nexn",0,0,33,45,186,105
"Atp6v1g1","Atp6v1g1",14838,2854,4476,2034,1190,4106
"Lsm14b","Lsm14b",73,0,5,11,78,93
"F13a1","F13a1",18105,1098,3050,12,741,833
"Nrn1","Nrn1",161,6,0,0,3,10
"Taf4","Taf4",0,209,43,47,53,108
"Prune2","Prune2",0,0,0,79,281,176
"Cdc123","Cdc123",2058,483,806,473,329,908
"Zc3hc1","Zc3hc1",1353,354,226,502,248,631
"Gipc2","Gipc2",0,0,1,7,47,76
"Whrn","Whrn",129,0,0,9,25,90
"Camk1d","Camk1d",1060,342,103,179,468,137
"Sart1","Sart1",2070,339,806,350,225,378
"Runx2","Runx2",1,0,0,18,105,79
"Stim2","Stim2",261,0,0,25,65,22
"Fam102a","Fam102a",1377,490,528,171,146,116
"Akna","Akna",798,137,0,37,136,71
"Ube2h","Ube2h",1316,107,647,86,190,412
"Cmc1","Cmc1",319,115,258,166,97,275
"Naif1","Naif1",0,253,362,186,197,177
"Akap7","Akap7",0,0,12,46,90,33
"Dap","Dap",2617,531,174,397,311,631
"Polg","Polg",1,124,468,127,108,314
"Tbc1d19","Tbc1d19",568,0,51,25,30,99
"AW209491","AW209491",1433,0,226,35,18,184
"Nubp2","Nubp2",1465,578,394,1212,333,1192
"Fanci","Fanci",582,0,0,9,67,33
"Rbpj","Rbpj",1926,92,487,383,199,356
"Nlrc4","Nlrc4",0,0,0,93,185,123
"X1110008P14Rik","1110008P14Rik",1289,145,516,470,229,624
"Orm1","Orm1",0,0,0,26,11,5
"Adk","Adk",1245,446,370,87,205,288
"Zdhhc1","Zdhhc1",142,73,60,103,85,33
"Atf7ip2","Atf7ip2",0,0,0,24,71,66
"Tbc1d25","Tbc1d25",0,0,0,43,38,116
"Abhd2","Abhd2",0,10,0,62,73,64
"Ciz1","Ciz1",575,16,280,88,73,162
"Daglb","Daglb",1439,167,878,44,270,580
"Metrnl","Metrnl",3990,637,396,324,239,562
"Gpatch2","Gpatch2",0,19,0,49,217,281
"Il18","Il18",0,66,0,15,5,49
"Srrm2","Srrm2",980,230,464,109,233,384
"Arid4b","Arid4b",373,0,0,7,78,191
"Ppp1r10","Ppp1r10",1696,295,46,44,34,130
"Rpl22l1","Rpl22l1",266,234,213,214,76,193
