"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Igf2bp3|ENSMUSG00000029814",6362.0874440728,-0.175008019854683,0.0512703531616416,-3.4134350372608,0.000641494502745436,0.0475982060732557
"Bmt2|ENSMUSG00000042742",3621.57898170669,-0.210331911364499,0.0582690136662108,-3.60967001379787,0.00030658677655564,0.0309687884180571
"Crhr2|ENSMUSG00000003476",8100.33341394423,-0.160188731199119,0.04679424831234,-3.42325685263495,0.000618755802145477,0.0472837042543865
"Flnc|ENSMUSG00000068699",27416.4753294161,-0.169415903647883,0.0437101495575039,-3.87589393683049,0.000106233954607467,0.0166711427337575
"Gm44827|ENSMUSG00000109091",2445.3434573816,-0.220569716626356,0.0633017277837482,-3.48441858301037,0.000493207489872981,0.0429139348614234
"Nkpd1|ENSMUSG00000060621",4256.06288281675,-0.222639441408357,0.0576343979799941,-3.86296116922466,0.000112020819751959,0.0172325855313028
"Atg16l2|ENSMUSG00000047767",286.847920581485,-0.480830188265122,0.137232436773026,-3.50376485014535,0.000458730237976764,0.040313213313398
"Slc25a16|ENSMUSG00000071253",2628.05460476854,-0.411872423281028,0.0586389961283394,-7.02386552422536,2.15812532201075e-12,1.37436032918223e-08
"Gm16128|ENSMUSG00000080971",692.944575381522,-0.434008654276292,0.0897972411085461,-4.83320699966345,1.3435096011843e-06,0.000787117491680509
"2900078I11Rik|ENSMUSG00000111358",1654.17758505367,-0.330609845332871,0.0778302523027517,-4.24783211606243,2.15849043751384e-05,0.00463339159802706
"E130307A14Rik|ENSMUSG00000087177",3945.44466731663,-0.336090707446684,0.0721043632435247,-4.66117017511927,3.14416613582906e-06,0.00109308652911833
"Wdfy4|ENSMUSG00000051506",583.608727832081,-0.365827203252741,0.105320016323575,-3.47348221185997,0.00051375141660484,0.0434119947031089
"Olfr922|ENSMUSG00000043911",1805.19371921753,-0.317483553238971,0.0803338066254885,-3.95205414227488,7.74832035371964e-05,0.013896375360916
"Olfr923|ENSMUSG00000044798",1536.20890352379,-0.340963594665152,0.069884908962158,-4.87893022583432,1.06662786292893e-06,0.000669537547101386
"Ppp2r3a|ENSMUSG00000043154",570.53315763947,-0.332442804673184,0.0947028760410489,-3.51037707164339,0.00044747165434367,0.0401263356976752
"Slc43a2|ENSMUSG00000038178",2923.61092723227,-0.215718038831751,0.056694535991737,-3.80491761786693,0.00014185139462982,0.0194980542005316
"Eml6|ENSMUSG00000044072",2953.48848245489,-0.25778984384955,0.0577625045182963,-4.4629270492919,8.08475839540454e-06,0.00229189860576823
"Camk2b|ENSMUSG00000057897",1376.35612831553,-0.259922732288699,0.0684888790372459,-3.79510857736986,0.000147578856606886,0.0196503483615351
"Serpinb1a|ENSMUSG00000044734",400.412892810384,-0.553171571925563,0.121569043778403,-4.55026670221977,5.35779619957531e-06,0.00168158260720956
"Rgs14|ENSMUSG00000052087",2889.07449422083,-0.20389820777534,0.054807288649469,-3.72027540131408,0.000199005651248644,0.0236678674044401
"Cdc14b|ENSMUSG00000033102",17873.3593867505,-0.187365010256435,0.0483183781592031,-3.87771728676592,0.000105441142934982,0.0166711427337575
"Gm40477|ENSMUSG00000113940",393.93079739931,-0.488545713241185,0.130369528245127,-3.7473918930089,0.000178682806351458,0.0218381738661579
"Otulin|ENSMUSG00000046034",3229.3843270943,-0.295548782336253,0.0615495691894924,-4.80180099110601,1.57244927940155e-06,0.000812863780434165
"Spag1|ENSMUSG00000037617",332.922237309342,-0.533561445645132,0.119940440171616,-4.44855333932148,8.64505819743861e-06,0.00237414910747158
"Ywhaz|ENSMUSG00000022285",27556.0975132035,-0.205547116701967,0.0437160663720382,-4.70186669936615,2.57793784146135e-06,0.00098499642394619
"Slc4a8|ENSMUSG00000023032",9800.26586991514,-0.245693897602452,0.0642994698039663,-3.82108745766511,0.000132864521174056,0.0188324743883484
"Mpst|ENSMUSG00000071711",3228.78329202928,-0.240217531725516,0.0692519351114002,-3.46874829330179,0.000522889100973022,0.0434328391238203
"Gm3924|ENSMUSG00000116287",15105.945312465,-0.192501143377624,0.0494011770037633,-3.89669143637933,9.75157316831307e-05,0.0163081547955705
"BC037032|ENSMUSG00000087221",4841.77562762376,-0.222130110273432,0.0602497583909479,-3.68682159407308,0.000227072431024517,0.0255834938954289
"Mei1|ENSMUSG00000068117",956.642323961181,-0.441951291784948,0.109697926511291,-4.02880260220286,5.60616660429308e-05,0.0102639566913599
"Thpo|ENSMUSG00000022847",2643.78825862408,-0.197852652998665,0.0564659895893564,-3.50392607014469,0.000458452614076213,0.040313213313398
"Atp6v1e2|ENSMUSG00000053375",969.190122998522,-0.378248847445878,0.0902251624711696,-4.19227671179581,2.76168851319929e-05,0.00564412061720823
"H2-M9|ENSMUSG00000067201",1352.66981652228,-0.264662359973031,0.0746802815297251,-3.54393896958847,0.000394196483909126,0.0368531776658872
"Nudt3|ENSMUSG00000024213",1129.39480496104,-0.274297940837575,0.0808281178180493,-3.39359554870549,0.00068981489365358,0.0496892892248169
"Muc21|ENSMUSG00000090588",2215.0273910399,-0.207976967303626,0.0607301842853251,-3.4246062275474,0.0006156910932077,0.0472837042543865
"Vwa7|ENSMUSG00000007030",2659.45432784435,-0.236792116980317,0.0631941240547793,-3.74705909009919,0.00017891994974549,0.0218381738661579
"Arhgap12|ENSMUSG00000041225",6382.24538204905,-0.269281299237632,0.0570191662783621,-4.72264532811699,2.32796625189944e-06,0.00098499642394619
"Colec12|ENSMUSG00000036103",34505.0138184423,-0.190813173912469,0.0534692055877083,-3.56865548711899,0.000358817883424893,0.0346515555993183
"Thoc1|ENSMUSG00000024287",2301.51769527835,-0.20789288859138,0.0606114534395926,-3.4299274607987,0.000603742629802064,0.0469530108911552
"Cdc42bpg|ENSMUSG00000024769",8068.51773113859,-0.176879764466159,0.0470877966248006,-3.75638227194089,0.000172387309304834,0.0216419953452983
"Gm5244|ENSMUSG00000091014",1635.83229060412,-0.400386849369342,0.0813364344174788,-4.92260144223019,8.54012696624467e-07,0.000625421964827985
