"","Geneid","control.Evs_1","control.Evs_2","control.Evs_3","IL.10.Evs_1","IL.10.Evs_2","IL.10.Evs_3"
"Stx6","Stx6",1232,85,511,325,201,871
"Mr1","Mr1",566,38,452,79,49,679
"Glul","Glul",702,217,329,136,1,231
"Lamc1","Lamc1",766,874,1023,132,0,103
"Lamc2","Lamc2",315,0,0,0,0,0
"Ncf2","Ncf2",7890,1402,2585,919,792,3558
"Rgl1","Rgl1",581,483,667,737,291,1077
"Fam129a","Fam129a",0,0,0,0,0,0
"Rnf2","Rnf2",1504,231,0,8,160,386
"Coq8a","Coq8a",812,0,0,0,0,0
"Cdc42bpa","Cdc42bpa",0,0,0,0,0,0
"Ahctf1","Ahctf1",1778,10,597,25,19,715
"Tfb2m","Tfb2m",1061,149,133,138,138,482
"Kif26b","Kif26b",0,0,0,0,0,0
"Efcab2","Efcab2",115,0,0,42,0,59
"Parp1","Parp1",2465,210,544,2,414,555
"Mixl1","Mixl1",0,0,0,0,0,0
"Acbd3","Acbd3",1511,252,81,382,4,410
"Desi2","Desi2",378,583,147,483,706,671
"Sdccag8","Sdccag8",252,138,37,48,54,0
"Capn2","Capn2",653,594,224,232,340,0
"Trp53bp2","Trp53bp2",519,0,0,0,0,0
"Srp9","Srp9",748,1233,1793,1531,1032,1498
"Nvl","Nvl",1482,456,476,701,80,0
"Tmem63a","Tmem63a",18,121,0,8,65,217
"Pycr2","Pycr2",1340,55,673,149,51,437
"Opn3","Opn3",0,0,0,0,0,0
"Fh1","Fh1",1967,587,495,413,184,706
"Spta1","Spta1",0,0,0,0,0,0
"Ifi211","Ifi211",98,0,0,0,0,0
"Dusp23","Dusp23",0,0,0,0,0,0
"Tagln2","Tagln2",8340,813,1719,338,422,3677
"Slamf9","Slamf9",288,0,0,8,0,0
"Copa","Copa",10105,1117,1632,355,1191,1156
"Dcaf8","Dcaf8",2635,219,173,246,297,772
"Vangl2","Vangl2",0,0,22,1,0,0
"Uck2","Uck2",2750,3047,4242,5416,3477,3005
"Tada1","Tada1",142,0,67,73,180,7
"Dusp27","Dusp27",0,0,0,0,0,0
"Pou2f1","Pou2f1",0,156,279,89,136,50
"Mpzl1","Mpzl1",2423,395,632,348,158,739
"Adcy10","Adcy10",0,0,0,0,0,0
"Mpc2","Mpc2",1085,154,489,164,119,615
"Dcaf6","Dcaf6",0,0,33,0,0,0
"Nme7","Nme7",476,108,6,52,206,572
"Blzf1","Blzf1",517,0,462,207,92,628
"Ccdc181","Ccdc181",634,126,0,149,128,0
"F5","F5",0,0,0,0,0,0
"Scyl3","Scyl3",1399,130,232,64,197,3
"Kifap3","Kifap3",1001,157,139,9,7,95
"Ralgps2","Ralgps2",568,2,328,82,311,369
"Abl2","Abl2",0,478,827,1517,780,499
"Soat1","Soat1",18303,4497,3733,4836,3232,6778
"Axdnd1","Axdnd1",0,0,4,0,0,0
"Smyd2","Smyd2",572,363,585,462,203,108
"Ptpn14","Ptpn14",1598,2998,4158,4605,2881,1158
"Cenpf","Cenpf",92,531,415,709,868,526
"Kctd3","Kctd3",793,0,35,221,22,0
"Ush2a","Ush2a",0,0,0,0,0,0
"Eprs","Eprs",10226,3176,2463,1568,861,1442
"Bpnt1","Bpnt1",387,0,4,31,0,270
"Iars2","Iars2",2814,0,466,307,81,395
"Nek2","Nek2",0,157,768,585,376,764
"Lpgat1","Lpgat1",72,187,349,862,516,253
"Ppp2r5a","Ppp2r5a",397,535,396,628,895,259
"Tmem206","Tmem206",1916,482,290,127,180,1092
"Atf3","Atf3",4089,1239,1350,645,1145,2663
"Batf3","Batf3",0,91,0,93,19,92
"Tatdn3","Tatdn3",170,49,0,35,0,205
"Angel2","Angel2",1378,248,382,407,164,96
"Traf5","Traf5",0,0,131,0,0,0
"Plxna2","Plxna2",43,0,0,0,0,0
"Usf1","Usf1",412,248,0,26,69,240
"Nmt2","Nmt2",171,288,58,39,54,12
"Suv39h2","Suv39h2",90,0,0,25,19,11
"Dclre1c","Dclre1c",240,75,26,50,269,47
"Cfap126","Cfap126",112,0,0,12,0,0
"Fam107b","Fam107b",4768,589,774,341,466,1545
"Fcgr2b","Fcgr2b",1960,351,1906,128,78,696
"Frmd4a","Frmd4a",0,22,0,181,44,0
"Dusp12","Dusp12",74,23,6,35,106,109
"Sephs1","Sephs1",806,372,197,399,138,567
"Atf6","Atf6",2400,122,930,78,136,240
"Phyh","Phyh",0,0,0,0,0,0
"Uhmk1","Uhmk1",818,1060,1520,3320,2220,2861
"Mcm10","Mcm10",515,0,0,48,0,0
"Uap1","Uap1",732,105,592,539,490,49
"Optn","Optn",2048,179,0,52,0,34
"Hsd17b7","Hsd17b7",0,0,7,12,0,402
"Rgs5","Rgs5",0,0,0,0,0,0
"Nuf2","Nuf2",0,13,201,73,63,1
"Aldh9a1","Aldh9a1",2942,822,244,133,292,1754
"Mgst3","Mgst3",2526,376,668,32,233,571
"Mettl13","Mettl13",1064,160,0,22,0,0
"Vamp4","Vamp4",2150,534,1111,422,333,1333
"Pigc","Pigc",460,178,157,210,145,2
"Prdx6","Prdx6",6774,2859,4278,3890,4077,6893
"Klhl20","Klhl20",934,29,400,101,0,1
"Nsun6","Nsun6",0,0,253,4,0,289
"Cenpl","Cenpl",0,0,0,46,2,407
"Dars2","Dars2",441,0,178,254,621,594
"Mrc1","Mrc1",10552,1389,1870,331,1205,1413
"Stam","Stam",223,25,409,99,42,81
"Rabgap1l","Rabgap1l",0,0,0,0,0,0
"Trdmt1","Trdmt1",0,0,0,0,0,216
"Cubn","Cubn",0,16,4,0,0,0
"Rsu1","Rsu1",2019,573,1076,183,174,1097
"Vim","Vim",39128,6479,12344,4129,4321,14095
"Pter","Pter",875,76,623,84,76,256
"Pip4k2a","Pip4k2a",445,422,208,290,58,124
"Bmi1","Bmi1",206,242,260,175,13,32
"Dnajc1","Dnajc1",345,137,26,24,48,113
"Mllt10","Mllt10",626,23,82,39,61,154
"Nek6","Nek6",3222,2050,594,1812,695,4416
"Psmb7","Psmb7",2019,430,482,220,126,1107
"Ppp6c","Ppp6c",2754,408,442,249,121,1358
"Golga1","Golga1",28,4,25,15,64,0
"Arpc5l","Arpc5l",1901,1098,869,1247,581,1168
"Orc4","Orc4",2003,9,152,43,195,539
"Kif5c","Kif5c",0,134,169,163,36,0
"Mmadhc","Mmadhc",2889,389,374,402,0,535
"Mindy3","Mindy3",431,64,308,56,42,0
"Spopl","Spopl",230,239,0,34,0,0
"Pfkfb3","Pfkfb3",1162,23,0,155,26,0
"Yme1l1","Yme1l1",1564,307,398,153,62,7
"Mastl","Mastl",0,0,4,0,0,0
"Acbd5","Acbd5",717,202,30,135,0,258
"Abi2","Abi2",530,267,505,577,452,732
"Pdss1","Pdss1",0,0,0,105,0,0
"Pkn3","Pkn3",1473,94,0,94,0,486
"Apbb1ip","Apbb1ip",332,18,214,35,23,298
"Gad2","Gad2",0,1,4,1,0,1
"Zbtb43","Zbtb43",0,360,207,711,150,563
"Odf2","Odf2",0,95,0,162,10,68
"Slc2a8","Slc2a8",700,183,0,0,0,0
"Lrsam1","Lrsam1",199,0,415,69,161,0
"Fam129b","Fam129b",3131,746,1011,359,253,741
"Stxbp1","Stxbp1",1035,176,447,108,8,160
"Coq4","Coq4",142,27,281,70,133,0
"Med27","Med27",210,20,182,25,0,164
"Ttf1","Ttf1",12,371,195,179,208,503
"Ddx31","Ddx31",836,0,170,243,0,378
"Ak8","Ak8",276,84,0,0,99,1
"Spaca9","Spaca9",867,76,343,110,0,349
"Dpm2","Dpm2",551,319,339,269,555,799
"St6galnac6","St6galnac6",1355,6132,3570,6126,4972,6253
"Tsc1","Tsc1",715,790,680,1326,1223,241
"Eng","Eng",0,0,0,19,0,0
"Gfi1b","Gfi1b",301,5,0,33,0,0
"Gtf3c5","Gtf3c5",437,0,0,12,0,365
"Ak1","Ak1",0,0,0,0,0,0
"Slc25a25","Slc25a25",1635,0,0,130,14,0
"Ptges2","Ptges2",734,238,264,267,13,205
"Ralgds","Ralgds",486,122,0,73,0,0
"Lcn2","Lcn2",7239,239,1612,230,0,4013
"Dnm1","Dnm1",256,11,0,0,0,0
"Nr4a2","Nr4a2",0,1,5,5,1,2
"Gpd2","Gpd2",1201,0,567,189,53,449
"Gbgt1","Gbgt1",168,0,0,0,0,0
"Cytip","Cytip",898,51,40,46,83,991
"Olfm1","Olfm1",4,181,637,593,212,610
"Fcnb","Fcnb",0,66,4,0,101,0
"Acvr1","Acvr1",0,0,0,0,0,0
"Col5a1","Col5a1",114,0,137,0,4,161
"Upp2","Upp2",0,37,26,45,10,14
"Abl1","Abl1",738,196,0,65,894,0
"Fubp3","Fubp3",1546,154,555,28,51,754
"Tor1b","Tor1b",296,624,604,195,425,115
"Tor1a","Tor1a",2242,196,36,185,83,727
"BC005624","BC005624",1188,388,421,197,71,1096
"Crat","Crat",729,247,0,381,0,517
"Usp20","Usp20",0,554,205,18,0,236
"Dolpp1","Dolpp1",239,4,298,167,49,43
"Ntmt1","Ntmt1",612,57,0,82,243,101
"Miga2","Miga2",0,176,0,67,150,373
"Sh3glb2","Sh3glb2",710,0,370,36,0,0
"Hspa5","Hspa5",23704,4211,7808,2016,1698,7777
"Kynu","Kynu",0,49,0,0,0,0
"Gapvd1","Gapvd1",3908,520,932,656,686,878
"Psmd5","Psmd5",1807,327,707,237,639,784
"Zeb2","Zeb2",2291,456,438,446,57,197
"Traf1","Traf1",313,0,0,36,0,431
"Rab14","Rab14",4925,563,2207,800,615,2331
"Gsn","Gsn",43654,4918,8378,1663,1441,8969
"Stom","Stom",6349,126,431,217,35,1150
"Dab2ip","Dab2ip",21,228,557,726,384,641
"Ttll11","Ttll11",0,0,0,0,0,0
"Mrrf","Mrrf",514,326,869,393,82,151
"Rbm18","Rbm18",1834,321,510,332,191,174
"Morn5","Morn5",96,0,0,0,0,0
"Ndufa8","Ndufa8",3154,567,907,312,583,1648
"Psmd14","Psmd14",3505,171,452,297,213,960
"Strbp","Strbp",0,118,539,273,86,562
"Wdr5","Wdr5",1258,1308,2803,2009,1052,1346
"Brd3","Brd3",980,1473,1730,2946,1576,1886
"Egfl7","Egfl7",83,60,73,8,0,0
"Agpat2","Agpat2",502,313,282,293,155,0
"Notch1","Notch1",0,1,0,0,0,0
"Sec16a","Sec16a",1160,774,711,313,529,58
"Inpp5e","Inpp5e",0,0,0,0,218,0
"Pmpca","Pmpca",6126,1000,1532,210,454,912
"Entr1","Entr1",599,150,402,257,270,390
"Card9","Card9",0,99,188,50,0,73
"Gpsm1","Gpsm1",1290,0,172,0,0,417
"Nacc2","Nacc2",1274,1898,1227,1797,1041,713
"Camsap1","Camsap1",10,173,0,199,226,0
"Fcna","Fcna",547,28,133,42,54,145
"Tmem141","Tmem141",485,357,479,382,234,169
"Traf2","Traf2",640,96,227,191,188,52
"Abca2","Abca2",654,1,0,0,0,0
"Nmi","Nmi",325,153,87,138,0,413
"Neb","Neb",1,8,63,9,10,5
"Sapcd2","Sapcd2",355,61,0,73,140,0
"Uap1l1","Uap1l1",11194,1923,2424,1050,1900,3824
"Dpp7","Dpp7",4931,1718,1498,158,541,2927
"Grin1","Grin1",0,0,0,0,0,0
"Arl6ip6","Arl6ip6",54,67,258,0,0,192
"Anapc2","Anapc2",4044,0,448,8,0,606
"Ssna1","Ssna1",1931,490,511,255,280,451
"Rbms1","Rbms1",1418,357,355,338,30,271
"Arrdc1","Arrdc1",1652,290,0,19,87,778
"Zmynd19","Zmynd19",43,177,153,453,162,358
"Dph7","Dph7",313,10,0,130,45,282
"X44992","44992",925,0,5,202,122,0
"Psd4","Psd4",894,240,94,34,79,0
"Ly75","Ly75",0,0,0,0,0,0
"Il1rn","Il1rn",1842,6,303,83,11,696
"Baz2b","Baz2b",895,68,99,288,0,79
"Wdsub1","Wdsub1",228,212,0,2,91,0
"Pkp4","Pkp4",0,240,229,320,74,155
"Galnt3","Galnt3",0,18,0,0,0,0
"Nup35","Nup35",198,0,65,112,0,341
"Dusp19","Dusp19",269,47,70,49,0,86
"Nckap1","Nckap1",8,1,5,0,7,88
"Dnajc10","Dnajc10",1828,460,339,211,58,383
"Itprid2","Itprid2",3259,721,37,1215,263,621
"Itga4","Itga4",1097,0,2,97,7,0
"Slc25a12","Slc25a12",1696,50,994,241,502,425
"Ube2e3","Ube2e3",635,676,1028,971,1244,1036
"Dync1i2","Dync1i2",1350,241,141,86,133,216
"Cwc22","Cwc22",0,0,252,11,0,51
"Hat1","Hat1",1622,457,477,283,287,894
"Cers6","Cers6",2643,897,933,518,847,932
"Abcb11","Abcb11",0,0,0,0,0,0
"Ssrp1","Ssrp1",5471,652,409,222,224,1728
"Dhrs9","Dhrs9",543,411,28,139,0,0
"Lrp2","Lrp2",0,1,4,0,0,0
"P2rx3","P2rx3",335,0,86,0,0,0
"Slc43a3","Slc43a3",421,0,0,35,33,285
"Slc43a1","Slc43a1",0,0,0,0,0,0
"Timm10","Timm10",825,88,160,56,0,165
"Ube2l6","Ube2l6",2562,541,1069,214,536,844
"Clp1","Clp1",561,0,160,1,76,0
"Med19","Med19",59,0,0,1,132,212
"Fastkd1","Fastkd1",85,64,65,73,33,464
"Itgav","Itgav",0,167,0,86,0,41
"Phospho2","Phospho2",665,95,0,100,0,0
"Zc3h15","Zc3h15",1261,234,284,379,399,181
"Mtx2","Mtx2",1049,159,665,184,56,272
"Atf2","Atf2",1553,597,173,535,63,1171
"Ola1","Ola1",841,430,216,198,321,346
"Sp3","Sp3",912,15,22,185,12,2
"Itga6","Itga6",271,70,0,118,5,0
"Kif18a","Kif18a",292,0,0,47,0,0
"Arl14ep","Arl14ep",562,34,25,88,0,715
"Slc12a6","Slc12a6",228,241,289,0,0,301
"Emc4","Emc4",1581,363,653,155,132,731
"Katnbl1","Katnbl1",769,49,189,224,3,323
"Nop10","Nop10",1877,650,895,213,377,1506
"Lpcat4","Lpcat4",365,345,58,479,547,261
"Ccdc34","Ccdc34",350,29,16,8,13,183
"Lin7c","Lin7c",1859,1069,1111,1552,1293,419
"Commd9","Commd9",373,592,168,257,444,580
"Traf6","Traf6",362,625,160,413,321,25
"B230118H07Rik","B230118H07Rik",675,80,115,30,72,106
"Dnajc24","Dnajc24",969,231,170,27,56,220
"Elp4","Elp4",194,0,0,8,77,287
"Pax6","Pax6",0,57,0,0,0,0
"Eif3m","Eif3m",2791,268,721,569,540,1501
"Prrg4","Prrg4",0,170,0,13,0,0
"Depdc7","Depdc7",242,0,36,43,74,192
"Tcp11l1","Tcp11l1",433,492,227,830,434,798
"Cstf3","Cstf3",674,36,224,69,1,46
"Hipk3","Hipk3",1190,199,178,303,132,0
"Fbxo3","Fbxo3",1904,337,182,105,0,593
"Caprin1","Caprin1",8990,1876,2102,1225,1102,2478
"Nat10","Nat10",1912,386,15,107,281,0
"Cat","Cat",10772,839,1784,225,0,2441
"Trim44","Trim44",5,448,381,303,216,51
"Api5","Api5",5380,649,822,73,284,1969
"Ttc17","Ttc17",508,183,0,8,0,0
"Hsd17b12","Hsd17b12",4774,376,765,282,152,1948
"Ext2","Ext2",3333,401,611,331,405,0
"Gatm","Gatm",2345,155,31,107,0,243
"Sema6d","Sema6d",0,0,0,0,0,0
"Myef2","Myef2",1279,11,10,45,1,31
"Dut","Dut",282,104,484,507,324,278
"Fbn1","Fbn1",0,0,0,0,0,0
"Cops2","Cops2",1848,376,223,85,144,1
"Galk2","Galk2",1866,473,1066,299,0,759
"Meis2","Meis2",0,1,10,54,82,0
"Cd82","Cd82",3686,334,550,203,35,769
"Slc28a2","Slc28a2",0,0,0,0,0,0
"Chst1","Chst1",0,0,0,0,0,1
"Pex16","Pex16",1321,79,0,39,133,139
"Mapk8ip1","Mapk8ip1",0,0,0,0,0,1
"Duoxa1","Duoxa1",0,118,0,0,0,0
"Sord","Sord",10885,7658,7445,8111,5236,7020
"Creb3l1","Creb3l1",349,81,0,4,0,165
"Eif3j1","Eif3j1",1596,215,458,319,71,258
"Frmd5","Frmd5",0,0,0,0,0,0
"Wdr76","Wdr76",308,0,0,6,10,106
"Harbi1","Harbi1",88,259,612,247,137,77
"Atg13","Atg13",13106,2257,2071,777,196,1407
"Arhgap1","Arhgap1",5114,367,649,83,7,1202
"Pdia3","Pdia3",15164,2272,4300,528,996,5459
"F2","F2",0,0,0,0,0,0
"Lrp4","Lrp4",1,5,1,4,1,2
"Arfgap2","Arfgap2",2345,678,810,1084,825,778
"Adal","Adal",301,0,229,99,0,18
"Tubgcp4","Tubgcp4",916,298,621,601,307,585
"Ubr1","Ubr1",1187,9,74,112,21,6
"Snap25","Snap25",0,10,64,0,0,68
"Mkks","Mkks",0,10,16,0,20,51
"Jag1","Jag1",94,0,0,0,0,36
"Slx4ip","Slx4ip",207,0,89,1,0,0
"Mtch2","Mtch2",5595,3044,2292,1939,1786,4322
"Cdan1","Cdan1",492,13,0,47,11,30
"Haus2","Haus2",651,269,36,204,27,163
"Lrrc57","Lrrc57",480,50,172,0,0,0
"Snap23","Snap23",2295,162,26,248,118,91
"Zfp106","Zfp106",5102,4758,3407,10116,4544,4654
"Vps39","Vps39",2291,0,906,223,0,1495
"Ehd4","Ehd4",1298,715,1450,355,493,348
"Itpka","Itpka",46,0,0,0,0,0
"Ubox5","Ubox5",320,163,0,61,316,0
"Ptpra","Ptpra",4093,888,1422,444,357,786
"Rtf1","Rtf1",109,95,21,21,154,345
"Ndufaf1","Ndufaf1",466,234,265,205,121,19
"Nusap1","Nusap1",710,107,162,58,199,643
"X4930402H24Rik","4930402H24Rik",232,628,401,127,103,69
"Atrn","Atrn",138,16,38,186,10,318
"Chac1","Chac1",0,0,0,0,0,70
"Siglec1","Siglec1",1244,33,11,93,6,1416
"Rad51","Rad51",253,222,0,46,0,356
"Rpusd2","Rpusd2",101,0,0,24,24,243
"Knl1","Knl1",230,0,125,53,3,0
"X1700037H04Rik","1700037H04Rik",1260,433,402,256,510,656
"Cdc25b","Cdc25b",1456,423,407,521,313,1217
"Knstrn","Knstrn",493,17,284,238,70,48
"Ivd","Ivd",2163,198,1189,291,295,338
"Smox","Smox",1677,0,0,58,111,517
"Rassf2","Rassf2",633,212,1,88,350,0
"Slc23a2","Slc23a2",1431,1345,1824,1111,1391,2340
"Tmem230","Tmem230",1043,507,453,341,461,218
"Pcna","Pcna",2144,108,607,338,466,1549
"Fsip1","Fsip1",0,0,0,0,0,0
"Gpcpd1","Gpcpd1",1574,0,337,190,0,379
"Rasgrp1","Rasgrp1",0,0,0,0,0,25
"Fam98b","Fam98b",227,43,68,76,15,160
"Spred1","Spred1",783,382,498,1552,1344,966
"Mcm8","Mcm8",478,7,0,0,0,0
"Crls1","Crls1",67,35,69,82,44,55
"Hdc","Hdc",0,6,0,16,0,0
"Gabpb1","Gabpb1",1015,49,446,64,153,0
"Usp8","Usp8",3478,316,420,314,71,1363
"Trpm7","Trpm7",711,112,281,183,388,310
"Sppl2a","Sppl2a",1523,207,167,77,390,58
"Stard7","Stard7",2853,1629,2434,3432,3005,2282
"Dusp2","Dusp2",16,33,0,60,105,202
"Fahd2a","Fahd2a",378,251,414,0,85,331
"Mrps5","Mrps5",823,141,387,329,85,906
"Nphp1","Nphp1",1411,111,22,177,77,347
"Bub1","Bub1",959,30,0,0,349,428
"Acoxl","Acoxl",156,0,0,0,31,0
"Bcl2l11","Bcl2l11",568,664,440,1069,1446,471
"Ndufaf5","Ndufaf5",111,121,0,27,6,0
"Zc3h8","Zc3h8",0,0,0,31,57,0
"Ttl","Ttl",292,169,366,1239,943,702
"Polr1b","Polr1b",3668,17,21,157,167,587
"Slc20a1","Slc20a1",753,1096,639,1025,548,2333
"Il1b","Il1b",1778,99,231,252,8,1093
"Il1a","Il1a",6534,666,388,119,83,2651
"Snrpb","Snrpb",8677,1275,1515,882,411,3266
"Nop56","Nop56",6019,713,1561,551,1090,2596
"Idh3b","Idh3b",9097,1284,2501,652,925,4015
"Cpxm1","Cpxm1",0,0,0,0,0,0
"Vps16","Vps16",2897,485,152,542,195,433
"Lpin3","Lpin3",0,0,1,0,0,0
"Rrbp1","Rrbp1",1230,59,53,64,74,449
"Snx5","Snx5",3364,1069,941,520,436,1493
"Mgme1","Mgme1",0,397,296,117,1,0
"Kat14","Kat14",1551,893,539,594,588,262
"Polr3f","Polr3f",235,0,98,349,107,417
"Rbbp9","Rbbp9",135,115,0,1,34,351
"Sec23b","Sec23b",1836,207,538,214,199,817
"Dtd1","Dtd1",349,70,41,24,114,261
"Xrn2","Xrn2",3411,565,374,184,326,54
"Cd93","Cd93",0,0,8,0,0,0
"Napb","Napb",0,17,85,46,132,0
"Gzf1","Gzf1",962,532,145,235,226,530
"Cst3","Cst3",15497,4777,6135,1856,2143,8450
"Gins1","Gins1",6,68,205,60,69,201
"Nsfl1c","Nsfl1c",1334,151,201,118,60,1137
"Fam110a","Fam110a",237,43,1,17,0,0
"Tbc1d20","Tbc1d20",2925,1396,1249,1455,744,1100
"Rbck1","Rbck1",2003,1120,384,474,98,973
"Tpx2","Tpx2",1330,245,788,132,168,526
"Mylk2","Mylk2",0,0,0,0,0,0
"Pdrg1","Pdrg1",605,213,671,1505,329,798
"Kif3b","Kif3b",78,74,654,334,125,6
"Dnmt3b","Dnmt3b",0,0,0,11,234,0
"Mapre1","Mapre1",3412,5468,4803,8713,5551,4242
"Cdk5rap1","Cdk5rap1",571,35,501,143,44,727
"Snta1","Snta1",153,103,0,70,0,77
"Necab3","Necab3",0,0,0,68,19,0
"E2f1","E2f1",715,721,1669,1883,2163,1309
"Fam210b","Fam210b",730,82,161,143,286,322
"Aurka","Aurka",677,251,874,217,122,228
"Cstf1","Cstf1",793,124,517,322,98,1316
"Rtf2","Rtf2",3095,384,1298,424,643,1461
"Tpd52","Tpd52",3706,1004,1640,884,629,1789
"Pag1","Pag1",0,0,94,25,0,0
"Rae1","Rae1",3793,900,881,797,549,1062
"Rbm38","Rbm38",172,47,33,88,96,102
"Zbp1","Zbp1",401,104,0,26,25,409
"Rab22a","Rab22a",2043,560,1597,2185,1207,1325
"Stx16","Stx16",44,136,59,442,270,502
"Gnas","Gnas",76,3,10,7,15,23
"Phactr3","Phactr3",0,0,3,1,2,0
"Impa1","Impa1",43,62,167,108,0,462
"Fabp5","Fabp5",20013,5882,9666,4870,5848,11064
"Snx16","Snx16",0,0,0,16,0,0
"Ptpn1","Ptpn1",5040,735,1888,1042,195,834
"Nfatc2","Nfatc2",689,16,38,72,101,957
"Atp9a","Atp9a",0,0,1,0,1,268
"Sall4","Sall4",0,0,0,0,0,0
"Lrrcc1","Lrrcc1",289,4,0,35,0,65
"Zfp64","Zfp64",998,237,141,158,17,755
"E2f5","E2f5",199,37,23,0,66,0
"Car13","Car13",0,184,0,52,139,260
"Psma7","Psma7",10863,1956,2766,1090,1372,4520
"Mrgbp","Mrgbp",1151,125,209,32,229,252
"Gid8","Gid8",203,251,163,86,163,163
"Arfgap1","Arfgap1",1467,416,741,1462,852,2131
"Helz2","Helz2",1,1,4,9,0,0
"Zgpat","Zgpat",254,0,204,113,116,0
"Zbtb46","Zbtb46",0,0,0,70,0,0
"Pcmtd2","Pcmtd2",823,0,129,0,0,0
"Raly","Raly",462,116,73,29,24,243
"Ahcy","Ahcy",578,286,850,435,164,476
"Itch","Itch",1528,73,180,284,228,1408
"Armc1","Armc1",0,137,170,121,0,0
"Mtfr1","Mtfr1",0,0,0,32,62,0
"Map1lc3a","Map1lc3a",1171,308,492,114,108,119
"Ggt7","Ggt7",314,0,0,12,0,0
"Acss2","Acss2",1868,115,255,0,0,374
"Gss","Gss",1427,52,1,163,163,64
"Procr","Procr",2183,394,1046,251,266,1006
"Eif6","Eif6",7329,1124,2165,1130,1195,3996
"Hps3","Hps3",290,0,0,7,434,475
"Nfs1","Nfs1",2014,504,552,507,403,1601
"Rbm39","Rbm39",6362,299,1239,511,351,1118
"Epb41l1","Epb41l1",735,229,437,128,374,268
"Aar2","Aar2",4535,1298,1081,310,0,838
"Tbl1xr1","Tbl1xr1",6,281,227,891,467,319
"Ndrg3","Ndrg3",1101,132,39,175,15,614
"Dsn1","Dsn1",1024,277,139,462,81,291
"Sla2","Sla2",0,0,0,0,0,0
"Rab5if","Rab5if",906,372,590,235,261,795
"Samhd1","Samhd1",3612,3115,4349,3909,4035,4415
"Rbl1","Rbl1",0,87,43,0,0,0
"Rpn2","Rpn2",9788,1062,2216,742,336,3455
"Src","Src",774,301,237,56,1,62
"Ctnnbl1","Ctnnbl1",1752,785,1613,472,207,882
"Tti1","Tti1",0,357,1038,697,154,40
"Rprd1b","Rprd1b",1685,296,556,586,331,866
"Ralgapb","Ralgapb",563,260,376,189,68,57
"Fam83d","Fam83d",203,0,0,1,0,0
"Dhx35","Dhx35",1102,233,215,336,232,394
"Skil","Skil",0,0,0,1,9,0
"Zmat3","Zmat3",183,400,540,427,1116,64
"Pik3ca","Pik3ca",0,4,1,47,16,33
"Zfp639","Zfp639",600,41,0,34,0,22
"Mfn1","Mfn1",693,13,0,33,6,266
"Ocstamp","Ocstamp",741,0,445,22,122,0
"Actl6a","Actl6a",1019,0,269,106,0,0
"Ndufb5","Ndufb5",794,451,462,657,488,648
"Ttc14","Ttc14",481,0,0,32,0,20
"Ncoa3","Ncoa3",2865,66,1381,447,394,1183
"Dnajc19","Dnajc19",461,129,232,145,139,283
"Fxr1","Fxr1",566,188,1,109,58,17
"Tnik","Tnik",0,33,0,0,0,1
"Gm8325","Gm8325",18,21,4,14,9,8
"Pld1","Pld1",0,18,18,10,1,0
"Nceh1","Nceh1",2084,359,734,154,41,815
"Ect2","Ect2",478,0,355,0,0,482
"Sec62","Sec62",24,20,52,33,8,69
"Dcun1d1","Dcun1d1",802,17,0,177,209,274
"Mccc1","Mccc1",230,0,175,87,0,0
"Acad9","Acad9",549,118,0,29,0,243
"Anxa5","Anxa5",13053,1868,1675,1176,1279,2491
"Exosc9","Exosc9",7,197,0,44,0,155
"Ccna2","Ccna2",325,262,218,442,459,791
"Spata5","Spata5",1188,0,0,0,0,0
"Slc7a11","Slc7a11",1128,127,1156,151,16,21
"Rab33b","Rab33b",0,8,7,39,167,5
"Cog6","Cog6",855,147,327,131,201,430
"Ufm1","Ufm1",449,376,333,272,320,480
"Trpc4","Trpc4",0,0,144,0,0,0
"Supt20","Supt20",1261,322,346,160,322,439
"Exosc8","Exosc8",1056,276,621,240,250,663
"Mbnl1","Mbnl1",1507,813,245,494,183,1206
"P2ry1","P2ry1",0,0,0,0,0,333
"Dhx36","Dhx36",1518,56,272,20,9,38
"Gfm1","Gfm1",2138,204,204,171,366,999
"Mfsd1","Mfsd1",5408,2333,2698,2572,1695,4143
"Ift80","Ift80",0,0,0,28,0,0
"Kpna4","Kpna4",381,278,337,126,128,0
"Ppm1l","Ppm1l",0,132,0,7,14,0
"Nmd3","Nmd3",1020,141,317,86,69,308
"Dclk1","Dclk1",0,2,0,0,0,1
"Nbea","Nbea",0,0,0,16,0,1
"Ppid","Ppid",1030,565,688,549,203,773
"Pfn2","Pfn2",0,0,32,10,0,199
"Tsc22d2","Tsc22d2",0,0,95,199,276,1
"Serp1","Serp1",9122,1255,3004,1306,1547,5993
"Etfdh","Etfdh",796,139,0,1,58,858
"Eif2a","Eif2a",698,4,190,58,9,131
"X4930579G24Rik","4930579G24Rik",227,0,0,65,56,206
"Slc33a1","Slc33a1",175,0,0,0,100,35
"Gmps","Gmps",3212,601,97,248,103,45
"Kcnab1","Kcnab1",6,0,0,0,0,0
"Ssr3","Ssr3",2501,1079,2535,2155,1551,2285
"Ccnl1","Ccnl1",731,218,0,34,4,148
"Shox2","Shox2",0,0,0,1,0,4
"Pdcd10","Pdcd10",624,67,104,69,44,616
"Ptpn22","Ptpn22",36,119,0,75,0,406
"Dclre1b","Dclre1b",604,76,74,101,54,52
