"","Geneid","control.Evs_1","control.Evs_2","control.Evs_3","IL.10.Evs_1","IL.10.Evs_2","IL.10.Evs_3"
"Zfp868","Zfp868",343,0,0,118,0,0
"Rps10.ps1","Rps10-ps1",13,8,18,13,9,30
"Trim5","Trim5",0,0,0,1,1,2
"Rnf14","Rnf14",994,671,1387,1426,1672,1027
"Gm10080","Gm10080",7,0,0,0,6,1
"Wtap","Wtap",469,0,184,264,150,0
"Irak2","Irak2",733,245,209,42,90,421
"Zfp266","Zfp266",176,0,0,0,0,39
"X0610040J01Rik","0610040J01Rik",499,418,110,112,145,505
"Tor3a","Tor3a",1657,142,188,378,0,507
"Dcc","Dcc",0,0,17,0,0,0
"Tmem219","Tmem219",119,36,25,110,13,89
"H2.Q7","H2-Q7",592,56,14,8,68,16
"Ces4a","Ces4a",0,0,0,0,0,0
"Fam78b","Fam78b",0,0,11,0,87,0
"Fhit","Fhit",125,103,142,0,0,10
"Ifitm2","Ifitm2",930,382,424,166,116,636
"Eno3","Eno3",695,174,296,257,198,372
"Nr1h2","Nr1h2",2053,295,528,120,139,1
"Rpl35a","Rpl35a",2521,2540,2621,3721,3261,3386
"Hist1h4i","Hist1h4i",0,0,118,31,0,0
"Marf1","Marf1",116,81,17,7,0,9
"Atp8b2","Atp8b2",628,1095,1001,1091,1812,338
"Pla2g16","Pla2g16",0,52,0,0,0,0
"Mrps9","Mrps9",600,278,6,122,8,566
"Slc9a6","Slc9a6",717,0,80,137,84,97
"Cd302","Cd302",1995,37,488,144,45,956
"Bloc1s4","Bloc1s4",248,125,0,129,119,140
"Plekhh1","Plekhh1",0,0,0,0,0,0
"Ipmk","Ipmk",1174,556,1680,1270,1047,88
"Nsa2","Nsa2",1211,151,183,235,218,819
"H3f3a","H3f3a",4277,539,1177,211,304,2434
"Tsga10","Tsga10",0,0,0,10,0,0
"Gmfg","Gmfg",337,0,84,79,61,144
"Intu","Intu",15,127,0,0,0,0
"B2m","B2m",49539,6851,15367,1667,2714,18605
"Gstp1","Gstp1",4359,613,1067,268,392,1335
"Ctnna3","Ctnna3",0,38,0,0,0,0
"Ube2s","Ube2s",1209,328,363,760,524,1027
"Zbtb40","Zbtb40",0,569,506,226,0,28
"Arl1","Arl1",1959,527,403,328,329,509
"Csmd1","Csmd1",0,0,4,0,0,0
"Tmem263","Tmem263",347,4,23,84,139,32
"Rpl26","Rpl26",4813,6108,7051,7416,5539,6067
"Trmt61a","Trmt61a",637,183,244,40,44,0
"Hist1h4h","Hist1h4h",211,15,0,4,0,0
"Tdrd5","Tdrd5",122,183,239,0,27,0
"Copz1","Copz1",6540,1548,1442,1444,1383,4263
"Mkx","Mkx",0,0,0,49,0,0
"Rrs1","Rrs1",135,65,415,161,192,264
"Clasrp","Clasrp",191,99,0,135,33,5
"Rrp1","Rrp1",6332,940,949,514,506,938
"Haghl","Haghl",134,85,0,26,0,0
"Gm10093","Gm10093",19,0,4,0,6,1
"Zfp143","Zfp143",1419,0,0,54,45,414
"Sap18b","Sap18b",12,4,3,4,6,10
"Mcrip1","Mcrip1",1258,450,324,285,161,433
"Dnajc30","Dnajc30",47,70,82,33,92,77
"Prcp","Prcp",614,291,23,310,8,659
"Ppm1b","Ppm1b",902,242,392,334,152,214
"Blnk","Blnk",2914,593,708,229,272,1488
"Prpf40a","Prpf40a",4843,473,596,220,70,363
"Maml3","Maml3",0,0,249,132,0,244
"Rpl15.ps3","Rpl15-ps3",6,8,3,18,12,7
"Fnip2","Fnip2",2494,1017,524,632,149,112
"Sfmbt2","Sfmbt2",602,106,60,50,163,1
"Stk19","Stk19",0,113,0,126,53,227
"H2.K1","H2-K1",21098,2389,5343,596,1258,7189
"Exoc5","Exoc5",829,177,153,45,305,600
"Mmgt1","Mmgt1",0,218,0,21,0,450
"Exosc5","Exosc5",1662,212,406,83,262,507
"Taok3","Taok3",1636,313,8,14,568,33
"Slc38a10","Slc38a10",969,449,783,356,94,0
"Rag1","Rag1",0,0,0,0,0,0
"Ddhd2","Ddhd2",988,586,224,598,752,1270
"Naca","Naca",4765,1431,2195,1485,1310,2663
"Dnaic1","Dnaic1",0,0,0,0,0,0
"Phf5a","Phf5a",896,488,160,480,206,495
"Zfp873","Zfp873",0,27,0,0,395,2
"Fiz1","Fiz1",1108,296,361,429,520,695
"Acvr2b","Acvr2b",80,208,190,316,38,137
"Krt79","Krt79",0,0,0,0,0,0
"Zcchc14","Zcchc14",0,27,170,345,330,546
"Nol4l","Nol4l",318,21,19,54,15,174
"Cracr2a","Cracr2a",515,72,0,92,0,73
"Hipk2","Hipk2",279,101,48,506,346,938
"Tmem151a","Tmem151a",763,372,296,121,164,671
"Stx17","Stx17",429,143,196,96,18,0
"Nol10","Nol10",258,124,116,0,1,385
"Smim20","Smim20",1092,323,489,192,383,532
"Obscn","Obscn",0,0,0,0,0,0
"Mrps36","Mrps36",943,396,465,330,193,485
"Rps7","Rps7",11793,6847,8951,8323,7462,9760
"Snrpa","Snrpa",1113,187,569,117,0,287
"Hist1h4d","Hist1h4d",43,12,19,20,0,96
"Cox5b","Cox5b",3027,1051,1719,764,812,2328
"Tmem236","Tmem236",0,0,0,3,0,90
"Cep128","Cep128",1015,0,0,224,41,6
"Sec22c","Sec22c",5,681,207,874,984,466
"Orm2","Orm2",73,0,0,0,0,0
"Wdr61","Wdr61",975,607,317,168,261,437
"Olfr373","Olfr373",0,62,24,28,43,24
"Dpp6","Dpp6",0,0,1,0,0,0
"Ksr2","Ksr2",0,6,0,6,0,0
"Dot1l","Dot1l",143,0,1,15,206,1
"Pclo","Pclo",0,0,0,0,0,12
"Akap6","Akap6",0,43,29,0,0,0
"Mdc1","Mdc1",0,0,0,35,33,384
"U2af1","U2af1",635,275,399,236,123,631
"Med9","Med9",593,280,97,447,140,425
"Cd2ap","Cd2ap",183,27,75,125,47,241
"Gdpd1","Gdpd1",2785,1686,2212,2216,1488,1507
"Dlgap4","Dlgap4",1797,1241,769,864,816,952
"Tmem91","Tmem91",0,0,0,2,1,0
"Gm2423","Gm2423",22,7,1,3,0,0
"Ext1","Ext1",0,51,30,0,4,0
"Kalrn","Kalrn",0,0,0,0,0,1
"Bod1l","Bod1l",0,45,898,135,384,76
"Akr1b10","Akr1b10",394,156,264,81,58,487
"Armt1","Armt1",0,458,552,434,150,188
"Mospd2","Mospd2",267,0,253,0,0,278
"Rps17","Rps17",2962,3269,4135,4214,3534,4226
"Rufy4","Rufy4",2036,230,134,208,290,403
"Suclg2","Suclg2",100,251,109,32,0,245
"Gm5805","Gm5805",10,10,19,8,13,20
"Patj","Patj",0,0,0,0,0,0
"Sphk1","Sphk1",0,0,0,0,0,253
"Ssbp3","Ssbp3",332,76,155,59,126,41
"Zscan20","Zscan20",449,0,1,0,0,0
"Rbak","Rbak",0,0,0,4,106,25
"Slc25a3","Slc25a3",5648,1459,2925,2295,1802,2793
"Myt1l","Myt1l",0,1,40,0,1,0
"Ppp4r1","Ppp4r1",518,243,144,482,321,175
"Rcc1l","Rcc1l",587,131,218,463,196,860
"Flot2","Flot2",1022,187,116,155,145,1443
"Rps12","Rps12",1953,1845,2805,3184,2812,3368
"Rpl34","Rpl34",3668,3851,4559,4992,4808,4628
"Zfp13","Zfp13",0,0,1,0,0,0
"Gmfb","Gmfb",2893,1549,1811,2205,1411,1921
"Pgghg","Pgghg",0,25,0,1,0,0
"Zfp27","Zfp27",628,0,0,48,0,485
"Iah1","Iah1",887,173,113,130,104,847
"Pgk1","Pgk1",11016,1988,3745,1562,1280,3759
"Lmnb2","Lmnb2",0,305,0,551,368,199
"Qk","Qk",466,170,299,229,77,124
"Gm6055","Gm6055",11,0,8,0,5,3
"Cd200r4","Cd200r4",2685,202,611,31,195,1
"Gm10110","Gm10110",7,19,32,36,45,25
"Btbd3","Btbd3",0,1,0,0,0,0
"Zfp119b","Zfp119b",0,0,0,0,0,0
"Scfd2","Scfd2",0,0,176,0,0,0
"Rai1","Rai1",0,0,11,156,171,9
"Zfp954","Zfp954",251,48,120,58,0,0
"Cttnbp2nl","Cttnbp2nl",2789,412,928,418,423,1284
"Unc13c","Unc13c",12,0,0,0,0,0
"Ifnlr1","Ifnlr1",0,67,0,10,0,523
"Cnih4","Cnih4",359,240,358,314,165,691
"Lancl2","Lancl2",439,3,18,14,0,0
"X2700097O09Rik","2700097O09Rik",0,0,0,0,76,118
"Btbd9","Btbd9",389,44,77,280,185,8
"Gspt1","Gspt1",1468,412,210,232,209,147
"Tnfaip8","Tnfaip8",2618,148,551,155,40,45
"Rapgef2","Rapgef2",218,27,0,23,50,155
"Gak","Gak",576,32,230,138,0,3743
"Cks2","Cks2",336,225,378,308,80,330
"Morf4l1","Morf4l1",1400,274,401,177,117,282
"Trank1","Trank1",0,0,0,0,0,0
"Nectin2","Nectin2",251,0,0,22,157,0
"Glrp1","Glrp1",299,102,92,24,0,0
